data;vazao
1983-06-01;172.581
1983-06-02;182.529
1983-06-03;178.254
1983-06-04;169.757
1983-06-05;140.611
1983-06-06;64.7365
1983-06-07;47.6784
1983-06-08;42.4515
1983-06-09;40.2444
1983-06-10;46.1743
1983-06-11;41.3454
1983-06-12;153.909
1983-06-13;187.778
1983-06-14;147.463
1983-06-15;164.6
1983-06-16;167.41
1983-06-17;170.227
1983-06-18;170.227
1983-06-19;166.004
1983-06-20;132.014
1983-06-21;58.43
1983-06-22;43.9341
1983-06-23;43.5626
1983-06-24;151.602
1983-06-25;160.402
1983-06-26;133.816
1983-06-27;114.235
1983-06-28;144.716
1983-06-29;132.464
1983-06-30;102.497
1983-07-01;84.2822
1983-07-02;71.5559
1983-07-03;70.7475
1983-07-04;58.8208
1983-07-05;52.2397
1983-07-06;139.702
1983-07-07;323.011
1983-07-08;411.764
1983-07-09;510.515
1983-07-10;619.128
1983-07-11;764.277
1983-07-12;922.288
1983-07-13;591.602
1983-07-14;350.622
1983-07-15;476.496
1983-07-16;299.624
1983-07-17;385.506
1983-07-18;391.77
1983-07-19;318.104
1983-07-20;248.617
1983-07-21;201.253
1983-07-22;206.104
1983-07-23;216.847
1983-07-24;221.761
1983-07-25;233.134
1983-07-26;267.318
1983-07-27;262.747
1983-07-28;366.999
1983-07-29;436.937
1983-07-30;360.924
1983-07-31;289.855
1983-08-01;393.569
1983-08-02;478.466
1983-08-03;414.526
1983-08-04;302.005
1983-08-05;109.426
1983-08-06;86.3679
1983-08-07;82.2054
1983-08-08;80.9637
1983-08-09;78.0792
1983-08-10;73.9906
1983-08-11;71.1515
1983-08-12;69.5379
1983-08-13;67.5301
1983-08-14;65.5326
1983-08-15;64.7365
1983-08-16;65.1343
1983-08-17;64.3391
1983-08-18;67.9308
1983-08-19;74.3977
1983-08-20;71.9607
1983-08-21;67.9308
1983-08-22;40.2444
1983-08-23;36.6126
1983-08-24;35.1768
1983-08-25;33.0423
1983-08-26;31.6323
1983-08-27;29.1911
1983-08-28;26.4441
1983-08-29;25.7649
1983-08-30;24.0804
1983-08-31;22.7473
