data;cota
1983-06-01;149
1983-06-02;153
1983-06-03;157
1983-06-04;152
1983-06-05;145
1983-06-06;128
1983-06-07;97
1983-06-08;79
1983-06-09;78
1983-06-10;78
1983-06-11;75
1983-06-12;400
1983-06-13;280
1983-06-14;188
1983-06-15;135
1983-06-16;148
1983-06-17;163
1983-06-18;154
1983-06-19;154
1983-06-20;161
1983-06-21;163
1983-06-22;154
1983-06-23;148
1983-06-24;161
1983-06-25;161
1983-06-26;152
1983-06-27;142
1983-06-28;126
1983-06-29;104
1983-06-30;100
1983-07-01;94
1983-07-02;90
1983-07-03;108
1983-07-04;95
1983-07-05;86
1983-07-06;355
1983-07-07;380
1983-07-08;260
1983-07-09;258
1983-07-10;323
1983-07-11;371
1983-07-12;348
1983-07-13;323
1983-07-14;219
1983-07-15;178
1983-07-16;162
1983-07-17;205
1983-07-18;242
1983-07-19;188
1983-07-20;171
1983-07-21;169
1983-07-22;167
1983-07-23;166
1983-07-24;165
1983-07-25;181
1983-07-26;197
1983-07-27;177
1983-07-28;208
1983-07-29;252
1983-07-30;212
1983-07-31;243
1983-08-01;328
1983-08-02;328
1983-08-03;248
1983-08-04;198
1983-08-05;167
1983-08-06;155
1983-08-07;155
1983-08-08;154
1983-08-09;151
1983-08-10;147
1983-08-11;145
1983-08-12;144
1983-08-13;142
1983-08-14;140
1983-08-15;140
1983-08-16;140
1983-08-17;139
1983-08-18;143
1983-08-19;150
1983-08-20;145
1983-08-21;142
1983-08-22;140
1983-08-23;138
1983-08-24;135
1983-08-25;132
1983-08-26;127
1983-08-27;115
1983-08-28;95
1983-08-29;83
1983-08-30;82
1983-08-31;80
