data;vazao
1983-06-01;38.8354
1983-06-02;41.1632
1983-06-03;43.557
1983-06-04;40.5751
1983-06-05;36.5736
1983-06-06;27.7005
1983-06-07;14.6263
1983-06-08;8.8976
1983-06-09;8.6199
1983-06-10;8.6199
1983-06-11;7.8126
1983-06-12;327.903
1983-06-13;155.686
1983-06-14;65.1045
1983-06-15;29.9518
1983-06-16;37.3885
1983-06-17;46.9333
1983-06-18;41.0832
1983-06-19;41.0832
1983-06-20;45.6014
1983-06-21;46.9333
1983-06-22;41.0832
1983-06-23;37.3885
1983-06-24;45.6014
1983-06-25;45.6014
1983-06-26;39.8333
1983-06-27;33.8592
1983-06-28;25.2626
1983-06-29;15.9522
1983-06-30;14.4886
1983-07-01;13.4315
1983-07-02;13.087
1983-07-03;13.78
1983-07-04;14.8487
1983-07-05;11.4235
1983-07-06;256.296
1983-07-07;295.047
1983-07-08;132.876
1983-07-09;130.689
1983-07-10;210.48
1983-07-11;280.799
1983-07-12;245.909
1983-07-13;210.48
1983-07-14;91.504
1983-07-15;57.4989
1983-07-16;46.2651
1983-07-17;79.056
1983-07-18;113.815
1983-07-19;65.1045
1983-07-20;52.442
1983-07-21;51.0377
1983-07-22;49.6514
1983-07-23;48.9651
1983-07-24;48.2833
1983-07-25;59.7336
1983-07-26;72.3309
1983-07-27;56.763
1983-07-28;81.6508
1983-07-29;124.232
1983-07-30;85.1723
1983-07-31;114.838
1983-08-01;217.357
1983-08-02;217.357
1983-08-03;120.013
1983-08-04;73.1561
1983-08-05;49.6514
1983-08-06;41.7149
1983-08-07;41.7149
1983-08-08;41.0832
1983-08-09;39.2152
1983-08-10;36.7888
1983-08-11;35.6032
1983-08-12;35.0172
1983-08-13;33.8592
1983-08-14;32.7197
1983-08-15;32.7197
1983-08-16;32.7197
1983-08-17;32.1568
1983-08-18;34.4359
1983-08-19;38.6018
1983-08-20;35.6032
1983-08-21;33.8592
1983-08-22;32.7197
1983-08-23;31.5986
1983-08-24;29.9518
1983-08-25;28.3467
1983-08-26;25.7649
1983-08-27;20.2917
1983-08-28;12.7464
1983-08-29;8.9705
1983-08-30;8.6823
1983-08-31;8.1182
