data;vazao
1983-06-01;417.11
1983-06-02;421.264
1983-06-03;400.656
1983-06-04;377.796
1983-06-05;349.003
1983-06-06;272.792
1983-06-07;151.412
1983-06-08;119.771
1983-06-09;112.693
1983-06-10;112.693
1983-06-11;107.479
1983-06-12;266.971
1983-06-13;557.917
1983-06-14;559.468
1983-06-15;482.57
1983-06-16;488.439
1983-06-17;436.634
1983-06-18;403.38
1983-06-19;387.145
1983-06-20;397.939
1983-06-21;342.585
1983-06-22;257.707
1983-06-23;260.018
1983-06-24;396.584
1983-06-25;442.277
1983-06-26;408.85
1983-06-27;342.585
1983-06-28;281.024
1983-06-29;281.024
1983-06-30;253.105
1983-07-01;219.487
1983-07-02;189.585
1983-07-03;193.767
1983-07-04;167.136
1983-07-05;143.747
1983-07-06;387.145
1983-07-07;365.908
1983-07-08;472.367
1983-07-09;944.036
1983-07-10;1232.63
1983-07-11;2035.58
1983-07-12;1753.38
1983-07-13;819.734
1983-07-14;412.972
1983-07-15;277.485
1983-07-16;251.959
1983-07-17;621.254
1983-07-18;491.383
1983-07-19;316.146
1983-07-20;284.582
1983-07-21;275.134
1983-07-22;270.458
1983-07-23;264.657
1983-07-24;268.132
1983-07-25;384.465
1983-07-26;364.597
1983-07-27;278.663
1983-07-28;640.775
1983-07-29;581.354
1983-07-30;417.11
1983-07-31;881.949
1983-08-01;1380.85
1983-08-02;942.13
1983-08-03;542.504
1983-08-04;342.585
1983-08-05;247.392
1983-08-06;228.295
1983-08-07;228.295
1983-08-08;220.582
1983-08-09;208.641
1983-08-10;200.096
1983-08-11;194.817
1983-08-12;189.585
1983-08-13;183.369
1983-08-14;178.242
1983-08-15;180.287
1983-08-16;179.264
1983-08-17;175.19
1983-08-18;206.493
1983-08-19;204.354
1983-08-20;192.718
1983-08-21;182.34
1983-08-22;176.206
1983-08-23;169.138
1983-08-24;161.179
1983-08-25;149.484
1983-08-26;134.354
1983-08-27;145.651
1983-08-28;110.945
1983-08-29;102.348
1983-08-30;97.3008
1983-08-31;92.3399
