data;vazao
1983-06-01;45.2641
1983-06-02;40.2428
1983-06-03;37.107
1983-06-04;24.3873
1983-06-05;21.6003
1983-06-06;20.0329
1983-06-07;19.5276
1983-06-08;18.542
1983-06-09;99.323
1983-06-10;88.1264
1983-06-11;59.5709
1983-06-12;85.463
1983-06-13;85.463
1983-06-14;131.294
1983-06-15;92.2225
1983-06-16;63.8296
1983-06-17;52.5741
1983-06-18;50.6792
1983-06-19;43.5473
1983-06-20;33.4182
1983-06-21;28.0304
1983-06-22;18.542
1983-06-23;16.6699
1983-06-24;175.503
1983-06-25;261.327
1983-06-26;216.138
1983-06-27;214.779
1983-06-28;202.685
1983-06-29;63.8296
1983-06-30;55.5027
1983-07-01;54.5149
1983-07-02;48.8295
1983-07-03;47.0247
1983-07-04;48.8295
1983-07-05;54.5149
1983-07-06;352.784
1983-07-07;875.761
1983-07-08;1096.85
1983-07-09;1012.98
1983-07-10;1022.71
1983-07-11;852.866
1983-07-12;931.631
1983-07-13;694.856
1983-07-14;642.871
1983-07-15;526.313
1983-07-16;481.438
1983-07-17;608.394
1983-07-18;423.97
1983-07-19;392.862
1983-07-20;372.621
1983-07-21;301.904
1983-07-22;245.432
1983-07-23;220.237
1983-07-24;202.685
1983-07-25;222.986
1983-07-26;279.09
1983-07-27;399.698
1983-07-28;475.935
1983-07-29;362.651
1983-07-30;331.756
1983-07-31;301.904
1983-08-01;429.241
1983-08-02;362.651
1983-08-03;333.356
1983-08-04;312.779
1983-08-05;282.093
1983-08-06;256.955
1983-08-07;220.237
1983-08-08;208.027
1983-08-09;181.842
1983-08-10;151.441
1983-08-11;76.5576
1983-08-12;62.7469
1983-08-13;57.5132
1983-08-14;52.5741
1983-08-15;49.7487
1983-08-16;47.0247
1983-08-17;45.2641
1983-08-18;37.107
1983-08-19;28.6702
1983-08-20;22.14
1983-08-21;18.542
1983-08-22;17.5897
1983-08-23;15.7823
1983-08-24;15.3503
1983-08-25;14.5098
1983-08-26;14.1011
1983-08-27;13.7
1983-08-28;13.7
1983-08-29;13.3065
1983-08-30;13.3065
1983-08-31;13.3065
