data;cota
1983-06-01;178
1983-06-02;167
1983-06-03;159
1983-06-04;154
1983-06-05;147
1983-06-06;142
1983-06-07;139
1983-06-08;134
1983-06-09;134
1983-06-10;159
1983-06-11;155
1983-06-12;240
1983-06-13;336
1983-06-14;286
1983-06-15;243
1983-06-16;204
1983-06-17;174
1983-06-18;169
1983-06-19;158
1983-06-20;151
1983-06-21;146
1983-06-22;140
1983-06-23;141
1983-06-24;256
1983-06-25;274
1983-06-26;234
1983-06-27;208
1983-06-28;210
1983-06-29;190
1983-06-30;176
1983-07-01;168
1983-07-02;160
1983-07-03;156
1983-07-04;146
1983-07-05;143
1983-07-06;274
1983-07-07;555
1983-07-08;690
1983-07-09;609
1983-07-10;512
1983-07-11;534
1983-07-12;484
1983-07-13;376
1983-07-14;304
1983-07-15;266
1983-07-16;260
1983-07-17;410
1983-07-18;336
1983-07-19;269
1983-07-20;228
1983-07-21;206
1983-07-22;190
1983-07-23;178
1983-07-24;170
1983-07-25;240
1983-07-26;366
1983-07-27;420
1983-07-28;438
1983-07-29;392
1983-07-30;288
1983-07-31;256
1983-08-01;369
1983-08-02;391
1983-08-03;360
1983-08-04;320
1983-08-05;286
1983-08-06;255
1983-08-07;231
1983-08-08;219
1983-08-09;209
1983-08-10;202
1983-08-11;196
1983-08-12;188
1983-08-13;180
1983-08-14;167
1983-08-15;161
1983-08-16;158
1983-08-17;154
1983-08-18;152
1983-08-19;150
1983-08-20;134
1983-08-21;129
1983-08-22;126
1983-08-23;124
1983-08-24;123
1983-08-25;121
1983-08-26;120
1983-08-27;118
1983-08-28;116
1983-08-29;114
1983-08-30;114
1983-08-31;112
