data;vazao
1983-06-01;157.457
1983-06-02;134.165
1983-06-03;118.395
1983-06-04;109.04
1983-06-05;96.5888
1983-06-06;88.1573
1983-06-07;83.2832
1983-06-08;75.4677
1983-06-09;75.4677
1983-06-10;118.395
1983-06-11;110.88
1983-06-12;319.572
1983-06-13;603.13
1983-06-14;447.088
1983-06-15;327.394
1983-06-16;219.92
1983-06-17;148.772
1983-06-18;138.261
1983-06-19;116.493
1983-06-20;103.611
1983-06-21;94.8717
1983-06-22;84.8925
1983-06-23;86.5172
1983-06-24;362.102
1983-06-25;412.289
1983-06-26;304.142
1983-06-27;230.453
1983-06-28;235.813
1983-06-29;184.992
1983-06-30;153.084
1983-07-01;136.205
1983-07-02;120.313
1983-07-03;112.736
1983-07-04;94.8717
1983-07-05;89.8128
1983-07-06;412.289
1983-07-07;1516.71
1983-07-08;2224.77
1983-07-09;1787.73
1983-07-10;1313.07
1983-07-11;1415.88
1983-07-12;1186.46
1983-07-13;1039.29
1983-07-14;840.337
1983-07-15;686.342
1983-07-16;586.747
1983-07-17;875.685
1983-07-18;671.95
1983-07-19;551.303
1983-07-20;458.921
1983-07-21;384.106
1983-07-22;327.394
1983-07-23;286.817
1983-07-24;272.149
1983-07-25;395.289
1983-07-26;708.144
1983-07-27;915.599
1983-07-28;989.109
1983-07-29;805.537
1983-07-30;599.84
1983-07-31;551.303
1983-08-01;719.141
1983-08-02;801.705
1983-08-03;686.342
1983-08-04;551.303
1983-08-05;447.088
1983-08-06;359.385
1983-08-07;295.803
1983-08-08;260.691
1983-08-09;233.125
1983-08-10;214.745
1983-08-11;199.592
1983-08-12;180.249
1983-08-13;161.893
1983-08-14;134.165
1983-08-15;122.245
1983-08-16;116.493
1983-08-17;109.04
1983-08-18;105.405
1983-08-19;101.832
1983-08-20;75.4677
1983-08-21;68.0372
1983-08-22;63.7637
1983-08-23;60.9917
1983-08-24;59.6288
1983-08-25;56.9128
1983-08-26;55.6737
1983-08-27;53.2334
1983-08-28;50.8438
1983-08-29;48.505
1983-08-30;48.505
1983-08-31;46.2172
