data;vazao
1983-06-01;31.9288
1983-06-02;28.4018
1983-06-03;27.2406
1983-06-04;26.663
1983-06-05;25.2284
1983-06-06;25.5142
1983-06-07;23.8072
1983-06-08;23.2426
1983-06-09;23.2426
1983-06-10;29.8644
1983-06-11;22.1203
1983-06-12;117.194
1983-06-13;56.177
1983-06-14;43.0672
1983-06-15;38.3447
1983-06-16;27.8202
1983-06-17;24.943
1983-06-18;26.3751
1983-06-19;17.7286
1983-06-20;23.8072
1983-06-21;23.2426
1983-06-22;22.6803
1983-06-23;22.6803
1983-06-24;73.3579
1983-06-25;75.5131
1983-06-26;40.6602
1983-06-27;36.3618
1983-06-28;34.6838
1983-06-29;30.4529
1983-06-30;27.8202
1983-07-01;27.8202
1983-07-02;28.1107
1983-07-03;24.943
1983-07-04;23.5246
1983-07-05;21.5626
1983-07-06;96.2434
1983-07-07;103.513
1983-07-08;110.895
1983-07-09;118.383
1983-07-10;126.111
1983-07-11;134.692
1983-07-12;214.535
1983-07-13;103.513
1983-07-14;71.5722
1983-07-15;47.1348
1983-07-16;49.3703
1983-07-17;153.08
1983-07-18;60.3758
1983-07-19;46.2455
1983-07-20;37.8424
1983-07-21;35.877
1983-07-22;32.8303
1983-07-23;29.8644
1983-07-24;28.6933
1983-07-25;50.2693
1983-07-26;159.614
1983-07-27;171.403
1983-07-28;94.3493
1983-07-29;67.3258
1983-07-30;26.0876
1983-07-31;48.027
1983-08-01;106.608
1983-08-02;79.4987
1983-08-03;52.5285
1983-08-04;41.4523
1983-08-05;35.877
1983-08-06;32.3775
1983-08-07;31.4844
1983-08-08;30.4529
1983-08-09;28.6933
1983-08-10;27.2406
1983-08-11;26.663
1983-08-12;26.0876
1983-08-13;25.2284
1983-08-14;24.943
1983-08-15;24.6582
1983-08-16;24.6582
1983-08-17;28.1107
1983-08-18;27.2406
1983-08-19;24.6582
1983-08-20;24.0903
1983-08-21;23.2426
1983-08-22;23.8072
1983-08-23;23.8072
1983-08-24;23.2426
1983-08-25;23.5246
1983-08-26;23.5246
1983-08-27;22.4
1983-08-28;21.0074
1983-08-29;22.4
1983-08-30;22.1203
1983-08-31;21.5626
