data;vazao
1983-06-01;791.028
1983-06-02;636.036
1983-06-03;599.582
1983-06-04;578.373
1983-06-05;557.342
1983-06-06;536.493
1983-06-07;429.186
1983-06-08;439.069
1983-06-09;305.715
1983-06-10;390.18
1983-06-11;401.792
1983-06-12;646.851
1983-06-13;1450.45
1983-06-14;1204.35
1983-06-15;987.963
1983-06-16;1333.83
1983-06-17;1188.46
1983-06-18;1125.54
1983-06-19;551.068
1983-06-20;666.424
1983-06-21;793.824
1983-06-22;949.271
1983-06-23;1113.09
1983-06-24;1284.79
1983-06-25;1909.14
1983-06-26;1566.6
1983-06-27;1229.92
1983-06-28;1109.98
1983-06-29;913.984
1983-06-30;827.616
1983-07-01;793.824
1983-07-02;734.852
1983-07-03;705.969
1983-07-04;644.685
1983-07-05;561.534
1983-07-06;1271.82
1983-07-07;3195.21
1983-07-08;4830.59
1983-07-09;5273.52
1983-07-10;4732.74
1983-07-11;4611.3
1983-07-12;4727.86
1983-07-13;4645.2
1983-07-14;3853.34
1983-07-15;2768.73
1983-07-16;2252.63
1983-07-17;3032.53
1983-07-18;2839.18
1983-07-19;2206.33
1983-07-20;1771.04
1983-07-21;1521.86
1983-07-22;1330.55
1983-07-23;1188.46
1983-07-24;1106.88
1983-07-25;1604.77
1983-07-26;2338.28
1983-07-27;2914.36
1983-07-28;2893.42
1983-07-29;3019.8
1983-07-30;2420.97
1983-07-31;2171.8
1983-08-01;2826.71
1983-08-02;3087.88
1983-08-03;2621.39
1983-08-04;2164.15
1983-08-05;1756.69
1983-08-06;1487.72
1983-08-07;1288.05
1983-08-08;1166.32
1983-08-09;1075.99
1983-08-10;999.965
1983-08-11;946.314
1983-08-12;899.405
1983-08-13;856.109
1983-08-14;791.028
1983-08-15;694.932
1983-08-16;664.243
1983-08-17;697.136
1983-08-18;779.875
1983-08-19;830.452
1983-08-20;766.002
1983-08-21;719.266
1983-08-22;627.414
1983-08-23;582.601
1983-08-24;553.158
1983-08-25;524.072
1983-08-26;507.616
1983-08-27;471.041
1983-08-28;415.437
1983-08-29;371.005
1983-08-30;350.173
1983-08-31;342.668
