data;cota
1983-06-01;210
1983-06-02;202
1983-06-03;203
1983-06-04;189
1983-06-05;184
1983-06-06;180
1983-06-07;178
1983-06-08;174
1983-06-09;171
1983-06-10;177
1983-06-11;173
1983-06-12;368
1983-06-13;414
1983-06-14;354
1983-06-15;273
1983-06-16;233
1983-06-17;218
1983-06-18;209
1983-06-19;196
1983-06-20;189
1983-06-21;184
1983-06-22;180
1983-06-23;176
1983-06-24;278
1983-06-25;250
1983-06-26;234
1983-06-27;221
1983-06-28;210
1983-06-29;206
1983-06-30;203
1983-07-01;198
1983-07-02;198
1983-07-03;193
1983-07-04;185
1983-07-05;180
1983-07-06;402
1983-07-07;680
1983-07-08;580
1983-07-09;662
1983-07-10;626
1983-07-11;603
1983-07-12;655
1983-07-13;427
1983-07-14;365
1983-07-15;327
1983-07-16;334
1983-07-17;590
1983-07-18;383
1983-07-19;329
1983-07-20;298
1983-07-21;282
1983-07-22;269
1983-07-23;258
1983-07-24;271
1983-07-25;480
1983-07-26;418
1983-07-27;430
1983-07-28;650
1983-07-29;428
1983-07-30;340
1983-07-31;432
1983-08-01;619
1983-08-02;700
1983-08-03;365
1983-08-04;320
1983-08-05;298
1983-08-06;278
1983-08-07;264
1983-08-08;254
1983-08-09;245
1983-08-10;236
1983-08-11;230
1983-08-12;223
1983-08-13;216
1983-08-14;211
1983-08-15;208
1983-08-16;208
1983-08-17;213
1983-08-18;252
1983-08-19;215
1983-08-20;214
1983-08-21;196
1983-08-22;194
1983-08-23;191
1983-08-24;189
1983-08-25;186
1983-08-26;183
1983-08-27;179
1983-08-28;176
1983-08-29;173
1983-08-30;171
1983-08-31;169
