data;vazao
1983-06-01;59.1718
1983-06-02;52.5556
1983-06-03;50.4161
1983-06-04;45.7254
1983-06-05;42.6946
1983-06-06;40.7176
1983-06-07;39.2581
1983-06-08;37.8186
1983-06-09;36.3994
1983-06-10;40.2289
1983-06-11;36.3994
1983-06-12;133.225
1983-06-13;223.027
1983-06-14;160.137
1983-06-15;101.925
1983-06-16;75.7233
1983-06-17;61.442
1983-06-18;56.9338
1983-06-19;49.3589
1983-06-20;45.2148
1983-06-21;42.6946
1983-06-22;40.7176
1983-06-23;38.776
1983-06-24;104.006
1983-06-25;81.9988
1983-06-26;70.839
1983-06-27;63.7441
1983-06-28;56.9338
1983-06-29;54.182
1983-06-30;52.5556
1983-07-01;50.4161
1983-07-02;49.8865
1983-07-03;47.2699
1983-07-04;43.1943
1983-07-05;40.7176
1983-07-06;147.241
1983-07-07;383.221
1983-07-08;433.201
1983-07-09;451.171
1983-07-10;383.221
1983-07-11;396.938
1983-07-12;523.198
1983-07-13;240.896
1983-07-14;179.375
1983-07-15;140.168
1983-07-16;127.918
1983-07-17;345.351
1983-07-18;201.202
1983-07-19;140.168
1983-07-20;116.092
1983-07-21;103.31
1983-07-22;93.7598
1983-07-23;85.2063
1983-07-24;88.4598
1983-07-25;204.78
1983-07-26;190.608
1983-07-27;231.427
1983-07-28;344.259
1983-07-29;268.16
1983-07-30;154.445
1983-07-31;187.124
1983-08-01;371.93
1983-08-02;315.286
1983-08-03;175.971
1983-08-04;135.525
1983-08-05;115.368
1983-08-06;99.8595
1983-08-07;90.4337
1983-08-08;83.2762
1983-08-09;76.9634
1983-08-10;72.0486
1983-08-11;67.8487
1983-08-12;63.7441
1983-08-13;60.3029
1983-08-14;56.9338
1983-08-15;54.7283
1983-08-16;54.7283
1983-08-17;58.0487
1983-08-18;80.0965
1983-08-19;64.907
1983-08-20;53.6378
1983-08-21;48.8335
1983-08-22;47.2699
1983-08-23;46.2381
1983-08-24;45.2148
1983-08-25;43.1943
1983-08-26;42.197
1983-08-27;40.2289
1983-08-28;38.2962
1983-08-29;37.3433
1983-08-30;36.3994
1983-08-31;35.4646
