data;cota
1980-01-01;81
1980-01-02;57
1980-01-03;52
1980-01-04;49
1980-01-05;48
1980-01-06;50
1980-01-07;59
1980-01-08;70
1980-01-09;163
1980-01-10;125
1980-01-11;117
1980-01-12;70
1980-01-13;65
1980-01-14;59
1980-01-15;56
1980-01-16;53
1980-01-17;53
1980-01-18;82
1980-01-19;77
1980-01-20;73
1980-01-21;64
1980-01-22;56
1980-01-23;56
1980-01-24;66
1980-01-25;78
1980-01-26;78
1980-01-27;67
1980-01-28;57
1980-01-29;69
1980-01-30;63
1980-01-31;53
1980-02-01;51
1980-02-02;49
1980-02-03;48
1980-02-04;46
1980-02-05;44
1980-02-06;44
1980-02-07;47
1980-02-08;45
1980-02-09;41
1980-02-10;54
1980-02-11;44
1980-02-12;45
1980-02-13;43
1980-02-14;40
1980-02-15;32
1980-02-16;42
1980-02-17;49
1980-02-18;59
1980-02-19;57
1980-02-20;56
1980-02-21;51
1980-02-22;36
1980-02-23;42
1980-02-24;59
1980-02-25;48
1980-02-26;46
1980-02-27;63
1980-02-28;57
1980-02-29;113
1980-03-01;89
1980-03-02;94
1980-03-03;139
1980-03-04;113
1980-03-05;169
1980-03-06;172
1980-03-07;135
1980-03-08;98
1980-03-09;85
1980-03-10;100
1980-03-11;95
1980-03-12;84
1980-03-13;76
1980-03-14;82
1980-03-15;79
1980-03-16;65
1980-03-17;60
1980-03-18;61
1980-03-19;69
1980-03-20;62
1980-03-21;53
1980-03-22;49
1980-03-23;45
1980-03-24;46
1980-03-25;45
1980-03-26;45
1980-03-27;44
1980-03-28;41
1980-03-29;33
1980-03-30;82
1980-03-31;58
1980-04-01;47
1980-04-02;44
1980-04-03;43
1980-04-04;41
1980-04-05;40
1980-04-06;39
1980-04-07;37
1980-04-08;37
1980-04-09;36
1980-04-10;35
1980-04-11;28
1980-04-12;46
1980-04-13;62
1980-04-14;72
1980-04-15;107
1980-04-16;85
1980-04-17;63
1980-04-18;53
1980-04-19;50
1980-04-20;47
1980-04-21;45
1980-04-22;43
1980-04-23;40
1980-04-24;40
1980-04-25;39
1980-04-26;37
1980-04-27;37
1980-04-28;37
1980-04-29;36
1980-04-30;36
1980-05-01;36
1980-05-02;92
1980-05-03;83
1980-05-04;60
1980-05-05;46
1980-05-06;44
1980-05-07;48
1980-05-08;69
1980-05-09;69
1980-05-10;64
1980-05-11;62
1980-05-12;58
1980-05-13;50
1980-05-14;48
1980-05-15;46
1980-05-16;46
1980-05-17;46
1980-05-18;44
1980-05-19;44
1980-05-20;44
1980-05-21;49
1980-05-22;58
1980-05-23;52
1980-05-24;44
1980-05-25;42
1980-05-26;40
1980-05-27;39
1980-05-28;38
1980-05-29;26
1980-05-30;38
1980-05-31;37
1980-06-01;36
1980-06-02;37
1980-06-03;36
1980-06-04;35
1980-06-05;34
1980-06-06;34
1980-06-07;33
1980-06-08;33
1980-06-09;33
1980-06-10;33
1980-06-11;33
1980-06-12;32
1980-06-13;39
1980-06-14;42
1980-06-15;36
1980-06-16;33
1980-06-17;32
1980-06-18;30
1980-06-19;30
1980-06-20;34
1980-06-21;36
1980-06-22;34
1980-06-23;35
1980-06-24;40
1980-06-25;72
1980-06-26;100
1980-06-27;74
1980-06-28;59
1980-06-29;53
1980-06-30;44
1980-07-01;46
1980-07-02;61
1980-07-03;84
1980-07-04;108
1980-07-05;112
1980-07-06;98
1980-07-07;78
1980-07-08;62
1980-07-09;108
1980-07-10;102
1980-07-11;116
1980-07-12;108
1980-07-13;91
1980-07-14;69
1980-07-15;65
1980-07-16;62
1980-07-17;57
1980-07-18;56
