data;vazao
1980-01-01;38.0764
1980-01-02;20.4594
1980-01-03;17.3511
1980-01-04;15.5853
1980-01-05;15.0136
1980-01-06;16.1655
1980-01-07;21.7593
1980-01-08;29.4661
1980-01-09;127.158
1980-01-10;80.7409
1980-01-11;72.0595
1980-01-12;29.4661
1980-01-13;25.8479
1980-01-14;21.7593
1980-01-15;19.8214
1980-01-16;17.9563
1980-01-17;17.9563
1980-01-18;38.9023
1980-01-19;34.844
1980-01-20;31.7269
1980-01-21;25.1471
1980-01-22;19.8214
1980-01-23;19.8214
1980-01-24;26.5564
1980-01-25;35.6413
1980-01-26;35.6413
1980-01-27;27.2725
1980-01-28;20.4594
1980-01-29;28.7274
1980-01-30;24.4539
1980-01-31;17.9563
1980-02-01;16.7541
1980-02-02;15.5853
1980-02-03;15.0136
1980-02-04;13.8959
1980-02-05;12.8129
1980-02-06;12.8129
1980-02-07;14.4504
1980-02-08;13.35
1980-02-09;11.2848
1980-02-10;18.5699
1980-02-11;12.8129
1980-02-12;13.35
1980-02-13;12.2846
1980-02-14;10.8188
1980-02-15;7.3996
1980-02-16;11.7592
1980-02-17;15.5853
1980-02-18;21.7593
1980-02-19;20.4594
1980-02-20;19.8214
1980-02-21;16.7541
1980-02-22;9.0398
1980-02-23;11.7592
1980-02-24;21.7593
1980-02-25;15.0136
1980-02-26;13.8959
1980-02-27;24.4539
1980-02-28;20.4594
1980-02-29;67.8675
1980-03-01;44.8792
1980-03-02;49.3545
1980-03-03;96.865
1980-03-04;67.8675
1980-03-05;135.238
1980-03-06;139.351
1980-03-07;92.1391
1980-03-08;53.0558
1980-03-09;41.4221
1980-03-10;54.9463
1980-03-11;50.2698
1980-03-12;40.5752
1980-03-13;34.0538
1980-03-14;38.9023
1980-03-15;36.4459
1980-03-16;25.8479
1980-03-17;22.4212
1980-03-18;23.0909
1980-03-19;28.7274
1980-03-20;23.7685
1980-03-21;17.9563
1980-03-22;15.5853
1980-03-23;13.35
1980-03-24;13.8959
1980-03-25;13.35
1980-03-26;13.35
1980-03-27;12.8129
1980-03-28;11.2848
1980-03-29;7.7964
1980-03-30;38.9023
1980-03-31;21.1053
1980-04-01;14.4504
1980-04-02;12.8129
1980-04-03;12.2846
1980-04-04;11.2848
1980-04-05;10.8188
1980-04-06;10.3613
1980-04-07;9.4717
1980-04-08;9.4717
1980-04-09;9.0398
1980-04-10;8.6166
1980-04-11;5.9021
1980-04-12;13.8959
1980-04-13;23.7685
1980-04-14;30.9659
1980-04-15;61.7689
1980-04-16;41.4221
1980-04-17;24.4539
1980-04-18;17.9563
1980-04-19;16.1655
1980-04-20;14.4504
1980-04-21;13.35
1980-04-22;12.2846
1980-04-23;10.8188
1980-04-24;10.8188
1980-04-25;10.3613
1980-04-26;9.4717
1980-04-27;9.4717
1980-04-28;9.4717
1980-04-29;9.0398
1980-04-30;9.0398
1980-05-01;9.0398
1980-05-02;47.5441
1980-05-03;39.7352
1980-05-04;22.4212
1980-05-05;13.8959
1980-05-06;12.8129
1980-05-07;15.0136
1980-05-08;28.7274
1980-05-09;28.7274
1980-05-10;25.1471
1980-05-11;23.7685
1980-05-12;21.1053
1980-05-13;16.1655
1980-05-14;15.0136
1980-05-15;13.8959
1980-05-16;13.8959
1980-05-17;13.8959
1980-05-18;12.8129
1980-05-19;12.8129
1980-05-20;12.8129
1980-05-21;15.5853
1980-05-22;21.1053
1980-05-23;17.3511
1980-05-24;12.8129
1980-05-25;11.7592
1980-05-26;10.8188
1980-05-27;10.3613
1980-05-28;9.9122
1980-05-29;9.9122
1980-05-30;9.9122
1980-05-31;9.4717
1980-06-01;9.0398
1980-06-02;9.4717
1980-06-03;9.0398
1980-06-04;8.6166
1980-06-05;8.2021
1980-06-06;8.2021
1980-06-07;7.7964
1980-06-08;7.7964
1980-06-09;7.7964
1980-06-10;7.7964
1980-06-11;7.7964
1980-06-12;7.3996
1980-06-13;10.3613
1980-06-14;11.7592
1980-06-15;9.0398
1980-06-16;7.7964
1980-06-17;7.3996
1980-06-18;6.6327
1980-06-19;6.6327
1980-06-20;8.2021
1980-06-21;9.0398
1980-06-22;8.2021
1980-06-23;8.6166
1980-06-24;10.8188
1980-06-25;30.9659
1980-06-26;54.9463
1980-06-27;32.4952
1980-06-28;21.7593
1980-06-29;17.9563
1980-06-30;12.8129
1980-07-01;13.8959
1980-07-02;23.0909
1980-07-03;40.5752
1980-07-04;62.7694
1980-07-05;66.8352
1980-07-06;53.0558
1980-07-07;35.6413
1980-07-08;23.7685
1980-07-09;62.7694
1980-07-10;56.8631
1980-07-11;71.0021
1980-07-12;62.7694
1980-07-13;46.649
1980-07-14;28.7274
1980-07-15;25.8479
1980-07-16;23.7685
1980-07-17;20.4594
1980-07-18;19.8214
1980-07-19;18.5699
1980-07-20;17.3511
1980-07-21;16.1655
1980-07-22;15.0136
1980-07-23;14.4504
1980-07-24;13.8959
1980-07-25;13.35
1980-07-26;13.8959
1980-07-27;19.8214
1980-07-28;17.3511
1980-07-29;37.2576
1980-07-30;248.696
1980-07-31;72.0595
1980-08-01;85.2281
1980-08-02;112.867
1980-08-03;125.831
1980-08-04;131.173
1980-08-05;133.877
1980-08-06;142.121
1980-08-07;127.158
1980-08-08;123.193
1980-08-09;151.985
1980-08-10;123.193
1980-08-11;51.1918
1980-08-12;27.2725
1980-08-13;26.5564
1980-08-14;24.4539
1980-08-15;23.0909
1980-08-16;22.4212
1980-08-17;21.1053
1980-08-18;38.0764
1980-08-19;53.0558
1980-08-20;62.7694
1980-08-21;137.975
1980-08-22;349.424
1980-08-23;221.517
1980-08-24;201.963
1980-08-25;165.052
1980-08-26;175.511
1980-08-27;163.579
1980-08-28;156.293
1980-08-29;149.14
1980-08-30;150.56
1980-08-31;142.121
1980-09-01;144.912
