data;cota
1980-01-01;217
1980-01-02;161
1980-01-03;143
1980-01-04;135
1980-01-05;131
1980-01-06;125
1980-01-07;160
1980-01-08;171
1980-01-09;256
1980-01-10;290
1980-01-11;265
1980-01-12;196
1980-01-13;179
1980-01-14;155
1980-01-15;145
1980-01-16;145
1980-01-17;148
1980-01-18;208
1980-01-19;269
1980-01-20;244
1980-01-21;188
1980-01-22;162
1980-01-23;149
1980-01-24;186
1980-01-25;230
1980-01-26;240
1980-01-27;213
1980-01-28;185
1980-01-29;187
1980-01-30;171
1980-01-31;156
1980-02-01;149
1980-02-02;142
1980-02-03;136
1980-02-04;130
1980-02-05;125
1980-02-06;124
1980-02-07;146
1980-02-08;137
1980-02-09;123
1980-02-10;107
1980-02-11;131
1980-02-12;135
1980-02-13;126
1980-02-14;117
1980-02-15;101
1980-02-16;107
1980-02-17;108
1980-02-18;123
1980-02-19;136
1980-02-20;110
1980-02-21;108
1980-02-22;102
1980-02-23;106
1980-02-24;103
1980-02-25;121
1980-02-26;122
1980-02-27;152
1980-02-28;152
1980-02-29;176
1980-03-01;395
1980-03-02;369
1980-03-03;435
1980-03-04;396
1980-03-05;410
1980-03-06;440
1980-03-07;410
1980-03-08;376
1980-03-09;374
1980-03-10;370
1980-03-11;360
1980-03-12;360
1980-03-13;370
1980-03-14;361
1980-03-15;281
1980-03-16;218
1980-03-17;194
1980-03-18;185
1980-03-19;174
1980-03-20;170
1980-03-21;157
1980-03-22;148
1980-03-23;142
1980-03-24;137
1980-03-25;135
1980-03-26;131
1980-03-27;142
1980-03-28;187
1980-03-29;164
1980-03-30;174
1980-03-31;152
1980-04-01;142
1980-04-02;135
1980-04-03;127
1980-04-04;123
1980-04-05;118
1980-04-06;117
1980-04-07;112
1980-04-08;112
1980-04-09;110
1980-04-10;110
1980-04-11;108
1980-04-12;102
1980-04-13;178
1980-04-14;126
1980-04-15;309
1980-04-16;244
1980-04-17;282
1980-04-18;158
1980-04-19;146
1980-04-20;138
1980-04-21;130
1980-04-22;127
1980-04-23;123
1980-04-24;120
1980-04-25;116
1980-04-26;115
1980-04-27;112
1980-04-28;109
1980-04-29;109
1980-04-30;107
1980-05-01;109
1980-05-02;175
1980-05-03;166
1980-05-04;125
1980-05-05;113
1980-05-06;111
1980-05-07;108
1980-05-08;150
1980-05-09;183
1980-05-10;169
1980-05-11;226
1980-05-12;200
1980-05-13;165
1980-05-14;148
1980-05-15;139
1980-05-16;132
1980-05-17;141
1980-05-18;135
1980-05-19;131
1980-05-20;135
1980-05-21;135
1980-05-22;176
1980-05-23;158
1980-05-24;142
1980-05-25;133
1980-05-26;127
1980-05-27;125
1980-05-28;121
1980-05-29;110
1980-05-30;114
1980-05-31;117
1980-06-01;113
1980-06-02;112
1980-06-03;111
1980-06-04;106
1980-06-05;106
1980-06-06;102
1980-06-07;103
1980-06-08;102
1980-06-09;100
1980-06-10;102
1980-06-11;101
1980-06-12;98
1980-06-13;109
1980-06-14;118
1980-06-15;106
1980-06-16;98
1980-06-17;97
1980-06-18;97
1980-06-19;96
1980-06-20;98
1980-06-21;120
1980-06-22;158
1980-06-23;148
1980-06-24;126
1980-06-25;228
1980-06-26;312
1980-06-27;265
1980-06-28;189
1980-06-29;161
1980-06-30;148
1980-07-01;223
1980-07-02;310
1980-07-03;324
1980-07-04;350
1980-07-05;353
1980-07-06;338
1980-07-07;270
1980-07-08;216
1980-07-09;295
1980-07-10;326
1980-07-11;303
1980-07-12;276
1980-07-13;243
1980-07-14;214
1980-07-15;195
1980-07-16;177
1980-07-17;169
1980-07-18;163
1980-07-19;157
1980-07-20;151
1980-07-21;146
1980-07-22;142
1980-07-23;137
1980-07-24;133
1980-07-25;128
1980-07-26;129
1980-07-27;142
1980-07-28;136
1980-07-29;158
1980-07-30;684
