data;cota
1980-01-01;127
1980-01-02;122
1980-01-03;123
1980-01-04;120
1980-01-05;119
1980-01-06;118
1980-01-07;142
1980-01-08;161
1980-01-09;185
1980-01-10;196
1980-01-11;168
1980-01-12;150
1980-01-13;142
1980-01-14;137
1980-01-15;132
1980-01-16;131
1980-01-17;149
1980-01-18;175
1980-01-19;192
1980-01-20;172
1980-01-21;155
1980-01-22;149
1980-01-23;141
1980-01-24;166
1980-01-25;195
1980-01-26;198
1980-01-27;179
1980-01-28;166
1980-01-29;172
1980-01-30;152
1980-01-31;149
1980-02-01;149
1980-02-02;144
1980-02-03;140
1980-02-04;138
1980-02-05;130
1980-02-06;128
1980-02-07;132
1980-02-08;129
1980-02-09;125
1980-02-10;122
1980-02-11;143
1980-02-12;152
1980-02-13;134
1980-02-14;128
1980-02-15;126
1980-02-16;130
1980-02-17;122
1980-02-18;126
1980-02-19;125
1980-02-20;119
1980-02-21;117
1980-02-22;114
1980-02-23;150
1980-02-24;131
1980-02-25;125
1980-02-26;124
1980-02-27;128
1980-02-28;126
1980-02-29;198
1980-03-01;222
1980-03-02;129
1980-03-03;185
1980-03-04;311
1980-03-05;209
1980-03-06;182
1980-03-07;185
1980-03-08;166
1980-03-09;154
1980-03-10;160
1980-03-11;148
1980-03-12;164
1980-03-13;164
1980-03-14;153
1980-03-15;145
1980-03-16;146
1980-03-17;142
1980-03-18;138
1980-03-19;135
1980-03-20;131
1980-03-21;128
1980-03-22;125
1980-03-23;123
1980-03-24;121
1980-03-25;119
1980-03-26;118
1980-03-27;116
1980-03-28;115
1980-03-29;114
1980-03-30;114
1980-03-31;118
1980-04-01;112
1980-04-02;110
1980-04-03;109
1980-04-04;109
1980-04-05;108
1980-04-06;107
1980-04-07;105
1980-04-08;105
1980-04-09;105
1980-04-10;122
1980-04-11;110
1980-04-12;107
1980-04-13;132
1980-04-14;157
1980-04-15;195
1980-04-16;148
1980-04-17;136
1980-04-18;130
1980-04-19;135
1980-04-20;121
1980-04-21;118
1980-04-22;116
1980-04-23;114
1980-04-24;112
1980-04-25;110
1980-04-26;109
1980-04-27;108
1980-04-28;107
1980-04-29;106
1980-04-30;105
1980-05-01;110
1980-05-02;109
1980-05-03;109
1980-05-04;106
1980-05-05;104
1980-05-06;102
1980-05-07;101
1980-05-08;124
1980-05-09;126
1980-05-10;130
1980-05-11;161
1980-05-12;139
1980-05-13;130
1980-05-14;125
1980-05-15;121
1980-05-16;118
1980-05-17;114
1980-05-18;118
1980-05-19;120
1980-05-20;124
1980-05-21;120
1980-05-22;120
1980-05-23;117
1980-05-24;114
1980-05-25;112
1980-05-26;111
1980-05-27;110
1980-05-28;109
1980-05-29;107
1980-05-30;106
1980-05-31;105
1980-06-01;105
1980-06-02;105
1980-06-03;104
1980-06-04;101
1980-06-05;100
1980-06-06;99
1980-06-07;99
1980-06-08;99
1980-06-09;99
1980-06-10;99
1980-06-11;98
1980-06-12;97
1980-06-13;99
1980-06-14;99
1980-06-15;99
1980-06-16;97
1980-06-17;94
1980-06-18;94
1980-06-19;95
1980-06-20;95
1980-06-21;132
1980-06-22;118
1980-06-23;115
1980-06-24;117
1980-06-25;195
1980-06-26;220
1980-06-27;164
1980-06-28;144
1980-06-29;136
1980-06-30;131
1980-07-01;186
1980-07-02;320
1980-07-03;258
1980-07-04;227
1980-07-05;201
1980-07-06;156
1980-07-07;170
1980-07-08;162
1980-07-09;224
1980-07-10;206
1980-07-11;180
1980-07-12;169
1980-07-13;189
1980-07-14;189
1980-07-15;173
1980-07-16;162
1980-07-17;159
1980-07-18;105
1980-07-19;145
1980-07-20;144
1980-07-21;140
1980-07-22;136
1980-07-23;132
1980-07-24;129
1980-07-25;128
1980-07-26;124
1980-07-27;124
1980-07-28;124
1980-07-29;126
1980-07-30;318
1980-07-31;235
1980-08-01;199
1980-08-02;179
1980-08-03;166
1980-08-04;158
1980-08-05;152
1980-08-06;112
1980-08-07;150
1980-08-08;144
1980-08-09;142
1980-08-10;139
1980-08-11;136
1980-08-12;134
1980-08-13;131
1980-08-14;130
1980-08-15;129
1980-08-16;127
1980-08-17;126
1980-08-18;130
1980-08-19;132
1980-08-20;138
1980-08-21;204
1980-08-22;218
1980-08-23;220
1980-08-24;202
1980-08-25;370
1980-08-26;280
1980-08-27;244
1980-08-28;210
1980-08-29;191
1980-08-30;180
1980-08-31;170
1980-09-01;168
1980-09-02;303
1980-09-03;288
1980-09-04;220
1980-09-05;199
1980-09-06;186
1980-09-07;176
1980-09-08;168
1980-09-09;174
1980-09-10;161
1980-09-11;151
1980-09-12;152
1980-09-13;148
1980-09-14;152
1980-09-15;152
1980-09-16;156
1980-09-17;158
1980-09-18;167
1980-09-19;149
1980-09-20;159
1980-09-21;169
1980-09-22;170
1980-09-23;162
1980-09-24;156
1980-09-25;151
1980-09-26;146
1980-09-27;141
1980-09-28;156
1980-09-29;149
1980-09-30;144
1980-10-01;140
1980-10-02;138
1980-10-03;136
1980-10-04;130
1980-10-05;132
1980-10-06;130
1980-10-07;132
1980-10-08;144
1980-10-09;143
1980-10-10;134
1980-10-11;135
1980-10-12;145
1980-10-13;167
1980-10-14;164
1980-10-15;157
1980-10-16;150
1980-10-17;144
1980-10-18;140
1980-10-19;174
1980-10-20;196
1980-10-21;180
1980-10-22;173
1980-10-23;172
1980-10-24;160
1980-10-25;157
1980-10-26;150
1980-10-27;164
1980-10-28;158
1980-10-29;152
1980-10-30;157
1980-10-31;185
1980-11-01;170
1980-11-02;159
1980-11-03;154
1980-11-04;146
1980-11-05;142
1980-11-06;144
1980-11-07;140
1980-11-08;136
1980-11-09;174
1980-11-10;188
1980-11-11;166
1980-11-12;156
1980-11-13;148
1980-11-14;142
1980-11-15;138
1980-11-16;137
1980-11-17;134
1980-11-18;130
1980-11-19;128
1980-11-20;126
1980-11-21;125
1980-11-22;125
1980-11-23;128
1980-11-24;136
1980-11-25;127
1980-11-26;123
1980-11-27;120
1980-11-28;119
1980-11-29;123
1980-11-30;120
1980-12-01;119
1980-12-02;293
1980-12-03;260
1980-12-04;157
1980-12-05;194
1980-12-06;144
1980-12-07;140
1980-12-08;134
1980-12-09;130
1980-12-10;127
1980-12-11;128
1980-12-12;130
1980-12-13;153
1980-12-14;138
1980-12-15;130
1980-12-16;126
1980-12-17;122
1980-12-18;120
1980-12-19;124
1980-12-20;510
1980-12-21;425
1980-12-22;325
1980-12-23;230
1980-12-24;144
1980-12-25;192
1980-12-26;180
1980-12-27;177
1980-12-28;330
1980-12-29;300
1980-12-30;250
1980-12-31;206
1981-01-01;187
1981-01-02;180
1981-01-03;170
1981-01-04;180
1981-01-05;180
1981-01-06;181
1981-01-07;146
