data;vazao
1980-01-01;15.0305
1980-01-02;11.2292
1980-01-03;10.4768
1980-01-04;9.4087
1980-01-05;9.0685
1980-01-06;8.7361
1980-01-07;10.4768
1980-01-08;14.1255
1980-01-09;47.1685
1980-01-10;43.5705
1980-01-11;23.6
1980-01-12;20.0973
1980-01-13;14.5736
1980-01-14;12.8333
1980-01-15;12.0145
1980-01-16;14.1255
1980-01-17;20.0973
1980-01-18;31.8722
1980-01-19;24.6265
1980-01-20;20.6603
1980-01-21;15.0305
1980-01-22;13.2555
1980-01-23;12.0145
1980-01-24;14.1255
1980-01-25;22.104
1980-01-26;21.617
1980-01-27;19.5488
1980-01-28;19.0098
1980-01-29;21.617
1980-01-30;15.4962
1980-01-31;12.8333
1980-02-01;12.8333
1980-02-02;12.8333
1980-02-03;13.6862
1980-02-04;12.0145
1980-02-05;10.8489
1980-02-06;10.4768
1980-02-07;23.0955
1980-02-08;17.449
1980-02-09;11.6177
1980-02-10;10.4768
1980-02-11;32.4711
1980-02-12;24.6265
1980-02-13;16.4545
1980-02-14;12.4197
1980-02-15;11.6177
1980-02-16;13.6862
1980-02-17;13.2555
1980-02-18;15.4962
1980-02-19;12.4197
1980-02-20;11.2292
1980-02-21;10.4768
1980-02-22;9.7568
1980-02-23;12.8333
1980-02-24;30.1114
1980-02-25;35.555
1980-02-26;22.104
1980-02-27;40.8019
1980-02-28;55.624
1980-02-29;196.795
1980-03-01;78.1732
1980-03-02;38.1302
1980-03-03;54.8245
1980-03-04;42.174
1980-03-05;26.7497
1980-03-06;22.104
1980-03-07;25.6764
1980-03-08;42.8693
1980-03-09;42.174
1980-03-10;28.404
1980-03-11;24.1103
1980-03-12;24.6265
1980-03-13;22.104
1980-03-14;19.5488
1980-03-15;16.9472
1980-03-16;17.96
1980-03-17;18.4803
1980-03-18;15.9708
1980-03-19;14.5736
1980-03-20;14.1255
1980-03-21;12.4197
1980-03-22;11.6177
1980-03-23;11.2292
1980-03-24;11.2292
1980-03-25;10.4768
1980-03-26;9.4087
1980-03-27;8.4114
1980-03-28;15.4962
1980-03-29;11.2292
1980-03-30;10.4768
1980-03-31;9.4087
1980-04-01;9.4087
1980-04-02;9.0685
1980-04-03;9.0685
1980-04-04;8.7361
1980-04-05;8.7361
1980-04-06;8.4114
1980-04-07;8.4114
1980-04-08;8.4114
1980-04-09;8.0944
1980-04-10;13.2555
1980-04-11;13.6862
1980-04-12;9.4087
1980-04-13;10.4768
1980-04-14;31.2793
1980-04-15;49.4007
1980-04-16;19.0098
1980-04-17;14.1255
1980-04-18;12.4197
1980-04-19;11.2292
1980-04-20;10.4768
1980-04-21;10.1128
1980-04-22;9.7568
1980-04-23;9.4087
1980-04-24;9.0685
1980-04-25;8.4114
1980-04-26;8.4114
1980-04-27;8.0944
1980-04-28;8.0944
1980-04-29;7.7849
1980-04-30;7.7849
1980-05-01;8.4114
1980-05-02;8.7361
1980-05-03;10.8489
1980-05-04;9.0685
1980-05-05;8.4114
1980-05-06;7.7849
1980-05-07;7.7849
1980-05-08;23.0955
1980-05-09;16.4545
1980-05-10;12.0145
1980-05-11;10.4768
1980-05-12;9.4087
1980-05-13;9.0685
1980-05-14;8.7361
1980-05-15;8.4114
1980-05-16;8.0944
1980-05-17;8.0944
1980-05-18;7.7849
1980-05-19;7.7849
1980-05-20;7.7849
1980-05-21;8.4114
1980-05-22;8.4114
1980-05-23;7.7849
1980-05-24;7.7849
1980-05-25;7.1885
1980-05-26;7.1885
1980-05-27;7.1885
1980-05-28;7.1885
1980-05-29;6.9014
1980-05-30;6.9014
1980-05-31;6.9014
1980-06-01;7.1885
1980-06-02;7.7849
1980-06-03;7.483
1980-06-04;7.1885
1980-06-05;6.9014
1980-06-06;6.9014
1980-06-07;6.6215
1980-06-08;6.6215
1980-06-09;6.6215
1980-06-10;6.6215
1980-06-11;6.6215
1980-06-12;6.3489
1980-06-13;6.3489
1980-06-14;6.3489
1980-06-15;6.3489
1980-06-16;6.3489
1980-06-17;6.3489
1980-06-18;6.3489
1980-06-19;6.3489
1980-06-20;7.1885
1980-06-21;9.0685
1980-06-22;16.4545
1980-06-23;8.7361
1980-06-24;9.0685
1980-06-25;27.8467
1980-06-26;33.6867
1980-06-27;12.8333
1980-06-28;9.7568
1980-06-29;8.4114
1980-06-30;7.7849
1980-07-01;46.4367
1980-07-02;109.258
1980-07-03;70.9042
1980-07-04;55.624
1980-07-05;40.8019
1980-07-06;25.1485
1980-07-07;20.0973
