data;cota
1980-01-01;101
1980-01-02;100
1980-01-03;93
1980-01-04;94
1980-01-05;81
1980-01-06;56
1980-01-07;86
1980-01-08;105
1980-01-09;191
1980-01-10;144
1980-01-11;124
1980-01-12;114
1980-01-13;89
1980-01-14;104
1980-01-15;102
1980-01-16;121
1980-01-17;156
1980-01-18;228
1980-01-19;148
1980-01-20;119
1980-01-21;113
1980-01-22;108
1980-01-23;99
1980-01-24;110
1980-01-25;132
1980-01-26;130
1980-01-27;121
1980-01-28;132
1980-01-29;138
1980-01-30;109
1980-01-31;106
1980-02-01;103
1980-02-02;107
1980-02-03;111
1980-02-04;99
1980-02-05;103
1980-02-06;102
1980-02-07;130
1980-02-08;108
1980-02-09;103
1980-02-10;97
1980-02-11;164
1980-02-12;228
1980-02-13;129
1980-02-14;120
1980-02-15;111
1980-02-16;102
1980-02-17;111
1980-02-18;126
1980-02-19;113
1980-02-20;107
1980-02-21;105
1980-02-22;115
1980-02-23;110
1980-02-24;110
1980-02-25;123
1980-02-26;139
1980-02-27;148
1980-02-28;135
1980-02-29;243
1980-03-01;307
1980-03-02;270
1980-03-03;180
1980-03-04;140
1980-03-05;115
1980-03-06;118
1980-03-07;168
1980-03-08;158
1980-03-09;127
1980-03-10;165
1980-03-11;131
1980-03-12;146
1980-03-13;138
1980-03-14;119
1980-03-15;118
1980-03-16;123
1980-03-17;117
1980-03-18;119
1980-03-19;107
1980-03-20;106
1980-03-21;105
1980-03-22;107
1980-03-23;106
1980-03-24;103
1980-03-25;103
1980-03-26;102
1980-03-27;103
1980-03-28;122
1980-03-29;102
1980-03-30;104
1980-03-31;99
1980-04-01;96
1980-04-02;95
1980-04-03;95
1980-04-04;97
1980-04-05;96
1980-04-06;90
1980-04-07;83
1980-04-08;95
1980-04-09;98
1980-04-10;93
1980-04-11;90
1980-04-12;88
1980-04-13;76
1980-04-14;140
1980-04-15;119
1980-04-16;119
1980-04-17;95
1980-04-18;95
1980-04-19;91
1980-04-20;93
1980-04-21;96
1980-04-22;96
1980-04-23;90
1980-04-24;88
1980-04-25;87
1980-04-26;75
1980-04-27;83
1980-04-28;74
1980-04-29;74
1980-04-30;74
1980-05-01;79
1980-05-02;80
1980-05-03;78
1980-05-04;66
1980-05-05;78
1980-05-06;74
1980-05-07;74
1980-05-08;83
1980-05-09;68
1980-05-10;74
1980-05-11;68
1980-05-12;74
1980-05-13;75
1980-05-14;75
1980-05-15;75
1980-05-16;75
1980-05-17;73
1980-05-18;67
1980-05-19;74
1980-05-20;73
1980-05-21;74
1980-05-22;74
1980-05-23;72
1980-05-24;71
1980-05-25;63
1980-05-26;71
1980-05-27;70
1980-05-28;72
1980-05-29;71
1980-05-30;71
1980-05-31;63
1980-06-01;63
1980-06-02;74
1980-06-03;70
1980-06-04;70
1980-06-05;71
1980-06-06;70
1980-06-07;64
1980-06-08;62
1980-06-09;71
1980-06-10;71
1980-06-11;64
1980-06-12;69
1980-06-13;66
1980-06-14;66
1980-06-15;56
1980-06-16;64
1980-06-17;69
1980-06-18;69
1980-06-19;69
1980-06-20;72
1980-06-21;63
1980-06-22;53
1980-06-23;59
1980-06-24;58
1980-06-25;112
1980-06-26;68
1980-06-27;61
1980-06-28;54
1980-06-29;48
1980-06-30;60
1980-07-01;128
1980-07-02;121
1980-07-03;118
1980-07-04;114
1980-07-05;108
1980-07-06;81
1980-07-07;98
1980-07-08;99
1980-07-09;127
1980-07-10;104
1980-07-11;103
1980-07-12;102
1980-07-13;80
1980-07-14;97
1980-07-15;96
1980-07-16;97
1980-07-17;96
1980-07-18;94
1980-07-19;92
1980-07-20;68
1980-07-21;91
1980-07-22;92
1980-07-23;92
1980-07-24;92
1980-07-25;92
1980-07-26;90
1980-07-27;64
1980-07-28;73
1980-07-29;76
1980-07-30;252
1980-07-31;123
1980-08-01;90
1980-08-02;98
1980-08-03;77
1980-08-04;78
1980-08-05;91
1980-08-06;97
1980-08-07;95
1980-08-08;94
1980-08-09;78
1980-08-10;67
1980-08-11;78
1980-08-12;73
1980-08-13;78
1980-08-14;77
1980-08-15;76
1980-08-16;72
1980-08-17;65
1980-08-18;80
1980-08-19;79
1980-08-20;75
1980-08-21;93
1980-08-22;98
1980-08-23;115
1980-08-24;143
1980-08-25;306
1980-08-26;297
1980-08-27;179
1980-08-28;147
1980-08-29;140
1980-08-30;116
1980-08-31;111
1980-09-01;128
1980-09-02;205
1980-09-03;194
1980-09-04;137
1980-09-05;125
1980-09-06;120
1980-09-07;99
1980-09-08;112
1980-09-09;120
1980-09-10;120
1980-09-11;111
1980-09-12;111
1980-09-13;106
1980-09-14;94
1980-09-15;107
1980-09-16;160
1980-09-17;110
1980-09-18;106
1980-09-19;112
1980-09-20;122
1980-09-21;118
1980-09-22;138
1980-09-23;119
1980-09-24;107
1980-09-25;109
1980-09-26;105
1980-09-27;96
1980-09-28;115
1980-09-29;123
1980-09-30;97
1980-10-01;105
1980-10-02;100
1980-10-03;102
1980-10-04;96
1980-10-05;99
1980-10-06;97
1980-10-07;95
1980-10-08;141
1980-10-09;120
1980-10-10;102
1980-10-11;102
1980-10-12;128
1980-10-13;148
1980-10-14;121
1980-10-15;114
1980-10-16;112
1980-10-17;107
1980-10-18;100
1980-10-19;106
1980-10-20;114
1980-10-21;151
1980-10-22;133
1980-10-23;125
1980-10-24;112
1980-10-25;105
1980-10-26;94
1980-10-27;145
1980-10-28;141
1980-10-29;114
1980-10-30;117
1980-10-31;150
1980-11-01;113
1980-11-02;108
1980-11-03;111
1980-11-04;110
1980-11-05;105
1980-11-06;107
1980-11-07;130
1980-11-08;118
1980-11-09;297
1980-11-10;297
1980-11-11;137
1980-11-12;136
1980-11-13;119
1980-11-14;115
1980-11-15;109
1980-11-16;86
1980-11-17;102
1980-11-18;103
1980-11-19;104
1980-11-20;104
1980-11-21;103
1980-11-22;101
1980-11-23;106
1980-11-24;118
1980-11-25;104
1980-11-26;101
1980-11-27;100
1980-11-28;85
1980-11-29;96
1980-11-30;94
1980-12-01;98
1980-12-02;109
1980-12-03;143
1980-12-04;120
1980-12-05;115
1980-12-06;114
1980-12-07;104
1980-12-08;109
1980-12-09;97
1980-12-10;96
1980-12-11;99
1980-12-12;103
1980-12-13;108
1980-12-14;96
1980-12-15;97
1980-12-16;97
1980-12-17;95
1980-12-18;100
1980-12-19;99
1980-12-20;134
1980-12-21;574
1980-12-22;392
1980-12-23;202
1980-12-24;196
1980-12-25;171
1980-12-26;157
1980-12-27;132
1980-12-28;265
1980-12-29;207
1980-12-30;171
1980-12-31;151
1981-01-01;141
1981-01-02;124
1981-01-03;117
1981-01-04;219
1981-01-05;302
1981-01-06;202
1981-01-07;181
1981-01-08;138
1981-01-09;127
1981-01-10;142
1981-01-11;128
1981-01-12;129
1981-01-13;115
1981-01-14;135
1981-01-15;129
1981-01-16;127
1981-01-17;124
1981-01-18;121
1981-01-19;227
1981-01-20;193
1981-01-21;198
1981-01-22;141
1981-01-23;131
1981-01-24;128
1981-01-25;127
1981-01-26;134
1981-01-27;131
1981-01-28;118
1981-01-29;116
1981-01-30;172
1981-01-31;200
1981-02-01;139
1981-02-02;129
1981-02-03;130
1981-02-04;125
1981-02-05;137
1981-02-06;158
1981-02-07;142
1981-02-08;138
1981-02-09;124
1981-02-10;132
1981-02-11;133
1981-02-12;184
1981-02-13;208
1981-02-14;244
1981-02-15;149
1981-02-16;143
1981-02-17;130
1981-02-18;120
1981-02-19;117
1981-02-20;118
1981-02-21;123
1981-02-22;131
1981-02-23;141
1981-02-24;142
1981-02-25;133
1981-02-26;113
1981-02-27;109
1981-02-28;112
1981-03-01;110
1981-03-02;108
1981-03-03;106
1981-03-04;106
1981-03-05;107
1981-03-06;107
1981-03-07;105
1981-03-08;121
1981-03-09;129
1981-03-10;109
1981-03-11;106
1981-03-12;105
1981-03-13;105
1981-03-14;96
1981-03-15;93
1981-03-16;102
1981-03-17;102
1981-03-18;102
1981-03-19;103
1981-03-20;102
1981-03-21;100
1981-03-22;90
1981-03-23;99
1981-03-24;100
1981-03-25;100
1981-03-26;100
1981-03-27;106
1981-03-28;197
1981-03-29;153
1981-03-30;144
1981-03-31;122
1981-04-01;130
1981-04-02;115
1981-04-03;109
1981-04-04;107
1981-04-05;106
1981-04-06;105
1981-04-07;104
1981-04-08;103
1981-04-09;107
1981-04-10;110
1981-04-11;105
