data;cota
1980-01-01;295
1980-01-02;271
1980-01-03;208
1980-01-04;173
1980-01-05;157
1980-01-06;148
1980-01-07;146
1980-01-08;209
1980-01-09;387
1980-01-10;544
1980-01-11;486
1980-01-12;390
1980-01-13;304
1980-01-14;249
1980-01-15;216
1980-01-16;196
1980-01-17;223
1980-01-18;296
1980-01-19;350
1980-01-20;424
1980-01-21;374
1980-01-22;276
1980-01-23;225
1980-01-24;221
1980-01-25;291
1980-01-26;379
1980-01-27;382
1980-01-28;334
1980-01-29;323
1980-01-30;291
1980-01-31;248
1980-02-01;219
1980-02-02;211
1980-02-03;204
1980-02-04;188
1980-02-05;171
1980-02-06;165
1980-02-07;231
1980-02-08;229
1980-02-09;192
1980-02-10;168
1980-02-11;221
1980-02-12;311
1980-02-13;280
1980-02-14;265
1980-02-15;256
1980-02-16;249
1980-02-17;239
1980-02-18;224
1980-02-19;206
1980-02-20;196
1980-02-21;189
1980-02-22;187
1980-02-23;183
1980-02-24;178
1980-02-25;187
1980-02-26;219
1980-02-27;252
1980-02-28;304
1980-02-29;554
1980-03-01;605
1980-03-02;531
1980-03-03;505
1980-03-04;555
1980-03-05;559
1980-03-06;472
1980-03-07;459
1980-03-08;503
1980-03-09;531
1980-03-10;568
1980-03-11;569
1980-03-12;567
1980-03-13;595
1980-03-14;594
1980-03-15;578
1980-03-16;563
1980-03-17;542
1980-03-18;536
1980-03-19;524
1980-03-20;494
1980-03-21;475
1980-03-22;450
1980-03-23;439
1980-03-24;426
1980-03-25;408
1980-03-26;403
1980-03-27;385
1980-03-28;373
1980-03-29;352
1980-03-30;321
1980-03-31;305
1980-04-01;197
1980-04-02;180
1980-04-03;166
1980-04-04;158
1980-04-05;154
1980-04-06;146
1980-04-07;132
1980-04-08;124
1980-04-09;123
1980-04-10;141
1980-04-11;137
1980-04-12;135
1980-04-13;164
1980-04-14;304
1980-04-15;489
1980-04-16;455
1980-04-17;368
1980-04-18;272
1980-04-19;225
1980-04-20;206
1980-04-21;188
1980-04-22;173
1980-04-23;162
1980-04-24;155
1980-04-25;146
1980-04-26;142
1980-04-27;136
1980-04-28;130
1980-04-29;127
1980-04-30;124
1980-05-01;188
1980-05-02;192
1980-05-03;190
1980-05-04;194
1980-05-05;191
1980-05-06;186
1980-05-07;180
1980-05-08;194
1980-05-09;208
1980-05-10;225
1980-05-11;237
1980-05-12;229
1980-05-13;218
1980-05-14;213
1980-05-15;205
1980-05-16;191
1980-05-17;177
1980-05-18;170
1980-05-19;175
1980-05-20;186
1980-05-21;183
