data;vazao
1980-01-01;2.929
1980-01-02;2.4709
1980-01-03;2.3975
1980-01-04;2.1823
1980-01-05;1.9075
1980-01-06;2.3249
1980-01-07;2.4709
1980-01-08;2.929
1980-01-09;3.416
1980-01-10;3.8433
1980-01-11;4.1088
1980-01-12;3.9311
1980-01-13;4.1088
1980-01-14;4.1988
1980-01-15;4.1088
1980-01-16;4.381
1980-01-17;7.1165
1980-01-18;4.7541
1980-01-19;4.5661
1980-01-20;4.1088
1980-01-21;3.0081
1980-01-22;2.3249
1980-01-23;2.1823
1980-01-24;2.929
1980-01-25;3.2505
1980-01-26;2.3975
1980-01-27;2.773
1980-01-28;2.5452
1980-01-29;2.3975
1980-01-30;2.3249
1980-01-31;2.4709
1980-02-01;2.6962
1980-02-02;3.0081
1980-02-03;2.6203
1980-02-04;2.3975
1980-02-05;2.5452
1980-02-06;2.773
1980-02-07;2.5452
1980-02-08;2.6203
1980-02-09;2.929
1980-02-10;2.929
1980-02-11;14.4916
1980-02-12;14.6243
1980-02-13;7.0064
1980-02-14;5.5347
1980-02-15;4.4732
1980-02-16;3.6701
1980-02-17;3.1689
1980-02-18;2.773
1980-02-19;3.0881
1980-02-20;2.773
1980-02-21;2.6203
1980-02-22;2.3975
1980-02-23;2.3249
1980-02-24;2.2532
1980-02-25;2.2532
1980-02-26;2.3249
1980-02-27;2.773
1980-02-28;3.1689
1980-02-29;13.9646
1980-03-01;5.5347
1980-03-02;4.4732
1980-03-03;3.0881
1980-03-04;2.3975
1980-03-05;2.3249
1980-03-06;2.2532
1980-03-07;2.1823
1980-03-08;2.6203
1980-03-09;2.929
1980-03-10;2.6203
1980-03-11;2.6203
1980-03-12;9.4528
1980-03-13;6.68
1980-03-14;3.1689
1980-03-15;2.4709
1980-03-16;3.3329
1980-03-17;4.381
1980-03-18;4.0196
1980-03-19;3.1689
1980-03-20;2.6962
1980-03-21;2.3975
1980-03-22;2.2532
1980-03-23;2.1123
1980-03-24;2.1123
1980-03-25;1.9749
1980-03-26;1.9749
1980-03-27;2.3249
1980-03-28;2.1823
1980-03-29;2.1123
1980-03-30;1.9749
1980-03-31;1.841
1980-04-01;1.9748
1980-04-02;1.9748
1980-04-03;1.841
1980-04-04;1.841
1980-04-05;1.7754
1980-04-06;1.7107
1980-04-07;1.7107
1980-04-08;1.7107
1980-04-09;1.7107
1980-04-10;1.7754
1980-04-11;1.7107
1980-04-12;1.7107
1980-04-13;2.1122
1980-04-14;2.9289
1980-04-15;3.8432
1980-04-16;2.4709
1980-04-17;2.1822
1980-04-18;1.9748
1980-04-19;1.841
1980-04-20;2.3248
1980-04-21;2.1822
1980-04-22;1.9748
1980-04-23;1.9075
1980-04-24;1.9748
1980-04-25;1.841
1980-04-26;1.7754
1980-04-27;1.7107
1980-04-28;1.7754
1980-04-29;1.7754
1980-04-30;1.7754
1980-05-01;1.7754
1980-05-02;2.6202
1980-05-03;2.6202
1980-05-04;2.3974
1980-05-05;2.1122
1980-05-06;1.7107
1980-05-07;2.3248
1980-05-08;2.3974
1980-05-09;2.2531
1980-05-10;2.1822
1980-05-11;1.9075
1980-05-12;1.7754
1980-05-13;1.841
1980-05-14;1.7754
1980-05-15;1.841
1980-05-16;1.841
1980-05-17;1.9748
1980-05-18;1.841
1980-05-19;1.7107
1980-05-20;1.7107
1980-05-21;1.7754
1980-05-22;1.841
1980-05-23;1.7107
1980-05-24;1.7107
1980-05-25;1.7107
1980-05-26;1.7107
1980-05-27;1.7107
1980-05-28;1.647
1980-05-29;1.647
1980-05-30;1.7107
1980-05-31;1.647
1980-06-01;1.647
1980-06-02;1.7107
1980-06-03;1.647
1980-06-04;1.5842
1980-06-05;1.647
1980-06-06;1.7107
1980-06-07;1.5842
1980-06-08;1.7107
1980-06-09;1.5842
1980-06-10;1.5842
1980-06-11;1.5842
1980-06-12;1.5223
1980-06-13;1.4613
1980-06-14;1.4613
1980-06-15;1.4613
1980-06-16;1.4013
1980-06-17;1.3423
1980-06-18;1.3423
1980-06-19;1.4013
1980-06-20;1.3423
1980-06-21;1.841
1980-06-22;1.841
1980-06-23;1.7754
1980-06-24;1.7107
1980-06-25;3.4998
1980-06-26;3.4159
1980-06-27;2.3248
1980-06-28;2.1122
1980-06-29;1.841
1980-06-30;1.4613
1980-07-01;5.6354
1980-07-02;12.9305
1980-07-03;10.4564
1980-07-04;7.7908
1980-07-05;3.1689
1980-07-06;2.6962
1980-07-07;2.3249
1980-07-08;2.0431
1980-07-09;5.3353
1980-07-10;3.5846
1980-07-11;3.0081
1980-07-12;2.5452
1980-07-13;2.3975
1980-07-14;2.2532
1980-07-15;2.3975
1980-07-16;2.1823
1980-07-17;1.9749
1980-07-18;1.841
1980-07-19;1.841
1980-07-20;1.7108
1980-07-21;1.7108
1980-07-22;1.841
1980-07-23;1.7108
1980-07-24;1.7108
1980-07-25;1.7108
1980-07-26;1.7108
1980-07-27;1.5842
1980-07-28;1.7108
1980-07-29;1.9075
1980-07-30;38.209
1980-07-31;12.8031
1980-08-01;9.4528
1980-08-02;6.1493
1980-08-03;2.929
1980-08-04;2.2532
1980-08-05;2.2532
1980-08-06;2.3249
1980-08-07;2.2532
1980-08-08;2.2532
1980-08-09;2.1823
1980-08-10;2.1123
1980-08-11;2.0431
1980-08-12;1.841
1980-08-13;1.841
1980-08-14;1.7108
1980-08-15;1.7108
1980-08-16;1.841
1980-08-17;1.841
1980-08-18;2.1123
1980-08-19;2.2532
1980-08-20;3.3329
1980-08-21;7.4508
1980-08-22;3.7563
1980-08-23;2.773
1980-08-24;6.2541
1980-08-25;30.7824
1980-08-26;17.3623
1980-08-27;5.3353
1980-08-28;3.4999
1980-08-29;2.5452
1980-08-30;2.3975
1980-08-31;2.4709
1980-09-01;4.1088
1980-09-02;13.7036
1980-09-03;9.5761
1980-09-04;4.2895
1980-09-05;3.1689
1980-09-06;2.8506
1980-09-07;2.6962
1980-09-08;2.5452
1980-09-09;2.8506
1980-09-10;3.0881
1980-09-11;2.5452
1980-09-12;2.3975
1980-09-13;2.3249
1980-09-14;2.6962
1980-09-15;13.7036
1980-09-16;22.5156
1980-09-17;6.1493
1980-09-18;4.4732
1980-09-19;6.7881
1980-09-20;7.0064
1980-09-21;6.897
1980-09-22;8.4881
1980-09-23;3.7563
1980-09-24;2.8506
1980-09-25;2.4709
1980-09-26;2.3975
1980-09-27;2.3975
1980-09-28;9.2079
1980-09-29;6.3595
1980-09-30;4.381
1980-10-01;3.2505
1980-10-02;3.0081
1980-10-03;3.0081
1980-10-04;2.773
1980-10-05;3.0081
1980-10-06;2.6203
1980-10-07;2.3975
1980-10-08;4.7541
1980-10-09;3.7563
1980-10-10;3.1689
1980-10-11;3.6701
1980-10-12;6.7881
1980-10-13;5.9417
1980-10-14;4.6598
1980-10-15;3.3329
