rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
174500.51;634147.40;6989675.76;52.00;333.94;;
172400.51;636191.38;6989946.02;404.00;333.67;;
170300.51;636633.40;6991144.87;340.00;332.62;;
168200.51;638364.43;6991656.61;28.00;331.63;;
166100.51;639771.67;6993138.32;380.00;331.05;;
164000.51;640645.86;6992384.82;416.00;330.04;;
161900.51;641738.83;6993824.86;36.00;329.95;;
159800.51;643701.17;6993412.22;396.00;329.97;;
157700.51;643540.39;6995146.26;352.00;329.68;;
155600.51;643979.24;6995750.46;100.00;328.48;;
153500.51;645422.03;6996451.30;176.00;326.65;;
151400.51;645797.77;6997673.17;156.00;323.55;;degrau grande no MDT
150350.51;646716.05;6997575.55;152.00;318.63;;degrau grande no MDT
150200.51;646889.12;6997601.73;164.00;312.95;;degrau grande no MDT
150050.51;646937.78;6997779.87;4.00;307.34;;degrau grande no MDT
149300.51;646824.51;6998411.29;0.00;301.07;;degrau grande no MDT
147200.51;647056.54;7000443.25;0.00;267.73;;degrau grande no MDT
147050.51;647145.64;7000566.28;8.00;262.28;;degrau grande no MDT
146900.51;647327.77;7000595.69;156.00;255.11;;degrau grande no MDT
146750.51;647424.38;7000714.28;80.00;247.66;;degrau grande no MDT
146600.51;647569.47;7000767.89;92.00;243.21;;
146300.51;647841.71;7000941.59;24.00;241.72;;degrau grande no MDT
146150.51;648004.97;7000878.05;20.00;237.61;;degrau grande no MDT
145850.51;648231.83;7000660.04;100.00;231.36;;degrau grande no MDT
145700.51;648388.82;7000602.06;100.00;222.40;;degrau grande no MDT
145550.51;648555.31;7000648.24;104.00;218.82;;degrau grande no MDT
145400.51;648639.68;7000789.39;76.00;214.02;;degrau grande no MDT
145100.51;648700.39;7001097.03;112.00;210.25;;degrau grande no MDT
144650.51;648410.61;7001460.32;28.00;202.72;;degrau grande no MDT
144500.51;648381.43;7001624.60;104.00;198.17;;degrau grande no MDT
143900.51;647953.73;7002042.46;96.00;187.51;;degrau grande no MDT
143750.51;647866.14;7002160.52;72.00;182.66;;
143150.51;647565.06;7002673.30;84.00;173.34;;degrau grande no MDT
143000.51;647456.74;7002780.11;112.00;169.44;;degrau grande no MDT
142700.51;647297.94;7002991.61;144.00;165.31;;degrau grande no MDT
142550.51;647174.10;7003123.02;0.00;160.22;;
142400.51;647168.47;7003292.31;220.00;159.60;;degrau grande no MDT
142250.51;647273.50;7003445.53;0.00;155.29;;degrau grande no MDT
141800.51;647747.80;7003403.34;68.00;149.93;;degrau grande no MDT
141650.51;647890.69;7003448.57;52.00;144.15;;degrau grande no MDT
141050.51;648471.22;7003573.33;60.00;137.72;;degrau grande no MDT
140900.51;648622.51;7003568.77;72.00;133.86;;degrau grande no MDT
138800.51;650410.85;7003338.30;156.00;122.22;;
136700.51;652038.33;7002080.19;52.00;116.31;;
134600.51;652730.38;7002528.01;36.00;107.72;;degrau grande no MDT
134150.51;652738.85;7002995.88;36.00;106.36;;degrau grande no MDT
134000.51;652819.86;7003136.15;12.00;102.39;;degrau grande no MDT
132500.51;654175.35;7003592.65;112.00;98.40;;
131300.51;654040.24;7004704.32;0.00;97.18;;degrau grande no MDT
131150.51;654197.40;7004786.87;4.00;93.34;;degrau grande no MDT
130400.51;654806.23;7004374.79;84.00;89.81;;degrau grande no MDT
128300.51;656592.02;7004885.60;96.00;84.61;;
126200.51;657896.57;7005784.23;140.00;84.37;;
124100.51;659548.10;7006388.60;224.00;80.99;;
122000.51;658894.31;7008347.86;0.00;77.44;;
119900.51;660366.99;7009785.41;200.00;77.44;;
117800.51;661275.58;7010979.63;348.00;75.65;;
115700.51;660765.86;7012969.30;112.00;71.71;;
113600.51;661212.55;7014540.09;16.00;71.27;;
111500.51;661582.41;7016306.39;92.00;71.12;;
109400.51;662461.38;7017993.62;208.00;70.23;;
107300.51;664099.74;7016697.84;92.00;67.21;;
105200.51;666041.37;7016436.98;28.00;67.13;;
103100.51;666469.37;7017265.90;172.00;66.46;;
101000.51;667822.04;7017441.81;120.00;65.93;;
98900.51;669685.20;7018010.67;40.00;63.92;;
96800.51;670537.09;7019797.40;512.00;62.80;;
94700.51;670956.51;7021844.25;188.00;61.53;;
92600.51;672757.65;7022605.56;100.00;61.34;;
90500.51;674575.99;7023511.83;280.00;57.06;;
88400.51;676147.06;7024820.88;28.00;50.79;;
86300.51;677868.30;7025051.32;0.00;42.98;;
84200.51;679789.26;7024841.24;48.00;28.60;;
84050.51;679876.69;7024958.87;36.00;28.34;;degrau grande no MDT
83900.51;680054.93;7025021.43;144.00;24.44;;
82100.51;681430.62;7025567.38;48.00;22.73;;
80000.51;683075.52;7024336.25;184.00;22.70;;
77900.51;684802.05;7024099.10;156.00;19.14;;
75800.51;686714.98;7024643.54;168.00;17.12;;
73700.51;688267.00;7025395.33;124.00;6.90;;degrau grande no MDT
72950.51;688939.68;7025507.27;356.00;6.93;;degrau grande no MDT
72800.51;688960.48;7025648.52;68.00;2.90;;
71600.51;689933.39;7025379.72;0.00;0.92;;
69500.51;690998.37;7023647.35;40.00;0.70;;
67400.51;692621.05;7023350.48;120.00;0.50;;
65300.51;691850.58;7021552.90;116.00;0.30;;
63200.51;693067.15;7021862.38;32.00;0.18;;
61100.51;694115.23;7023144.17;52.00;0.13;;
59000.51;695541.53;7022529.83;36.00;0.11;;
56450.51;697268.04;7023502.24;208.00;0.12;;
54050.51;699647.58;7023985.72;100.00;0.12;;
51800.51;700501.30;7021983.39;36.00;0.11;;
49700.51;701926.71;7020494.76;76.00;0.12;;
47450.51;703504.20;7020873.93;28.00;0.12;;
45350.51;705246.38;7021999.47;208.00;0.12;;
43250.51;707319.82;7021739.46;292.00;0.11;;
41150.51;709053.55;7020684.91;272.00;0.12;;
39050.51;710518.92;7020931.77;8.00;0.11;;
36950.51;712423.80;7021857.33;24.00;0.01;;
34850.51;714367.59;7022393.41;204.00;0.02;;
32300.51;716247.68;7023892.77;212.00;0.01;;
30050.51;718407.92;7024676.95;416.00;0.01;;
27950.51;720172.47;7025587.10;428.00;0.02;;
25700.51;721503.06;7023893.04;404.00;0.01;;
21650.51;722413.14;7027359.90;392.00;0.02;;
19250.51;724553.87;7027843.66;384.00;0.01;;
17150.51;725743.83;7029421.72;376.00;0.01;;
14750.51;726570.29;7027394.93;380.00;0.01;;
12650.51;726206.54;7025519.18;380.00;0.01;;
10400.51;727861.25;7026221.39;220.00;0.01;;
8300.51;729567.96;7025802.83;416.00;0.01;;
5600.51;730566.66;7024389.43;204.00;0.01;;
3500.51;731724.26;7023425.71;392.00;0.01;;
500.51;733580.10;7021649.95;384.00;0.01;;
0.00;733976.86;7021335.86;120.00;0.01;;
