rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
174500.51;634151.99;6989669.20;148.00;333.95;329.47;"1983 RS 174425.51 a 94 m; calha levantada 9.33 m"
172500.51;636129.08;6989852.37;320.00;333.64;328.33;"1983 RS 172500.51 a 48 m; calha levantada 6.66 m"
170000.51;636864.86;6991309.02;396.00;332.64;327.37;"1983 RS 170500.51 a 481 m; calha levantada 8.18 m"
167750.51;638719.16;6991901.05;344.00;331.55;326.91;"1983 RS 167500.51 a 252 m; calha levantada 6.92 m"
165000.51;640255.88;6992462.46;212.00;331.00;322.17;"1983 RS 165500.51 a 498 m; calha levantada 6.47 m"
163000.51;640986.96;6993186.59;408.00;330.06;306.17;"1983 RS 163500.51 a 500 m; calha levantada 6.80 m"
161000.51;642558.09;6993520.29;452.00;329.96;;rebaixamento implausivel (40 m > 25 numa calha de ~11) -- MDT vale aqui
159000.51;644149.53;6994030.68;200.00;329.92;;rebaixamento implausivel (56 m > 25 numa calha de ~11) -- MDT vale aqui
157000.51;643125.13;6995700.87;312.00;329.67;;legado sintetico em RS 157501 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
155000.51;644491.31;6995435.67;208.00;328.67;;legado sintetico em RS 155501 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
153000.51;645088.42;6996821.89;340.00;326.06;;legado sintetico em RS 153501 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
151000.51;646139.34;6997803.33;228.00;319.74;;legado sintetico em RS 151021 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
150250.51;646838.19;6997563.92;192.00;317.55;;legado sintetico em RS 150315 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
149500.51;646927.41;6998219.45;148.00;303.16;;legado sintetico em RS 149565 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
148500.51;646996.41;6999189.20;44.00;288.84;;legado sintetico em RS 148515 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
148000.51;647011.91;6999673.18;92.00;282.34;;legado sintetico em RS 148065 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
147750.51;646954.13;6999917.10;124.00;277.01;;legado sintetico em RS 147765 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
147250.51;647072.02;7000356.90;120.00;269.73;;legado sintetico em RS 147315 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
147000.51;647243.22;7000539.41;124.00;259.92;;legado sintetico em RS 147015 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
146750.51;647424.38;7000714.28;100.00;247.66;;legado sintetico em RS 146715 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
146500.51;647649.12;7000831.94;104.00;242.86;;legado sintetico em RS 146565 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
146250.51;647901.01;7000922.81;56.00;241.17;;legado sintetico em RS 146265 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
146000.51;648125.85;7000774.94;88.00;234.61;;legado sintetico em RS 145965 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
145000.51;648596.23;7001172.65;64.00;209.75;;legado sintetico em RS 145065 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
144750.51;648485.24;7001389.11;84.00;204.99;;legado sintetico em RS 144765 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
144500.51;648381.43;7001624.60;136.00;198.17;;legado sintetico em RS 144465 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
144000.51;648008.73;7001962.97;100.00;189.67;;legado sintetico em RS 144015 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
