rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
113507.63;663622.00;6972064.30;172.00;279.97;;legado sintetico em RS 113453 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
112257.63;664032.12;6973096.34;92.00;270.60;;legado sintetico em RS 112253 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
111257.63;664531.75;6973951.79;80.00;264.92;;legado sintetico em RS 111275 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
110257.63;665039.30;6974780.42;40.00;264.92;;legado sintetico em RS 110225 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
110007.63;665141.58;6974993.33;32.00;253.48;;legado sintetico em RS 110075 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
109507.63;665311.22;6975464.24;40.00;248.00;;legado sintetico em RS 109475 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
108757.63;665696.06;6976093.57;32.00;237.80;;legado sintetico em RS 108725 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
107757.63;666095.15;6976971.04;32.00;229.02;;legado sintetico em RS 107776 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
107507.63;666206.31;6977194.93;80.00;226.52;;legado sintetico em RS 107476 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
106757.63;666610.48;6977824.06;88.00;219.86;;legado sintetico em RS 106726 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
105507.63;666668.31;6979036.79;24.00;219.86;;legado sintetico em RS 105526 (reta desenhada, residuo < 5 cm) -- MDT vale aqui
105007.63;666951.97;6979444.56;68.00;197.86;191.32;"1983 RS 105076.04 a 906 m; calha levantada 6.76 m"
104757.63;666968.84;6979689.66;60.00;197.82;188.92;"1983 RS 104776.04 a 942 m; calha levantada 10.70 m"
104257.63;666874.18;6980176.47;44.00;192.77;185.52;"1983 RS 104326.04 a 742 m; calha levantada 10.08 m"
103507.63;666744.19;6980825.06;84.00;184.27;180.42;"1983 RS 103576.04 a 822 m; calha levantada 13.43 m"
102757.63;667156.19;6981359.69;32.00;180.03;174.42;"1983 RS 102826.04 a 855 m; calha levantada 14.07 m"
102257.63;667066.92;6981856.73;44.00;179.12;169.62;"1983 RS 102226.04 a 954 m; calha levantada 7.34 m"
101507.63;667650.22;6982274.59;32.00;173.11;164.52;"1983 RS 101476.04 a 898 m; calha levantada 12.09 m"
101007.63;667996.34;6982495.84;24.00;171.28;162.02;"1983 RS 101005.02 a 878 m; calha levantada 13.65 m"
100507.63;668248.09;6982924.61;68.00;163.38;159.52;"1983 RS 100569.48 a 920 m; calha levantada 14.69 m"
100007.63;668043.71;6983379.13;68.00;163.36;157.02;"1983 RS 100112.74 a 661 m; calha levantada 17.23 m"
99007.63;668300.28;6984025.63;24.00;159.18;152.52;"1983 RS 99113.32 a 880 m; calha levantada 13.94 m"
98257.63;669010.89;6983822.20;48.00;155.70;149.02;"1983 RS 98273.65 a 852 m; calha levantada 6.75 m"
97007.63;669987.74;6983977.88;60.00;149.31;141.52;"1983 RS 97061.20 a 931 m; calha levantada 14.01 m"
95757.63;670864.12;6984806.97;56.00;143.49;134.02;"1983 RS 95711.20 a 655 m; calha levantada 13.62 m"
95007.63;671313.24;6985034.36;80.00;138.06;131.52;"1983 RS 95014.69 a 898 m; calha levantada 11.87 m"
94007.63;672213.60;6984951.54;52.00;133.00;129.52;"1983 RS 94357.78 a 633 m; calha levantada 13.90 m"
93507.63;672653.62;6985157.43;52.00;130.30;128.02;"1983 RS 93643.99 a 774 m; calha levantada 11.82 m"
