rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
118897.95;588215.03;7066861.93;0.00;486.82;464.75;"1983 RS 118822.95 a 80 m; calha levantada 10.68 m"
118747.95;588314.69;7066749.82;0.00;471.11;464.26;"1983 RS 118747.95 a 28 m; calha levantada 14.86 m"
118597.95;588394.02;7066614.47;80.00;465.91;463.06;"1983 RS 118597.95 a 20 m; calha levantada 15.71 m"
118297.95;588690.89;7066586.76;56.00;463.87;461.50;"1983 RS 118297.95 a 4 m; calha levantada 7.79 m"
118147.95;588831.74;7066634.69;56.00;458.73;459.95;"1983 RS 118103.93 a 44 m; calha levantada 10.97 m"
117997.95;588962.10;7066712.68;0.00;465.91;459.95;"1983 RS 118103.93 a 110 m; calha levantada 10.97 m"
117697.95;589269.31;7066731.35;0.00;465.91;457.80;"1983 RS 117835.67 a 144 m; calha levantada 8.65 m"
117547.95;589385.31;7066627.94;64.00;457.89;457.76;"1983 RS 117486.04 a 62 m; calha levantada 10.07 m"
116797.95;589963.41;7066154.02;60.00;456.55;457.69;"1983 RS 116783.78 a 14 m; calha levantada 8.66 m"
114697.95;591920.57;7065931.44;56.00;450.00;452.77;"1983 RS 114683.78 a 15 m; calha levantada 20.16 m"
113197.95;593274.81;7066256.88;88.00;448.72;450.33;"1983 RS 113183.78 a 31 m; calha levantada 14.04 m"
113047.95;593417.54;7066202.16;88.00;444.07;449.13;"1983 RS 113033.78 a 32 m; calha levantada 27.27 m"
112597.95;593869.93;7066153.33;84.00;438.58;448.74;"1983 RS 112583.78 a 28 m; calha levantada 21.99 m"
110497.95;595857.15;7066454.02;56.00;438.09;437.89;"1983 RS 110483.78 a 15 m; calha levantada 11.76 m"
108397.95;597292.26;7067733.63;72.00;427.98;429.81;"1983 RS 108383.78 a 18 m; calha levantada 15.73 m"
106297.95;599132.63;7068099.32;64.00;423.39;424.83;"1983 RS 106283.78 a 15 m; calha levantada 11.74 m"
104197.95;600841.44;7067093.61;88.00;421.23;419.48;"1983 RS 104153.45 a 53 m; calha levantada 8.40 m"
102097.95;602271.46;7065766.94;76.00;419.26;416.48;"1983 RS 102347.45 a 250 m; calha levantada 9.50 m"
99997.95;603196.81;7063995.41;36.00;416.00;413.98;"1983 RS 99593.20 a 400 m; calha levantada 7.89 m"
99097.95;603914.30;7063528.60;0.00;416.00;411.98;"1983 RS 98608.09 a 493 m; calha levantada 16.05 m"
98947.95;603973.05;7063380.58;40.00;411.11;411.98;"1983 RS 98608.09 a 341 m; calha levantada 16.05 m"
