rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
56798.30;599893.71;7000517.30;224.00;343.28;340.10;"1983 RS 56723.30 a 75 m; calha levantada 8.04 m"
54698.30;601844.01;7001037.33;116.00;343.00;339.01;"1983 RS 54341.45 a 354 m; calha levantada 8.28 m"
52598.30;602716.12;7000321.78;180.00;342.85;338.79;"1983 RS 52112.09 a 462 m; calha levantada 9.27 m"
50498.30;604167.00;6999177.22;128.00;342.78;338.59;"1983 RS 50112.09 a 381 m; calha levantada 7.89 m"
48398.30;605626.95;6998783.20;0.00;342.78;336.60;"1983 RS 48169.00 a 234 m; calha levantada 7.57 m"
48248.30;605761.56;6998694.55;0.00;342.78;336.60;"1983 RS 48169.00 a 87 m; calha levantada 7.57 m"
48098.30;605788.53;6998537.82;224.00;342.13;336.60;"1983 RS 48169.00 a 73 m; calha levantada 7.57 m"
46298.30;606363.63;6997275.72;52.00;342.13;335.48;"1983 RS 46211.59 a 110 m; calha levantada 7.64 m"
44198.30;607237.61;6996930.52;100.00;342.13;335.31;"1983 RS 44565.90 a 365 m; calha levantada 7.99 m"
44048.30;607350.46;6997037.14;36.00;342.43;335.10;"1983 RS 43646.57 a 399 m; calha levantada 8.27 m"
43598.30;607749.74;6996824.06;88.00;342.13;335.10;"1983 RS 43646.57 a 58 m; calha levantada 8.27 m"
43448.30;607902.71;6996887.79;88.00;341.71;335.08;"1983 RS 43496.57 a 57 m; calha levantada 8.23 m"
43148.30;607996.23;6997177.92;64.00;341.72;335.05;"1983 RS 43196.57 a 109 m; calha levantada 8.21 m"
42998.30;608067.43;6997310.29;52.00;340.93;335.04;"1983 RS 43046.57 a 126 m; calha levantada 10.11 m"
42848.30;608167.49;6997422.56;60.00;341.71;335.02;"1983 RS 42896.57 a 155 m; calha levantada 8.50 m"
42098.30;608778.84;6997826.27;80.00;341.82;334.98;"1983 RS 42420.70 a 457 m; calha levantada 10.45 m"
41948.30;608896.88;6997771.38;68.00;341.82;334.88;"1983 RS 41481.11 a 488 m; calha levantada 12.18 m"
41798.30;608858.85;6997643.87;104.00;341.20;334.88;"1983 RS 41481.11 a 373 m; calha levantada 12.18 m"
41648.30;608775.86;6997520.68;132.00;341.42;334.88;"1983 RS 41481.11 a 304 m; calha levantada 12.18 m"
41498.30;608742.97;6997369.01;120.00;341.04;334.88;"1983 RS 41481.11 a 243 m; calha levantada 12.18 m"
40898.30;608750.09;6996774.94;0.00;340.92;334.78;"1983 RS 40481.11 a 370 m; calha levantada 9.66 m"
40748.30;608742.50;6996628.09;156.00;340.25;334.78;"1983 RS 40481.11 a 251 m; calha levantada 9.66 m"
39998.30;609304.17;6996685.13;96.00;340.17;334.69;"1983 RS 39544.33 a 479 m; calha levantada 11.12 m"
37898.30;611147.10;6996669.31;80.00;340.17;334.53;"1983 RS 38103.21 a 205 m; calha levantada 8.65 m"
36698.30;611906.90;6996673.37;60.00;340.17;334.39;"1983 RS 36702.74 a 32 m; calha levantada 7.59 m"
36548.30;612059.70;6996620.63;52.00;339.54;334.39;"1983 RS 36702.74 a 168 m; calha levantada 7.59 m"
35798.30;612360.18;6995933.00;108.00;339.54;334.27;"1983 RS 35534.56 a 252 m; calha levantada 7.67 m"
33698.30;612648.82;6994608.12;236.00;339.54;334.00;"1983 RS 33534.56 a 299 m; calha levantada 7.81 m"
31598.30;613958.81;6994875.33;188.00;339.31;333.80;"1983 RS 31534.56 a 71 m; calha levantada 7.67 m"
29498.30;614626.68;6994320.44;196.00;339.31;333.56;"1983 RS 29177.15 a 320 m; calha levantada 8.47 m"
28448.30;614551.76;6993338.06;200.00;339.31;333.46;"1983 RS 28177.15 a 279 m; calha levantada 7.71 m"
28298.30;614709.44;6993320.26;232.00;338.84;333.46;"1983 RS 28177.15 a 121 m; calha levantada 7.71 m"
27398.30;615542.23;6993517.44;156.00;338.96;333.41;"1983 RS 27599.89 a 201 m; calha levantada 8.48 m"
25298.30;617002.10;6992741.51;180.00;338.79;333.22;"1983 RS 25709.40 a 408 m; calha levantada 8.37 m"
24998.30;617058.51;6992442.82;56.00;338.68;333.10;"1983 RS 24748.95 a 254 m; calha levantada 8.65 m"
24848.30;617188.81;6992354.27;196.00;338.24;333.10;"1983 RS 24748.95 a 102 m; calha levantada 8.65 m"
24398.30;617638.88;6992315.33;188.00;338.24;333.10;"1983 RS 24748.95 a 350 m; calha levantada 8.65 m"
24248.30;617768.60;6992432.12;64.00;337.91;333.02;"1983 RS 23916.35 a 333 m; calha levantada 8.12 m"
23198.30;618805.61;6992329.33;160.00;337.94;332.93;"1983 RS 23077.59 a 142 m; calha levantada 8.46 m"
22598.30;619387.87;6992288.81;128.00;337.88;332.93;"1983 RS 23077.59 a 477 m; calha levantada 8.46 m"
22448.30;619532.47;6992247.65;164.00;337.55;332.83;"1983 RS 22077.59 a 369 m; calha levantada 7.60 m"
22298.30;619681.05;6992353.33;0.00;337.14;332.83;"1983 RS 22077.59 a 253 m; calha levantada 7.60 m"
21098.30;620579.78;6991569.55;220.00;337.03;332.73;"1983 RS 21077.59 a 36 m; calha levantada 7.95 m"
20198.30;620414.40;6990833.77;0.00;337.25;332.60;"1983 RS 20077.59 a 128 m; calha levantada 8.13 m"
20048.30;620500.40;6990720.87;0.00;337.78;332.60;"1983 RS 20077.59 a 56 m; calha levantada 8.13 m"
19898.30;620561.78;6990566.59;224.00;337.55;332.60;"1983 RS 20077.59 a 184 m; calha levantada 8.13 m"
19748.30;620678.82;6990452.28;288.00;337.11;332.60;"1983 RS 20077.59 a 347 m; calha levantada 8.13 m"
18998.30;621352.97;6990127.01;140.00;337.03;332.50;"1983 RS 19077.59 a 86 m; calha levantada 7.71 m"
16898.30;622406.07;6990869.61;104.00;336.95;332.10;"1983 RS 17077.59 a 394 m; calha levantada 7.87 m"
14798.30;623231.44;6989824.89;0.00;336.89;331.90;"1983 RS 15077.59 a 281 m; calha levantada 9.70 m"
14648.30;623401.49;6989859.80;124.00;336.89;331.90;"1983 RS 15077.59 a 433 m; calha levantada 9.70 m"
14498.30;623482.94;6989990.39;152.00;336.35;331.80;"1983 RS 14077.59 a 402 m; calha levantada 7.64 m"
12698.30;624528.13;6988979.90;160.00;336.33;331.60;"1983 RS 13077.59 a 376 m; calha levantada 7.61 m"
10598.30;625867.38;6987619.13;188.00;335.35;331.40;"1983 RS 11077.59 a 493 m; calha levantada 8.45 m"
10448.30;626013.31;6987552.26;176.00;335.18;331.30;"1983 RS 10077.59 a 380 m; calha levantada 9.70 m"
10298.30;626174.63;6987593.45;92.00;334.63;331.30;"1983 RS 10077.59 a 217 m; calha levantada 9.70 m"
8498.30;627888.79;6987350.64;104.00;334.63;331.00;"1983 RS 8077.59 a 409 m; calha levantada 8.38 m"
6398.30;629334.41;6986077.95;116.00;334.63;330.82;"1983 RS 6285.28 a 113 m; calha levantada 8.00 m"
4298.30;630623.18;6986486.88;164.00;334.63;330.50;"1983 RS 4367.61 a 69 m; calha levantada 8.62 m"
3398.30;631387.45;6986925.74;144.00;334.63;330.40;"1983 RS 3367.61 a 33 m; calha levantada 10.28 m"
3248.30;631541.85;6986944.42;208.00;334.28;330.40;"1983 RS 3367.61 a 130 m; calha levantada 10.28 m"
2948.30;631747.14;6987187.44;108.00;334.12;330.40;"1983 RS 3367.61 a 412 m; calha levantada 10.28 m"
2798.30;631915.56;6987219.52;244.00;333.71;330.30;"1983 RS 2367.61 a 435 m; calha levantada 8.50 m"
2198.30;632234.87;6987732.92;172.00;333.71;330.30;"1983 RS 2367.61 a 170 m; calha levantada 8.50 m"
98.30;633796.98;6988808.51;352.00;333.71;329.97;"1983 RS 75.00 a 25 m; calha levantada 7.89 m"
0.00;633914.32;6988885.28;456.00;333.71;329.97;"1983 RS 75.00 a 119 m; calha levantada 7.89 m"
