rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
77921.19;663505.76;6935777.11;28.00;447.35;449.29;"1983 RS 77846.19 a 82 m; calha levantada 7.68 m"
76871.19;662611.19;6936302.41;132.00;444.87;445.98;"1983 RS 77057.19 a 191 m; calha levantada 7.54 m"
76721.19;662454.84;6936281.61;128.00;442.27;442.98;"1983 RS 76480.70 a 241 m; calha levantada 7.24 m"
75821.19;661701.01;6936515.04;48.00;441.68;441.48;"1983 RS 75922.70 a 102 m; calha levantada 7.11 m"
75671.19;661615.28;6936636.68;88.00;441.68;441.48;"1983 RS 75922.70 a 251 m; calha levantada 7.11 m"
75521.19;661510.59;6936747.13;80.00;438.77;440.48;"1983 RS 75127.72 a 384 m; calha levantada 8.08 m"
73721.19;660048.07;6937469.14;76.00;434.64;435.48;"1983 RS 73809.96 a 89 m; calha levantada 10.00 m"
73421.19;659920.90;6937757.45;92.00;434.64;433.48;"1983 RS 73283.97 a 149 m; calha levantada 7.06 m"
73271.19;659758.93;6937762.36;60.00;430.07;433.48;"1983 RS 73283.97 a 13 m; calha levantada 7.06 m"
72221.19;658874.91;6938098.38;48.00;427.78;429.98;"1983 RS 72317.51 a 99 m; calha levantada 8.39 m"
72071.19;658726.14;6938133.10;52.00;424.96;427.89;"1983 RS 71910.84 a 161 m; calha levantada 14.41 m"
71621.19;658390.98;6938416.12;88.00;424.96;425.76;"1983 RS 71643.91 a 35 m; calha levantada 7.32 m"
71171.19;658094.64;6938761.26;152.00;424.60;423.48;"1983 RS 71170.33 a 28 m; calha levantada 7.47 m"
71021.19;657939.40;6938764.36;140.00;421.89;423.48;"1983 RS 71170.33 a 146 m; calha levantada 7.47 m"
70271.19;657441.41;6939046.48;88.00;421.89;419.48;"1983 RS 70119.81 a 159 m; calha levantada 8.72 m"
70121.19;657304.08;6939142.91;88.00;417.02;419.48;"1983 RS 70119.81 a 28 m; calha levantada 8.72 m"
69971.19;657150.70;6939100.65;60.00;413.88;419.48;"1983 RS 70119.81 a 148 m; calha levantada 8.72 m"
69521.19;656718.41;6938975.80;44.00;413.87;417.98;"1983 RS 69547.83 a 33 m; calha levantada 8.25 m"
67421.19;655127.09;6939826.91;60.00;408.07;406.98;"1983 RS 67397.89 a 65 m; calha levantada 7.73 m"
