rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
113507.63;663614.11;6972073.33;70.00;275.00;;
111407.63;664483.97;6973812.61;71.39;265.82;;
109307.63;665448.31;6975610.34;72.77;256.54;;
107207.63;666352.74;6977454.13;74.16;247.15;;
105107.63;666885.11;6979368.67;75.55;237.63;;
103007.63;667135.23;6981130.16;76.94;227.99;;
100907.63;668071.67;6982572.47;78.32;218.23;;
98807.63;668472.61;6983917.93;79.71;208.27;;
96707.63;670204.99;6984181.87;81.10;197.91;;degrau grande no MDT
94607.63;671623.14;6984871.13;82.49;187.23;;degrau grande no MDT
94157.63;672069.56;6984907.33;82.78;184.92;;degrau grande no MDT
94007.63;672216.73;6984935.86;82.88;184.14;;degrau grande no MDT
93557.63;672624.46;6985113.61;83.18;181.82;;degrau grande no MDT
93407.63;672745.27;6985202.02;83.28;181.04;;degrau grande no MDT
93257.63;672873.89;6985279.19;83.38;180.27;;degrau grande no MDT
93107.63;672984.96;6985377.80;83.48;179.49;;degrau grande no MDT
92507.63;673088.74;6985941.88;83.87;176.38;;degrau grande no MDT
92357.63;673178.97;6986051.28;83.97;175.60;;degrau grande no MDT
92207.63;673322.41;6986092.99;84.07;174.82;;degrau grande no MDT
92057.63;673470.39;6986113.33;84.17;174.04;;degrau grande no MDT
91907.63;673617.58;6986136.72;84.27;173.26;;degrau grande no MDT
91757.63;673756.85;6986192.42;84.37;172.48;;degrau grande no MDT
91607.63;673896.12;6986248.13;84.47;171.70;;degrau grande no MDT
91457.63;674039.39;6986290.38;84.57;170.92;;degrau grande no MDT
91307.63;674189.10;6986293.33;84.67;170.14;;degrau grande no MDT
91157.63;674336.37;6986316.23;84.77;169.36;;degrau grande no MDT
91007.63;674475.64;6986371.94;84.87;168.58;;degrau grande no MDT
90857.63;674604.28;6986447.50;84.96;167.80;;degrau grande no MDT
90707.63;674710.34;6986553.57;85.06;167.02;;degrau grande no MDT
90557.63;674826.70;6986647.77;85.16;166.24;;degrau grande no MDT
90407.63;674954.34;6986725.38;85.26;165.47;;degrau grande no MDT
90257.63;675102.57;6986743.32;85.36;164.69;;degrau grande no MDT
90107.63;675248.88;6986715.42;85.46;163.91;;degrau grande no MDT
89957.63;675388.14;6986659.71;85.56;163.13;;degrau grande no MDT
89807.63;675529.29;6986610.29;85.66;162.36;;degrau grande no MDT
89657.63;675678.13;6986600.13;85.76;161.58;;degrau grande no MDT
89507.63;675825.21;6986629.54;85.86;160.80;;degrau grande no MDT
89207.63;676114.33;6986705.37;86.05;159.26;;degrau grande no MDT
89057.63;676248.58;6986769.20;86.15;158.48;;degrau grande no MDT
88307.63;676874.65;6987019.60;86.65;154.63;;degrau grande no MDT
86207.63;677863.70;6988597.32;88.04;143.99;;degrau grande no MDT
84107.63;679396.01;6989703.30;89.42;133.69;;
82007.63;680763.52;6989703.44;90.81;123.84;;
79907.63;682746.95;6989487.75;92.20;114.57;;
77807.63;684625.17;6990107.74;93.59;105.48;;
75707.63;685719.73;6991621.33;94.97;96.26;;
73607.63;687530.85;6991730.33;96.36;87.09;;
71507.63;688373.89;6991589.63;97.75;78.12;;
69407.63;689391.07;6990306.36;99.14;69.52;;
67307.63;690912.78;6990870.66;100.52;61.46;;
65207.63;692805.12;6991291.13;101.91;54.11;;
63107.63;693532.07;6990337.41;103.30;47.63;;
61007.63;695198.37;6989807.91;104.69;42.18;;
58907.63;695428.52;6991404.87;106.07;37.80;;
56807.63;696519.91;6992604.49;107.46;33.81;;
54707.63;696392.68;6993851.89;108.85;30.10;;
52607.63;696562.05;6995593.38;110.24;26.68;;
50507.63;697637.06;6996102.74;111.62;23.53;;
48407.63;699433.90;6996084.51;113.01;20.67;;
46307.63;701056.08;6996063.26;114.40;18.09;;
44207.63;702176.44;6997688.39;115.79;15.78;;
42107.63;703529.43;6997354.66;117.17;13.75;;
40007.63;704564.10;6998967.32;118.56;12.00;;
37907.63;704463.57;7000162.89;119.95;10.43;;
35807.63;706030.65;7000513.32;121.34;8.95;;
33707.63;707571.79;7001674.91;122.72;7.58;;
31607.63;708112.24;7003138.58;124.11;6.30;;
29507.63;709572.63;7004574.64;125.50;5.14;;
27407.63;709982.10;7006518.44;126.88;4.09;;
25307.63;711547.24;7007712.25;128.27;3.17;;
23207.63;713136.28;7008888.55;129.66;2.36;;
21107.63;714570.59;7009901.21;131.05;1.70;;
19007.63;715630.45;7011489.68;132.43;1.16;;
16907.63;716697.97;7013273.16;133.82;0.75;;
14807.63;717990.24;7014908.65;135.21;0.41;;
12707.63;719481.35;7016330.57;136.60;0.10;;
10607.63;721273.19;7017042.97;137.98;-0.21;;
8507.63;722504.72;7018634.86;139.37;-0.57;;
6407.63;724204.43;7019771.91;100.00;-1.01;;
4307.63;725966.14;7020914.87;100.00;-1.51;;
2207.63;727730.17;7022054.26;100.00;-2.07;;
107.63;729494.97;7023192.45;100.00;-2.65;;
0.00;729585.41;7023250.79;100.00;-2.68;;
