rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
56798.30;599893.71;7000517.31;396.00;343.14;;
54698.30;601844.01;7001037.33;136.00;342.86;;
52598.30;602716.12;7000321.78;264.00;342.86;;
50498.30;604166.99;6999177.22;84.00;342.78;;
48398.30;605632.59;6998802.39;12.00;342.64;;
48248.30;605770.53;6998702.54;20.00;342.65;;degrau grande no MDT
48098.30;605788.53;6998537.82;156.00;341.25;;
46898.30;606563.79;6997760.77;392.00;341.24;;degrau grande no MDT
46748.30;606668.80;6997626.74;16.00;343.37;;degrau grande no MDT
46598.30;606571.38;6997489.89;64.00;341.24;;
46298.30;606365.85;6997272.40;48.00;341.25;;
46148.30;606222.14;6997218.80;416.00;341.24;;degrau grande no MDT
45998.30;606084.26;6997137.22;96.00;344.43;;degrau grande no MDT
45848.30;606077.65;6996975.85;312.00;341.32;;
44198.30;607237.62;6996930.52;376.00;341.24;;degrau grande no MDT
43748.30;607619.97;6996914.40;68.00;341.24;;degrau grande no MDT
43598.30;607747.05;6996812.36;100.00;349.08;;degrau grande no MDT
43448.30;607909.53;6996883.62;96.00;341.16;;
42098.30;608778.83;6997826.27;84.00;341.31;;degrau grande no MDT
41948.30;608896.88;6997771.39;76.00;343.05;;degrau grande no MDT
41798.30;608858.85;6997643.87;136.00;341.16;;
40898.30;608770.07;6996775.58;4.00;340.78;;degrau grande no MDT
40748.30;608742.50;6996628.08;312.00;339.78;;
39998.30;609304.17;6996685.14;76.00;339.74;;
39698.30;609623.59;6996625.11;276.00;339.75;;degrau grande no MDT
39548.30;609778.96;6996601.62;424.00;340.94;;degrau grande no MDT
39398.30;609932.47;6996665.47;444.00;339.74;;
39098.30;610080.68;6996942.15;296.00;339.76;;degrau grande no MDT
38948.30;610231.27;6996999.99;44.00;340.77;;degrau grande no MDT
38798.30;610360.01;6996910.05;44.00;339.61;;degrau grande no MDT
37898.30;611147.10;6996669.31;80.00;339.61;;
37448.30;611454.95;6996337.99;460.00;339.67;;degrau grande no MDT
37298.30;611614.16;6996277.20;352.00;341.25;;degrau grande no MDT
37148.30;611775.13;6996344.39;432.00;339.51;;
35798.30;612360.19;6995932.99;340.00;339.51;;
33698.30;612648.82;6994608.12;456.00;339.51;;
32498.30;613206.64;6994527.57;384.00;339.49;;degrau grande no MDT
32348.30;613294.47;6994652.17;88.00;340.10;;degrau grande no MDT
32198.30;613342.60;6994820.52;76.00;339.40;;
31598.30;613958.81;6994875.33;264.00;339.28;;
29498.30;614626.67;6994320.44;188.00;339.27;;
27398.30;615431.92;6993627.75;0.00;338.64;;
25298.30;616998.10;6992741.32;108.00;338.56;;
23198.30;618805.61;6992329.33;180.00;337.90;;
21098.30;620579.78;6991569.56;372.00;337.03;;
18998.30;621352.12;6990123.10;432.00;336.83;;
16898.30;622406.07;6990869.61;60.00;337.08;;
16148.30;622374.10;6990118.71;244.00;336.84;;degrau grande no MDT
15998.30;622464.46;6989977.33;0.00;337.48;;degrau grande no MDT
15848.30;622368.40;6989806.49;384.00;336.84;;
14798.30;623228.86;6989827.95;0.00;336.63;;
12698.30;624528.13;6988979.89;220.00;336.31;;
10598.30;625867.38;6987619.13;120.00;335.35;;
8498.30;627888.79;6987350.64;100.00;334.59;;
6398.30;629334.41;6986077.95;152.00;334.60;;
4298.30;630619.96;6986489.25;404.00;334.88;;
2198.30;632216.30;6987740.35;152.00;333.71;;
98.30;633796.98;6988808.50;392.00;333.71;;
0.00;633914.32;6988885.28;484.00;333.71;;
