rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
43837.67;650438.29;7043716.91;120.00;515.05;273.25;"1983 RS 43762.67 a 83 m; calha levantada 26.59 m"
41737.67;651676.22;7042140.84;184.00;513.01;257.85;"1983 RS 41837.67 a 153 m; calha levantada 28.46 m"
39637.67;652319.65;7040489.99;0.00;512.60;241.85;"1983 RS 39837.67 a 229 m; calha levantada 31.37 m"
37837.67;653390.07;7039598.85;108.00;509.91;225.31;"1983 RS 37770.15 a 69 m; calha levantada 8.98 m"
37687.67;653523.41;7039524.37;92.00;484.08;224.11;"1983 RS 37620.15 a 69 m; calha levantada 8.87 m"
37537.67;653668.51;7039476.13;76.00;475.37;222.91;"1983 RS 37470.15 a 70 m; calha levantada 12.35 m"
37387.67;653820.58;7039473.41;88.00;468.59;221.71;"1983 RS 37320.15 a 71 m; calha levantada 13.45 m"
36937.67;654249.16;7039378.18;76.00;456.41;218.11;"1983 RS 36870.15 a 71 m; calha levantada 26.05 m"
36787.67;654393.60;7039354.89;88.00;448.53;216.91;"1983 RS 36720.15 a 71 m; calha levantada 26.64 m"
35437.67;655362.96;7038472.22;80.00;440.69;206.11;"1983 RS 35370.15 a 71 m; calha levantada 13.80 m"
33337.67;656262.89;7036983.40;0.00;428.86;190.00;"1983 RS 33357.25 a 49 m; calha levantada 9.88 m"
33187.67;656101.83;7036969.34;48.00;427.03;188.78;"1983 RS 33204.62 a 20 m; calha levantada 8.85 m"
33037.67;655947.61;7037010.56;92.00;419.42;187.58;"1983 RS 33054.62 a 36 m; calha levantada 12.02 m"
32887.67;655794.76;7036961.55;88.00;419.42;186.38;"1983 RS 32904.62 a 34 m; calha levantada 7.38 m"
32737.67;655682.92;7036841.49;92.00;412.44;185.18;"1983 RS 32754.62 a 36 m; calha levantada 8.29 m"
32287.67;655722.36;7036380.80;104.00;403.18;181.58;"1983 RS 32304.62 a 46 m; calha levantada 26.95 m"
32137.67;655846.49;7036277.65;72.00;394.83;180.38;"1983 RS 32154.62 a 19 m; calha levantada 9.50 m"
31987.67;655959.21;7036151.70;124.00;378.87;179.18;"1983 RS 32004.62 a 57 m; calha levantada 10.88 m"
31837.67;656121.37;7036215.00;52.00;360.58;177.98;"1983 RS 31854.62 a 20 m; calha levantada 6.75 m"
31237.67;656718.99;7036281.97;104.00;340.58;173.18;"1983 RS 31254.62 a 46 m; calha levantada 11.87 m"
30487.67;657413.73;7036555.66;88.00;324.03;167.18;"1983 RS 30504.62 a 32 m; calha levantada 8.97 m"
30337.67;657471.69;7036703.81;52.00;301.38;165.98;"1983 RS 30354.62 a 19 m; calha levantada 6.73 m"
29137.67;658327.49;7037321.38;80.00;285.63;156.38;"1983 RS 29154.62 a 27 m; calha levantada 16.82 m"
28237.67;658951.49;7036769.21;68.00;283.90;149.18;"1983 RS 28254.62 a 33 m; calha levantada 19.44 m"
28087.67;659048.26;7036653.70;72.00;275.37;147.98;"1983 RS 28104.62 a 19 m; calha levantada 7.57 m"
