rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
77921.19;663505.75;6935777.11;44.00;447.35;;
75821.19;661701.01;6936515.03;76.00;443.08;;degrau grande no MDT
73721.19;660048.07;6937469.14;76.00;432.68;;
73421.19;659924.82;6937764.43;112.00;435.19;;degrau grande no MDT
73271.19;659758.93;6937762.36;60.00;430.07;;
71621.19;658390.98;6938416.12;88.00;424.78;;
70271.19;657452.13;6939051.89;200.00;423.06;;degrau grande no MDT
70121.19;657306.15;6939154.73;100.00;414.80;;
69521.19;656718.41;6938975.80;44.00;413.87;;
67421.19;655127.10;6939826.91;84.00;407.33;;
65321.19;653964.45;6940920.77;56.00;402.49;;
63221.19;653410.55;6942782.31;224.00;400.07;;
61121.19;653056.04;6944605.72;204.00;395.37;;
60521.19;652804.21;6945156.30;36.00;395.54;;degrau grande no MDT
60371.19;652850.61;6945313.99;24.00;391.01;;
59021.19;652922.11;6946427.35;68.00;390.92;;
56921.19;652858.27;6948342.12;336.00;388.08;;
54821.19;651609.78;6949532.68;48.00;385.52;;
53771.19;650760.76;6949972.78;204.00;383.47;;degrau grande no MDT
53621.19;650799.21;6950112.70;112.00;387.84;;degrau grande no MDT
53471.19;650779.76;6950280.49;20.00;383.41;;
52721.19;651034.30;6950967.69;160.00;382.57;;degrau grande no MDT
52571.19;650907.96;6951076.32;396.00;386.60;;degrau grande no MDT
51071.19;649504.88;6951130.93;68.00;385.60;;degrau grande no MDT
50921.19;649374.70;6951236.95;8.00;381.37;;
50621.19;649414.02;6951551.97;196.00;381.36;;
48521.19;648663.13;6953418.32;144.00;379.59;;
47021.19;647494.40;6954313.94;96.00;388.86;;degrau grande no MDT
46871.19;647329.86;6954291.54;36.00;381.56;;
46421.19;646937.80;6954509.09;96.00;379.60;;
45821.19;646347.81;6954507.51;8.00;378.96;;degrau grande no MDT
45671.19;646241.89;6954637.11;88.00;384.96;;degrau grande no MDT
45521.19;646146.45;6954747.17;84.00;379.00;;
45371.19;646078.40;6954883.72;88.00;378.08;;degrau grande no MDT
45221.19;645976.90;6955004.30;100.00;382.20;;degrau grande no MDT
44321.19;645110.02;6955214.48;96.00;379.15;;
42221.19;643420.80;6956362.27;64.00;378.19;;
41921.19;643226.22;6956597.99;104.00;376.65;;degrau grande no MDT
41771.19;643091.49;6956672.20;152.00;384.44;;degrau grande no MDT
41621.19;642967.61;6956760.53;92.00;376.32;;
41471.19;642826.91;6956814.07;80.00;376.34;;degrau grande no MDT
41321.19;642673.88;6956848.76;28.00;369.89;;
40721.19;642239.69;6957283.24;104.00;372.34;;degrau grande no MDT
40571.19;642085.11;6957319.49;80.00;366.81;;
40121.19;641686.83;6957122.28;88.00;366.80;;
39821.19;641551.61;6956845.51;112.00;366.81;;degrau grande no MDT
39671.19;641401.79;6956772.20;20.00;371.21;;degrau grande no MDT
39521.19;641246.60;6956819.66;56.00;366.16;;
38021.19;640572.78;6958143.19;32.00;364.89;;
35921.19;640095.49;6960122.35;0.00;364.07;;
33821.19;640476.12;6961925.09;68.00;362.90;;
31721.19;640251.85;6962968.12;316.00;365.80;;degrau grande no MDT
29621.19;638408.75;6963889.90;48.00;362.78;;
27521.19;638297.77;6965627.24;48.00;358.77;;
25421.19;637551.90;6967545.39;172.00;358.26;;
24971.19;637400.11;6967972.16;76.00;358.20;;degrau grande no MDT
24821.19;637421.97;6968127.40;36.00;352.21;;
23321.19;637898.49;6969384.91;56.00;348.38;;
21221.19;636946.10;6971136.65;52.00;345.94;;
19121.19;637209.60;6973154.72;76.00;343.63;;degrau grande no MDT
17021.19;636624.14;6974673.30;60.00;342.07;;
14921.19;636237.09;6976559.47;32.00;341.63;;
12821.19;634643.73;6977721.64;28.00;341.60;;
10721.19;634354.55;6979453.41;52.00;337.52;;
8621.19;633629.35;6981259.53;44.00;335.56;;
6521.19;633191.95;6983112.22;380.00;335.63;;
4421.19;633542.57;6985055.24;424.00;335.05;;
3971.19;633485.23;6985526.09;276.00;334.77;;degrau grande no MDT
3821.19;633583.08;6985676.36;20.00;341.25;;degrau grande no MDT
3671.19;633724.07;6985773.79;40.00;334.77;;
2321.19;634048.14;6986590.07;112.00;334.26;;
221.19;633955.10;6988686.37;380.00;334.18;;
0.00;633795.33;6988867.69;0.00;333.96;;
