rs;ponto;estaca;x;y;z_lamina_mdt;z_leito_A_LEVANTAR
7500.0;margem_esq;477.50;723196.34;7019265.72;0.06;
7500.0;eixo;500.00;723201.77;7019243.89;0.10;
7500.0;margem_dir;522.50;723207.20;7019222.05;0.10;
7350.0;margem_esq;477.50;723340.56;7019301.54;0.05;
7350.0;eixo;500.00;723347.34;7019280.08;0.09;
7350.0;margem_dir;522.50;723354.11;7019258.62;0.68;
7200.0;margem_esq;477.50;723477.78;7019355.84;0.11;
7200.0;eixo;500.00;723486.80;7019335.23;0.08;
7200.0;margem_dir;522.50;723495.83;7019314.62;0.23;
7050.0;margem_esq;477.50;723614.22;7019415.61;0.07;
7050.0;eixo;500.00;723624.19;7019395.44;0.10;
7050.0;margem_dir;522.50;723634.16;7019375.27;0.37;
6900.0;margem_esq;477.50;723743.77;7019488.68;0.08;
6900.0;eixo;500.00;723754.85;7019469.10;0.11;
6900.0;margem_dir;522.50;723765.93;7019449.52;0.32;
6750.0;margem_esq;477.50;723867.71;7019569.84;0.07;
6750.0;eixo;500.00;723880.30;7019551.19;0.07;
6750.0;margem_dir;522.50;723892.90;7019532.54;0.07;
6600.0;margem_esq;477.50;723991.65;7019653.64;0.05;
6600.0;eixo;500.00;724004.56;7019635.21;0.10;
6600.0;margem_dir;522.50;724017.47;7019616.79;0.08;
6450.0;margem_esq;477.50;724114.91;7019740.36;0.06;
6450.0;eixo;500.00;724127.21;7019721.51;0.10;
6450.0;margem_dir;522.50;724139.51;7019702.67;0.45;
6300.0;margem_esq;477.50;724240.53;7019822.34;0.90;
6300.0;eixo;500.00;724252.82;7019803.50;0.09;
6300.0;margem_dir;522.50;724265.12;7019784.66;0.10;
6150.0;margem_esq;477.50;724366.14;7019904.32;0.08;
6150.0;eixo;500.00;724378.44;7019885.48;0.10;
6150.0;margem_dir;522.50;724390.73;7019866.64;0.08;
6000.0;margem_esq;477.50;724491.75;7019986.31;0.08;
6000.0;eixo;500.00;724504.05;7019967.47;0.09;
6000.0;margem_dir;522.50;724516.35;7019948.62;0.50;
5850.0;margem_esq;477.50;724617.37;7020068.29;0.06;
5850.0;eixo;500.00;724629.66;7020049.45;0.09;
5850.0;margem_dir;522.50;724641.96;7020030.61;0.22;
5700.0;margem_esq;477.50;724742.98;7020150.28;0.20;
5700.0;eixo;500.00;724755.28;7020131.43;0.06;
5700.0;margem_dir;522.50;724767.57;7020112.59;0.97;
5550.0;margem_esq;477.50;724868.74;7020232.21;0.05;
5550.0;eixo;500.00;724880.96;7020213.31;0.08;
5550.0;margem_dir;522.50;724893.17;7020194.42;0.51;
5400.0;margem_esq;477.50;724994.71;7020313.64;0.09;
5400.0;eixo;500.00;725006.93;7020294.75;0.07;
5400.0;margem_dir;522.50;725019.14;7020275.85;1.01;
5250.0;margem_esq;477.50;725120.68;7020395.08;0.09;
5250.0;eixo;500.00;725132.89;7020376.19;0.08;
5250.0;margem_dir;522.50;725145.11;7020357.29;1.26;
5100.0;margem_esq;477.50;725246.65;7020476.52;0.09;
5100.0;eixo;500.00;725258.86;7020457.62;0.12;
5100.0;margem_dir;522.50;725271.08;7020438.73;2.19;
4950.0;margem_esq;477.50;725372.61;7020557.96;0.07;
4950.0;eixo;500.00;725384.83;7020539.06;0.07;
4950.0;margem_dir;522.50;725397.05;7020520.17;1.49;
4800.0;margem_esq;477.50;725498.58;7020639.40;0.08;
4800.0;eixo;500.00;725510.80;7020620.50;0.07;
4800.0;margem_dir;522.50;725523.01;7020601.60;2.06;
4650.0;margem_esq;477.50;725624.55;7020720.83;0.07;
4650.0;eixo;500.00;725636.77;7020701.94;0.09;
4650.0;margem_dir;522.50;725648.98;7020683.04;1.67;
4500.0;margem_esq;477.50;725750.52;7020802.27;0.06;
4500.0;eixo;500.00;725762.73;7020783.38;0.08;
4500.0;margem_dir;522.50;725774.95;7020764.48;1.29;
4350.0;margem_esq;477.50;725876.49;7020883.71;0.07;
4350.0;eixo;500.00;725888.70;7020864.81;0.09;
4350.0;margem_dir;522.50;725900.92;7020845.92;1.29;
4200.0;margem_esq;477.50;726002.45;7020965.15;0.09;
4200.0;eixo;500.00;726014.67;7020946.25;0.08;
4200.0;margem_dir;522.50;726026.88;7020927.36;2.22;
4050.0;margem_esq;477.50;726128.42;7021046.58;0.10;
4050.0;eixo;500.00;726140.64;7021027.69;0.08;
4050.0;margem_dir;522.50;726152.85;7021008.79;2.16;
3900.0;margem_esq;477.50;726254.39;7021128.02;0.08;
3900.0;eixo;500.00;726266.60;7021109.13;0.09;
3900.0;margem_dir;522.50;726278.82;7021090.23;1.18;
3750.0;margem_esq;477.50;726380.36;7021209.46;0.06;
3750.0;eixo;500.00;726392.57;7021190.56;0.10;
3750.0;margem_dir;522.50;726404.79;7021171.67;1.74;
3600.0;margem_esq;477.50;726506.32;7021290.90;0.09;
3600.0;eixo;500.00;726518.54;7021272.00;0.10;
3600.0;margem_dir;522.50;726530.76;7021253.11;1.26;
3450.0;margem_esq;477.50;726632.29;7021372.33;0.09;
3450.0;eixo;500.00;726644.51;7021353.44;0.11;
3450.0;margem_dir;522.50;726656.72;7021334.54;0.08;
3300.0;margem_esq;477.50;726758.26;7021453.77;0.10;
3300.0;eixo;500.00;726770.48;7021434.88;0.10;
3300.0;margem_dir;522.50;726782.69;7021415.98;0.07;
3150.0;margem_esq;477.50;726884.23;7021535.21;0.07;
3150.0;eixo;500.00;726896.44;7021516.31;0.10;
3150.0;margem_dir;522.50;726908.66;7021497.42;0.04;
3000.0;margem_esq;477.50;727010.20;7021616.64;0.10;
3000.0;eixo;500.00;727022.42;7021597.75;0.08;
3000.0;margem_dir;522.50;727034.63;7021578.85;0.35;
2850.0;margem_esq;477.50;727136.25;7021698.00;0.06;
2850.0;eixo;500.00;727148.45;7021679.09;0.10;
2850.0;margem_dir;522.50;727160.64;7021660.18;0.10;
2700.0;margem_esq;477.50;727262.31;7021779.30;0.07;
2700.0;eixo;500.00;727274.50;7021760.39;0.15;
2700.0;margem_dir;522.50;727286.70;7021741.48;0.08;
2550.0;margem_esq;477.50;727388.36;7021860.60;0.08;
2550.0;eixo;500.00;727400.56;7021841.69;0.08;
2550.0;margem_dir;522.50;727412.75;7021822.78;0.06;
2400.0;margem_esq;477.50;727514.42;7021941.90;0.09;
2400.0;eixo;500.00;727526.62;7021922.99;0.08;
2400.0;margem_dir;522.50;727538.81;7021904.08;0.06;
2250.0;margem_esq;477.50;727640.48;7022023.19;0.07;
2250.0;eixo;500.00;727652.67;7022004.29;0.10;
2250.0;margem_dir;522.50;727664.87;7021985.38;0.06;
2100.0;margem_esq;477.50;727766.54;7022104.49;0.10;
2100.0;eixo;500.00;727778.73;7022085.59;0.12;
2100.0;margem_dir;522.50;727790.93;7022066.68;0.07;
1950.0;margem_esq;477.50;727892.59;7022185.79;0.08;
1950.0;eixo;500.00;727904.79;7022166.88;0.09;
1950.0;margem_dir;522.50;727916.98;7022147.98;0.08;
1800.0;margem_esq;477.50;728018.65;7022267.09;0.08;
1800.0;eixo;500.00;728030.85;7022248.18;0.09;
1800.0;margem_dir;522.50;728043.04;7022229.28;0.22;
1650.0;margem_esq;477.50;728144.71;7022348.39;0.10;
1650.0;eixo;500.00;728156.90;7022329.48;0.09;
1650.0;margem_dir;522.50;728169.10;7022310.58;0.06;
1500.0;margem_esq;477.50;728270.76;7022429.69;0.08;
1500.0;eixo;500.00;728282.96;7022410.78;0.11;
1500.0;margem_dir;522.50;728295.15;7022391.87;0.05;
1350.0;margem_esq;477.50;728396.82;7022510.99;0.09;
1350.0;eixo;500.00;728409.02;7022492.08;0.10;
1350.0;margem_dir;522.50;728421.21;7022473.17;0.19;
1200.0;margem_esq;477.50;728522.88;7022592.29;0.07;
1200.0;eixo;500.00;728535.07;7022573.38;0.10;
1200.0;margem_dir;522.50;728547.27;7022554.47;0.31;
1050.0;margem_esq;477.50;728648.94;7022673.59;0.11;
1050.0;eixo;500.00;728661.13;7022654.68;0.10;
1050.0;margem_dir;522.50;728673.33;7022635.77;1.20;
900.0;margem_esq;477.50;728774.99;7022754.89;0.09;
900.0;eixo;500.00;728787.19;7022735.98;0.11;
900.0;margem_dir;522.50;728799.38;7022717.07;0.89;
750.0;margem_esq;477.50;728901.05;7022836.19;0.09;
750.0;eixo;500.00;728913.25;7022817.28;0.11;
750.0;margem_dir;522.50;728925.44;7022798.37;0.18;
600.0;margem_esq;477.50;729027.11;7022917.49;0.08;
600.0;eixo;500.00;729039.30;7022898.58;0.08;
600.0;margem_dir;522.50;729051.50;7022879.67;0.08;
450.0;margem_esq;477.50;729153.16;7022998.79;0.11;
450.0;eixo;500.00;729165.36;7022979.88;0.12;
450.0;margem_dir;522.50;729177.55;7022960.97;0.10;
300.0;margem_esq;477.50;729279.22;7023080.09;0.09;
300.0;eixo;500.00;729291.42;7023061.18;0.12;
300.0;margem_dir;522.50;729303.61;7023042.27;0.09;
150.0;margem_esq;477.50;729405.28;7023161.39;0.13;
150.0;eixo;500.00;729417.47;7023142.48;0.13;
150.0;margem_dir;522.50;729429.67;7023123.57;0.07;
0.0;margem_esq;477.50;729531.34;7023242.69;0.09;
0.0;eixo;500.00;729543.53;7023223.78;0.13;
