estacao;a;b;h0_m;h_min_m;h_max_m;n_pares;erro_mediano_pct
83050000_Taio;29.219;1.212;0.13;0.23;12.91;2192;1.4
83105000_Saltinho;16.275;2.282;0.06;0.36;4.53;2192;8.0
83250000_Ituporanga;47.810;1.854;-0.05;0.15;6.65;2192;2.2
83300200_Rio_do_Sul_Novo;50.180;1.379;0.27;0.62;12.40;2192;3.4
83345000_Barra_do_Prata;2.680;3.602;-0.41;0.29;7.50;2192;14.1
83440000_Ibirama;75.581;1.961;0.35;0.60;6.90;2192;3.9
83660000_Benedito_Novo;14.822;2.307;-0.13;0.17;5.14;2192;13.3
83675000_Arrozeira;22.537;1.248;0.24;0.34;6.10;2192;0.8
83800002_Blumenau;90.634;1.439;-0.51;0.04;15.19;2192;2.0
83880000_Luiz_Alves;7.061;1.481;0.50;0.80;5.86;2192;1.2
83900000_Brusque;3.886;2.430;-0.74;0.76;9.94;2080;21.4
