Codigo;Nome;RioNome;nmMunicipio;nmEstado;AreaDrenagem;TipoEstacaoEscala;TipoEstacaoRegistradorNivel;TipoEstacaoDescLiquida;TipoEstacaoSedimentos;TipoEstacaoQualAgua;TipoEstacaoTelemetrica;PeriodoEscalaInicio;PeriodoEscalaFim;PeriodoDescLiquidaInicio;PeriodoDescLiquidaFim;ResponsavelSigla;OperadoraSigla;Latitude;Longitude
83020000;PCH RUDOLF MONTANTE;RIO ITAJAÍ DO OESTE;TAIÓ;SANTA CATARINA;176;1;0;1;1;0;1;2015-12-01 00:00:00;;2015-12-01 00:00:00;;HEIDRICH;HEIDRICH;-26.9914;-50.1711
83020010;TAIÓ;RIO ITAJAÍ DO OESTE;TAIÓ;SANTA CATARINA;;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-27.0517;-50.1131
83026000;PCH PASSO MANSO JUSANTE;RIO ITAJAÍ DO OESTE;TAIÓ;SANTA CATARINA;670;1;0;1;1;0;1;2025-07-01 00:00:00;;2025-07-01 00:00:00;;HEIDRICH;HEIDRICH;-27.0569;-50.1011
83029900;BARRAGEM TAIÓ MONTANTE;RIO ITAJAÍ DO OESTE;TAIÓ;SANTA CATARINA;648;1;0;1;0;1;1;1984-05-01 00:00:00;;1984-05-01 00:00:00;;ANA;EPAGRI-SC;-27.0397;-50.1242
83029940;DCSC BARRAGEM OESTE TAIÓ;RIO ITAJAÍ DO OESTE;TAIÓ;SANTA CATARINA;854;1;0;0;0;0;1;2020-10-01 00:00:00;;;;DCSC;DCSC;-27.0967;-50.0383
83030000;BARRAGEM OESTE;RIO ITAJAÍ DO OESTE;TAIÓ;SANTA CATARINA;854;1;0;1;0;1;1;1966-07-01 00:00:00;;2017-01-01 00:00:00;;ANA;EPAGRI-SC;-27.0972;-50.0386
83040000;MIRIM DOCE;RIO TAIO;MIRIM DOCE;SANTA CATARINA;346;0;0;1;0;1;1;2012-10-01 00:00:00;2021-12-01 00:00:00;2017-10-01 00:00:00;;ANA;EPAGRI-SC;-27.2006;-50.0708
83050000;TAIÓ;RIO ITAJAÍ DO OESTE;TAIÓ;SANTA CATARINA;1570;1;0;1;1;1;1;1929-04-01 00:00:00;;1934-12-01 00:00:00;;ANA;EPAGRI-SC;-27.1139;-49.9953
83050001;TAIÓ;RIO ITAJAÍ DO OESTE;TAIÓ;SANTA CATARINA;1570;0;0;0;0;1;0;;;;;SDE-SC;SDE-SC;-27.1139;-50.9953
83059000;UHE SALTO PILÃO RIO DO OESTE;RIO ITAJAÍ DO OESTE;RIO DO OESTE;SANTA CATARINA;2300;1;0;1;1;0;1;2009-01-01 00:00:00;;2009-01-01 00:00:00;;CONS.CESAP;CONS.CESAP;-27.1986;-49.7856
