dist_foz_km;largura_fbds_m;obs
173.30;63.6;
172.80;65.1;
172.30;61.9;
171.80;57.9;
171.30;65.9;
170.80;102.2;
170.30;72.2;
169.80;70.8;
169.30;76.4;
168.80;60.0;
168.30;54.1;
167.80;58.3;
167.30;67.8;
166.80;56.1;
166.30;65.7;
165.80;79.2;
165.30;72.3;
164.80;64.0;
164.30;62.8;
163.80;53.1;
163.30;57.2;
162.80;81.3;
162.30;82.0;
161.80;64.8;
161.30;78.4;
160.80;75.4;
160.30;69.2;
159.80;76.4;
159.30;78.6;
158.80;75.7;
158.30;66.4;
157.80;61.7;
157.30;70.7;
156.80;61.5;
156.30;95.7;
155.80;64.1;
155.30;79.1;
154.80;113.1;
154.30;81.8;
153.80;84.9;
153.30;31.9;
152.80;92.0;
152.30;107.7;
151.80;106.0;
151.30;175.9;
150.80;104.6;
150.30;94.8;
149.80;99.3;
149.30;139.3;
148.80;129.0;
148.30;118.6;
147.80;151.4;
147.30;105.7;
146.80;63.6;
146.30;30.8;
145.80;76.1;
145.30;56.1;
144.80;100.4;
144.30;59.2;
143.80;43.9;
143.30;41.1;
142.80;95.9;
142.30;89.9;
141.80;6.1;
141.30;61.5;
140.80;0.3;
140.30;101.7;
139.80;86.4;
139.30;45.6;
138.80;75.9;
138.30;53.9;
137.80;34.4;
137.30;51.8;
136.80;52.0;
136.30;67.5;
135.80;129.7;
135.30;86.8;
134.80;37.0;
134.30;57.3;
133.80;72.2;
133.30;90.7;
132.80;88.8;
132.30;114.8;
131.80;83.8;
131.30;99.5;
130.80;112.1;
130.30;85.1;
129.80;98.2;
129.30;75.0;
128.80;111.0;
128.30;100.6;
127.80;165.6;
127.30;95.0;
126.80;135.7;
126.30;147.5;
125.80;96.4;
125.30;106.3;
124.80;103.7;
124.30;53.6;
123.80;152.6;
123.30;106.5;
122.80;108.8;
122.30;107.2;
121.80;96.9;
121.30;110.6;
120.80;103.0;
120.30;135.7;
119.80;93.4;
119.30;86.6;
118.80;102.0;
118.30;118.9;
117.80;138.4;
117.30;37.3;
116.80;70.8;
116.30;57.4;
115.80;101.9;
115.30;23.8;
114.80;8.9;
114.30;71.1;
113.80;45.9;
113.30;87.6;
112.80;115.2;
112.30;98.0;
111.80;143.8;
111.30;115.6;
110.80;95.5;
110.30;90.1;
109.80;95.3;
109.30;148.5;
108.80;125.7;
108.30;100.6;
107.80;90.0;
107.30;66.5;
106.80;106.8;
106.30;96.1;
105.80;90.7;
105.30;78.2;
104.80;81.0;
104.30;70.9;
103.80;88.9;
103.30;57.4;
102.80;80.1;
102.30;60.8;
101.80;78.7;
101.30;67.9;
100.80;58.2;
100.30;73.5;
99.80;112.9;
99.30;162.0;
98.80;61.3;
98.30;48.0;
97.80;141.1;
97.30;118.6;
96.80;147.3;
96.30;110.8;
95.80;130.6;
95.30;118.0;
94.80;109.2;
94.30;147.9;
93.80;174.4;
93.30;222.5;
92.80;214.2;
92.30;237.0;
91.80;162.8;
91.30;197.9;
90.80;311.6;
90.30;177.5;
89.80;149.2;
89.30;180.1;
88.80;333.6;
88.30;239.8;
87.80;175.5;
87.30;92.8;
86.80;188.4;
86.30;176.6;
85.80;98.8;
85.30;167.0;
84.80;134.3;
84.30;68.5;
83.80;98.3;
83.30;142.4;
82.80;64.3;
82.30;57.0;
81.80;77.1;
81.30;80.6;
80.80;42.4;
80.30;88.0;
79.80;93.5;
79.30;55.7;
78.80;255.6;
78.30;164.8;
77.80;171.9;
77.30;177.0;
76.80;221.6;
76.30;244.3;
75.80;164.7;
75.30;205.9;
74.80;32.5;
74.30;50.4;
73.80;108.9;
73.30;129.7;
72.80;178.6;
72.30;153.5;
71.80;139.3;
71.30;115.0;
70.80;119.4;
70.30;98.7;
69.80;112.6;
69.30;119.4;
68.80;99.8;
68.30;125.8;
67.80;114.1;
67.30;89.1;
66.80;120.7;
66.30;116.0;
65.80;92.8;
65.30;99.2;
64.80;83.8;
64.30;124.8;
63.80;118.2;
63.30;96.8;
62.80;106.5;
62.30;115.6;
61.80;102.4;
61.30;93.8;
60.80;106.4;
60.30;109.6;
59.80;128.9;
59.30;115.9;
58.80;142.5;
58.30;188.7;
57.80;151.8;
57.30;239.3;
56.80;196.5;
56.30;187.7;
55.80;122.8;
55.30;136.5;
54.80;143.9;
54.30;154.7;
53.80;154.1;
53.30;152.7;
52.80;186.4;
52.30;194.3;
51.80;200.5;
51.30;127.5;
50.80;154.2;
50.30;125.7;
49.80;140.8;
49.30;149.2;
48.80;143.2;
48.30;59.3;
47.80;151.4;
47.30;163.5;
46.80;149.1;
46.30;130.5;
45.80;161.5;
45.30;121.9;
44.80;140.9;
44.30;179.6;
43.80;223.4;
43.30;163.5;
42.80;128.7;
42.30;155.3;
41.80;159.3;
41.30;164.7;
40.80;201.5;
40.30;170.5;
39.80;150.5;
39.30;176.6;
38.80;170.0;
38.30;158.5;
37.80;166.2;
37.30;119.8;
36.80;80.7;
36.30;103.6;
35.80;91.9;
35.30;176.9;
34.80;209.1;
34.30;152.7;
33.80;175.0;
33.30;139.0;
32.80;203.9;
32.30;203.9;
31.80;172.7;
31.30;174.0;
30.80;188.4;
30.30;225.6;
29.80;187.0;
29.30;227.5;
28.80;228.4;
28.30;131.0;
27.80;175.7;
27.30;162.0;
26.80;179.7;
26.30;209.7;
25.80;281.0;
25.30;96.9;
24.80;75.4;
24.30;93.6;
23.80;81.2;
23.30;131.5;
22.80;115.7;
22.30;113.5;
21.80;109.2;
21.30;119.7;
20.80;83.1;
