dist_foz_km;largura_fbds_m;obs
114.30;27.8;
113.80;25.4;
113.30;26.4;
112.80;11.1;
112.30;13.8;
111.80;25.7;
111.30;15.7;
110.80;12.0;
110.30;27.6;
109.80;30.1;
109.30;17.9;
108.80;24.4;
108.30;49.0;
107.80;;sem poligono
107.30;31.0;
106.80;137.8;
106.30;42.4;
105.80;24.2;
105.30;25.4;
104.80;30.7;
104.30;37.0;
103.80;21.7;
103.30;24.3;
102.80;;sem poligono
102.30;38.7;
101.80;70.6;
101.30;29.9;
100.80;30.4;
100.30;21.6;
99.80;55.5;
99.30;37.2;
98.80;27.0;
98.30;21.6;
97.80;17.5;
97.30;;sem poligono
96.80;14.2;
96.30;43.4;
95.80;29.8;
95.30;26.3;
94.80;42.7;
94.30;20.0;
93.80;17.2;
93.30;22.1;
92.80;25.8;
92.30;24.6;
91.80;117.9;
91.30;24.4;
90.80;28.8;
90.30;31.9;
89.80;75.8;
89.30;20.0;
88.80;17.7;
88.30;7.1;
87.80;4.8;
87.30;;sem poligono
86.80;19.0;
86.30;22.2;
85.80;30.5;
85.30;25.0;
84.80;17.9;
84.30;24.4;
83.80;25.8;
83.30;38.6;
82.80;32.9;
82.30;24.4;
81.80;23.5;
81.30;24.6;
80.80;43.5;
80.30;22.5;
79.80;30.7;
79.30;45.6;
78.80;26.8;
78.30;26.3;
77.80;34.2;
77.30;37.5;
76.80;27.1;
76.30;31.8;
75.80;45.0;
75.30;35.4;
74.80;21.9;
74.30;27.6;
73.80;81.8;
73.30;20.8;
72.80;37.8;
72.30;39.4;
71.80;94.4;
71.30;43.4;
70.80;16.8;
70.30;29.9;
69.80;13.9;
69.30;43.1;
68.80;35.0;
68.30;28.1;
67.80;28.8;
67.30;27.0;
66.80;36.6;
66.30;52.6;
65.80;27.5;
65.30;8.2;
64.80;39.6;
64.30;32.5;
63.80;19.1;
63.30;44.8;
62.80;19.9;
62.30;32.4;
61.80;5.3;
61.30;20.0;
60.80;31.3;
60.30;26.3;
59.80;;sem poligono
59.30;10.7;
58.80;27.8;
58.30;27.2;
57.80;17.1;
57.30;39.0;
56.80;38.2;
56.30;45.3;
55.80;37.8;
55.30;50.8;
54.80;159.0;
54.30;39.1;
53.80;25.6;
53.30;12.3;
52.80;33.4;
52.30;23.8;
51.80;43.4;
51.30;;sem poligono
50.80;24.1;
50.30;32.0;
49.80;27.5;
49.30;37.6;
48.80;40.4;
48.30;;sem poligono
47.80;45.1;
47.30;31.8;
46.80;25.1;
46.30;23.1;
45.80;22.3;
45.30;38.4;
44.80;22.5;
44.30;46.2;
43.80;24.6;
43.30;27.0;
42.80;29.6;
42.30;21.4;
41.80;31.8;
41.30;28.7;
40.80;22.2;
40.30;34.1;
39.80;41.1;
39.30;30.6;
38.80;29.3;
38.30;29.6;
37.80;29.9;
37.30;23.7;
36.80;20.7;
36.30;21.3;
35.80;23.8;
35.30;29.1;
34.80;23.6;
34.30;28.7;
33.80;23.0;
33.30;26.5;
32.80;20.6;
32.30;22.4;
31.80;23.5;
31.30;26.6;
30.80;35.1;
30.30;34.6;
29.80;26.1;
29.30;18.1;
28.80;20.4;
28.30;20.8;
27.80;29.9;
27.30;36.9;
26.80;18.4;
26.30;36.5;
25.80;28.4;
25.30;26.5;
24.80;18.6;
24.30;26.3;
23.80;28.9;
23.30;24.5;
22.80;48.5;
22.30;34.0;
21.80;29.0;
21.30;24.0;
20.80;33.3;
20.30;32.5;
19.80;21.6;
19.30;20.2;
18.80;30.6;
18.30;27.1;
17.80;24.6;
17.30;51.6;
16.80;28.9;
16.30;27.7;
15.80;19.9;
15.30;20.4;
14.80;27.9;
14.30;18.8;
13.80;22.3;
13.30;17.8;
12.80;36.9;
12.30;41.6;
11.80;14.3;
11.30;12.5;
10.80;23.3;
10.30;14.1;
9.80;21.2;
9.30;37.0;
8.80;46.1;
8.30;35.1;
7.80;35.8;
7.30;36.6;
6.80;37.7;
6.30;32.2;
5.80;32.9;
5.30;30.9;
4.80;34.8;
4.30;37.4;
3.80;44.8;
3.30;42.4;
2.80;33.0;
2.30;30.5;
1.80;33.1;
1.30;51.1;
0.80;48.1;
0.30;48.1;
