dist_foz_km;largura_fbds_m;obs
118.70;;sem poligono
118.20;;sem poligono
117.70;;sem poligono
117.20;;sem poligono
116.70;;sem poligono
116.20;;sem poligono
115.70;;sem poligono
115.20;;sem poligono
114.70;;sem poligono
114.20;;sem poligono
113.70;;sem poligono
113.20;;sem poligono
112.70;;sem poligono
112.20;;sem poligono
111.70;;sem poligono
111.20;;sem poligono
110.70;;sem poligono
110.20;;sem poligono
109.70;;sem poligono
109.20;;sem poligono
108.70;;sem poligono
108.20;;sem poligono
107.70;;sem poligono
107.20;;sem poligono
106.70;;sem poligono
106.20;;sem poligono
105.70;;sem poligono
105.20;;sem poligono
104.70;;sem poligono
104.20;;sem poligono
103.70;;sem poligono
103.20;;sem poligono
102.70;;sem poligono
102.20;;sem poligono
101.70;;sem poligono
101.20;;sem poligono
100.70;;sem poligono
100.20;;sem poligono
99.70;;sem poligono
99.20;;sem poligono
98.70;;sem poligono
98.20;;sem poligono
97.70;;sem poligono
97.20;;sem poligono
96.70;;sem poligono
96.20;;sem poligono
95.70;;sem poligono
95.20;;sem poligono
94.70;;sem poligono
94.20;;sem poligono
93.70;;sem poligono
93.20;;sem poligono
92.70;;sem poligono
92.20;;sem poligono
91.70;;sem poligono
91.20;;sem poligono
90.70;;sem poligono
90.20;;sem poligono
89.70;;sem poligono
89.20;;sem poligono
88.70;;sem poligono
88.20;;sem poligono
87.70;;sem poligono
87.20;;sem poligono
86.70;;sem poligono
86.20;;sem poligono
85.70;;sem poligono
85.20;;sem poligono
84.70;;sem poligono
84.20;;sem poligono
83.70;;sem poligono
83.20;;sem poligono
82.70;;sem poligono
82.20;;sem poligono
81.70;;sem poligono
81.20;;sem poligono
80.70;;sem poligono
80.20;;sem poligono
79.70;;sem poligono
79.20;;sem poligono
78.70;;sem poligono
78.20;;sem poligono
77.70;;sem poligono
77.20;;sem poligono
76.70;;sem poligono
76.20;;sem poligono
75.70;;sem poligono
75.20;;sem poligono
74.70;;sem poligono
74.20;;sem poligono
73.70;;sem poligono
73.20;;sem poligono
72.70;;sem poligono
72.20;;sem poligono
71.70;;sem poligono
71.20;;sem poligono
70.70;;sem poligono
70.20;;sem poligono
69.70;;sem poligono
69.20;;sem poligono
68.70;;sem poligono
68.20;;sem poligono
67.70;;sem poligono
67.20;;sem poligono
66.70;;sem poligono
66.20;;sem poligono
65.70;;sem poligono
65.20;;sem poligono
64.70;;sem poligono
64.20;;sem poligono
63.70;;sem poligono
63.20;;sem poligono
62.70;;sem poligono
62.20;;sem poligono
61.70;;sem poligono
61.20;;sem poligono
60.70;;sem poligono
60.20;;sem poligono
59.70;;sem poligono
59.20;15.7;
58.70;1.4;
58.20;21.6;
57.70;19.9;
57.20;;sem poligono
56.70;6.7;
56.20;27.9;
55.70;;sem poligono
55.20;10.0;
54.70;35.0;
54.20;;sem poligono
53.70;;sem poligono
53.20;;sem poligono
52.70;;sem poligono
52.20;;sem poligono
51.70;;sem poligono
51.20;13.3;
50.70;;sem poligono
50.20;27.3;
49.70;;sem poligono
49.20;;sem poligono
48.70;54.9;
48.20;;sem poligono
47.70;;sem poligono
47.20;70.9;
46.70;85.7;
46.20;85.7;
45.70;91.1;
45.20;14.7;
44.70;;sem poligono
44.20;42.3;
43.70;40.9;
43.20;40.4;
42.70;43.1;
42.20;45.9;
41.70;53.0;
41.20;73.6;
40.70;55.8;
40.20;56.9;
39.70;67.1;
39.20;58.3;
38.70;64.8;
38.20;91.2;
37.70;74.1;
37.20;60.0;
36.70;59.9;
36.20;68.3;
35.70;63.1;
35.20;62.0;
34.70;56.2;
34.20;42.8;
33.70;94.7;
33.20;51.0;
32.70;52.0;
32.20;49.4;
31.70;50.3;
31.20;52.5;
30.70;54.8;
30.20;64.8;
29.70;53.1;
29.20;54.4;
28.70;59.7;
28.20;62.1;
27.70;57.3;
27.20;76.9;
26.70;68.3;
26.20;70.1;
25.70;52.9;
25.20;58.4;
24.70;57.8;
24.20;21.0;
23.70;57.2;
23.20;64.7;
22.70;56.5;
22.20;64.6;
21.70;63.3;
21.20;61.4;
20.70;74.0;
20.20;66.5;
19.70;69.9;
19.20;118.9;
18.70;76.5;
18.20;76.1;
17.70;52.4;
17.20;94.1;
16.70;65.8;
16.20;93.8;
15.70;63.4;
15.20;197.1;
14.70;47.7;
14.20;55.7;
13.70;138.2;
13.20;37.2;
12.70;65.4;
12.20;107.8;
11.70;59.4;
11.20;105.3;
10.70;90.5;
10.20;94.4;
9.70;74.1;
9.20;52.6;
8.70;194.1;
8.20;88.6;
7.70;62.8;
7.20;106.4;
6.70;180.4;
6.20;80.2;
5.70;52.9;
5.20;54.1;
4.70;16.4;
4.20;77.9;
3.70;91.4;
3.20;87.1;
2.70;66.5;
2.20;71.6;
1.70;113.5;
1.20;64.3;
0.70;68.8;
