dist_foz_km;largura_fbds_m;obs
56.60;31.6;
56.10;34.9;
55.60;23.0;
55.10;31.0;
54.60;42.5;
54.10;38.5;
53.60;34.0;
53.10;27.9;
52.60;30.9;
52.10;25.1;
51.60;27.3;
51.10;29.2;
50.60;58.8;
50.10;70.6;
49.60;28.2;
49.10;62.5;
48.60;36.2;
48.10;39.2;
47.60;58.1;
47.10;50.5;
46.60;54.0;
46.10;39.4;
45.60;37.7;
45.10;37.5;
44.60;28.5;
44.10;48.5;
43.60;29.7;
43.10;34.6;
42.60;34.3;
42.10;35.3;
41.60;38.2;
41.10;19.2;
40.60;8.8;
40.10;30.5;
39.60;;sem poligono
39.10;42.0;
38.60;;sem poligono
38.10;30.7;
37.60;43.1;
37.10;37.9;
36.60;34.9;
36.10;30.8;
35.60;37.9;
35.10;39.1;
34.60;23.9;
34.10;38.1;
33.60;71.4;
33.10;42.4;
32.60;38.3;
32.10;38.7;
31.60;48.5;
31.10;45.0;
30.60;59.7;
30.10;38.0;
29.60;41.0;
29.10;30.1;
28.60;59.9;
28.10;50.5;
27.60;32.9;
27.10;40.9;
26.60;38.0;
26.10;70.4;
25.60;50.6;
25.10;47.7;
24.60;30.6;
24.10;41.0;
23.60;42.9;
23.10;51.3;
22.60;38.4;
22.10;46.9;
21.60;42.2;
21.10;46.8;
20.60;38.5;
20.10;37.6;
19.60;42.2;
19.10;41.8;
18.60;34.9;
18.10;39.8;
17.60;41.8;
17.10;28.4;
16.60;41.1;
16.10;35.7;
15.60;31.6;
15.10;33.5;
14.60;42.6;
14.10;40.0;
13.60;27.3;
13.10;33.3;
12.60;33.8;
12.10;34.8;
11.60;43.8;
11.10;32.5;
10.60;39.8;
10.10;43.7;
9.60;24.8;
9.10;42.0;
8.60;33.9;
8.10;29.6;
7.60;41.3;
7.10;42.2;
6.60;39.1;
6.10;42.0;
5.60;56.6;
5.10;47.7;
4.60;47.5;
4.10;43.7;
3.60;44.0;
3.10;48.8;
2.60;44.5;
2.10;42.7;
1.60;45.5;
1.10;42.2;
0.60;53.8;
