dist_foz_km;largura_fbds_m;obs
77.72;;sem poligono
77.22;;sem poligono
76.72;;sem poligono
76.22;;sem poligono
75.72;;sem poligono
75.22;;sem poligono
74.72;;sem poligono
74.22;;sem poligono
73.72;;sem poligono
73.22;;sem poligono
72.72;;sem poligono
72.22;;sem poligono
71.72;;sem poligono
71.22;;sem poligono
70.72;;sem poligono
70.22;;sem poligono
69.72;;sem poligono
69.22;;sem poligono
68.72;;sem poligono
68.22;;sem poligono
67.72;;sem poligono
67.22;;sem poligono
66.72;;sem poligono
66.22;;sem poligono
65.72;;sem poligono
65.22;;sem poligono
64.72;;sem poligono
64.22;;sem poligono
63.72;;sem poligono
63.22;;sem poligono
62.72;;sem poligono
62.22;;sem poligono
61.72;;sem poligono
61.22;;sem poligono
60.72;;sem poligono
60.22;;sem poligono
59.72;;sem poligono
59.22;;sem poligono
58.72;;sem poligono
58.22;;sem poligono
57.72;;sem poligono
57.22;;sem poligono
56.72;35.3;
56.22;;sem poligono
55.72;;sem poligono
55.22;18.7;
54.72;40.3;
54.22;;sem poligono
53.72;;sem poligono
53.22;35.7;
52.72;38.1;
52.22;;sem poligono
51.72;30.2;
51.22;;sem poligono
50.72;;sem poligono
50.22;29.4;
49.72;;sem poligono
49.22;;sem poligono
48.72;;sem poligono
48.22;;sem poligono
47.72;;sem poligono
47.22;16.6;
46.72;23.3;
46.22;35.7;
45.72;;sem poligono
45.22;22.9;
44.72;25.6;
44.22;;sem poligono
43.72;;sem poligono
43.22;;sem poligono
42.72;;sem poligono
42.22;16.4;
41.72;38.7;
41.22;48.5;
40.72;26.0;
40.22;30.9;
39.72;32.2;
39.22;14.9;
38.72;21.4;
38.22;28.1;
37.72;25.5;
37.22;27.8;
36.72;30.8;
36.22;31.1;
35.72;38.7;
35.22;24.0;
34.72;29.2;
34.22;30.5;
33.72;32.3;
33.22;31.8;
32.72;26.9;
32.22;25.1;
31.72;29.0;
31.22;28.2;
30.72;30.5;
30.22;27.7;
29.72;31.6;
29.22;23.8;
28.72;47.7;
28.22;34.4;
27.72;37.3;
27.22;35.4;
26.72;39.7;
26.22;28.6;
25.72;65.1;
25.22;45.4;
24.72;31.8;
24.22;40.2;
23.72;50.8;
23.22;30.7;
22.72;43.7;
22.22;35.9;
21.72;38.4;
21.22;44.3;
20.72;50.0;
20.22;41.9;
19.72;34.8;
19.22;33.8;
18.72;45.9;
18.22;46.5;
17.72;29.0;
17.22;60.2;
16.72;33.5;
16.22;59.4;
15.72;42.3;
15.22;36.6;
14.72;37.2;
14.22;57.2;
13.72;54.3;
13.22;44.3;
12.72;48.4;
12.22;52.7;
11.72;65.3;
11.22;53.2;
10.72;60.2;
10.22;79.5;
9.72;41.9;
9.22;40.1;
8.72;32.7;
8.22;30.6;
7.72;42.5;
7.22;35.3;
6.72;32.3;
6.22;30.5;
5.72;32.3;
5.22;28.8;
4.72;27.6;
4.22;34.0;
3.72;39.0;
3.22;33.3;
2.72;29.5;
2.22;31.0;
1.72;41.3;
1.22;22.3;
0.72;35.0;
0.22;42.4;
