dist_foz_km;largura_fbds_m;obs
43.64;;sem poligono
43.14;;sem poligono
42.64;12.7;
42.14;19.5;
41.64;18.2;
41.14;;sem poligono
40.64;22.7;
40.14;;sem poligono
39.64;;sem poligono
39.14;;sem poligono
38.64;;sem poligono
38.14;17.7;
37.64;42.8;
37.14;15.4;
36.64;14.0;
36.14;32.6;
35.64;38.0;
35.14;60.8;
34.64;24.4;
34.14;78.8;
33.64;32.9;
33.14;15.0;
32.64;42.6;
32.14;15.1;
31.64;24.5;
31.14;26.9;
30.64;42.7;
30.14;70.8;
29.64;29.6;
29.14;48.0;
28.64;39.6;
28.14;60.1;
27.64;49.8;
27.14;21.1;
26.64;70.7;
26.14;44.5;
25.64;71.8;
25.14;18.1;
24.64;52.2;
24.14;84.6;
23.64;34.0;
23.14;26.9;
22.64;33.6;
22.14;37.2;
21.64;66.6;
21.14;48.3;
20.64;45.6;
20.14;;sem poligono
19.64;35.9;
19.14;30.4;
18.64;41.3;
18.14;17.8;
17.64;;sem poligono
17.14;;sem poligono
16.64;;sem poligono
16.14;;sem poligono
15.64;;sem poligono
15.14;;sem poligono
14.64;;sem poligono
14.14;20.4;
13.64;3.0;
13.14;37.8;
12.64;55.8;
12.14;38.7;
11.64;36.4;
11.14;35.7;
10.64;44.1;
10.14;40.9;
9.64;56.4;
9.14;44.3;
8.64;45.6;
8.14;46.2;
7.64;37.2;
7.14;48.1;
6.64;56.6;
6.14;44.1;
5.64;66.8;
5.14;54.1;
4.64;60.9;
4.14;43.0;
3.64;62.7;
3.14;72.5;
2.64;69.6;
2.14;58.6;
1.64;44.7;
1.14;70.2;
0.64;71.9;
