dist_foz_km;largura_fbds_m;obs
19.03;;sem poligono
18.53;;sem poligono
18.03;;sem poligono
17.53;;sem poligono
17.03;;sem poligono
16.53;;sem poligono
16.03;;sem poligono
15.53;;sem poligono
15.03;;sem poligono
14.53;;sem poligono
14.03;;sem poligono
13.53;;sem poligono
13.03;;sem poligono
12.53;;sem poligono
12.03;;sem poligono
11.53;;sem poligono
11.03;;sem poligono
10.53;;sem poligono
10.03;;sem poligono
9.53;;sem poligono
9.03;;sem poligono
8.53;;sem poligono
8.03;;sem poligono
7.53;;sem poligono
7.03;;sem poligono
6.53;;sem poligono
6.03;;sem poligono
5.53;;sem poligono
5.03;;sem poligono
4.53;;sem poligono
4.03;;sem poligono
3.53;;sem poligono
3.03;;sem poligono
2.53;;sem poligono
2.03;;sem poligono
1.53;;sem poligono
1.03;;sem poligono
0.53;;sem poligono
