dist_foz_km;largura_fbds_m;obs
23.73;14.5;
23.23;10.7;
22.73;18.7;
22.23;14.9;
21.73;;sem poligono
21.23;;sem poligono
20.73;89.6;
20.23;22.1;
19.73;33.6;
19.23;26.1;
18.73;24.2;
18.23;39.7;
17.73;22.0;
17.23;23.4;
16.73;25.4;
16.23;20.3;
15.73;;sem poligono
15.23;22.1;
14.73;12.4;
14.23;27.5;
13.73;;sem poligono
13.23;27.3;
12.73;72.5;
12.23;19.4;
11.73;16.7;
11.23;17.9;
10.73;30.7;
10.23;;sem poligono
9.73;17.5;
9.23;;sem poligono
8.73;28.4;
8.23;24.3;
7.73;39.3;
7.23;30.8;
6.73;31.2;
6.23;29.3;
5.73;18.8;
5.23;21.1;
4.73;27.1;
4.23;;sem poligono
3.73;;sem poligono
3.23;;sem poligono
2.73;;sem poligono
2.23;33.3;
1.73;18.1;
1.23;21.8;
0.73;25.4;
0.23;17.8;
