dist_foz_km;largura_fbds_m;obs
24.91;311.3;
24.41;16.3;
23.91;;sem poligono
23.41;13.0;
22.91;17.7;
22.41;13.3;
21.91;34.6;
21.41;13.5;
20.91;;sem poligono
20.41;23.3;
19.91;20.8;
19.41;25.2;
18.91;;sem poligono
18.41;19.9;
17.91;23.0;
17.41;30.2;
16.91;;sem poligono
16.41;16.6;
15.91;18.7;
15.41;21.0;
14.91;28.3;
14.41;;sem poligono
13.91;19.9;
13.41;25.8;
12.91;30.6;
12.41;20.5;
11.91;21.6;
11.41;;sem poligono
10.91;15.2;
10.41;13.0;
9.91;18.5;
9.41;2.3;
8.91;29.6;
8.41;26.4;
7.91;27.3;
7.41;22.7;
6.91;23.4;
6.41;26.9;
5.91;22.6;
5.41;;sem poligono
4.91;17.1;
4.41;;sem poligono
3.91;;sem poligono
3.41;25.4;
2.91;18.6;
2.41;14.6;
1.91;25.4;
1.41;;sem poligono
0.91;;sem poligono
0.41;;sem poligono
