dist_foz_km;largura_fbds_m;obs
17.31;199.5;
16.81;;sem poligono
16.31;12.0;
15.81;22.4;
15.31;23.1;
14.81;23.0;
14.31;40.8;
13.81;;sem poligono
13.31;;sem poligono
12.81;;sem poligono
12.31;41.3;
11.81;41.3;
11.31;40.1;
10.81;32.4;
10.31;108.5;
9.81;49.5;
9.31;;sem poligono
8.81;;sem poligono
8.31;;sem poligono
7.81;;sem poligono
7.31;27.8;
6.81;18.9;
6.31;17.6;
5.81;8.5;
5.31;13.1;
4.81;26.9;
4.31;32.8;
3.81;33.7;
3.31;;sem poligono
2.81;26.9;
2.31;103.2;
1.81;;sem poligono
1.31;17.0;
0.81;18.7;
0.31;17.1;
