dist_foz_km;largura_fbds_m;obs
26.05;21.4;
25.55;20.3;
25.05;23.1;
24.55;23.9;
24.05;30.0;
23.55;28.8;
23.05;26.7;
22.55;28.2;
22.05;22.1;
21.55;45.8;
21.05;24.1;
20.55;22.9;
20.05;;sem poligono
19.55;60.4;
19.05;23.2;
18.55;27.9;
18.05;20.6;
17.55;18.1;
17.05;19.6;
16.55;;sem poligono
16.05;15.8;
15.55;24.0;
15.05;38.5;
14.55;20.9;
14.05;26.3;
13.55;23.2;
13.05;14.3;
12.55;21.6;
12.05;33.4;
11.55;16.9;
11.05;;sem poligono
10.55;22.5;
10.05;33.6;
9.55;35.5;
9.05;22.0;
8.55;15.4;
8.05;23.1;
7.55;16.3;
7.05;20.7;
6.55;21.2;
6.05;16.7;
5.55;11.6;
5.05;20.8;
4.55;19.5;
4.05;;sem poligono
3.55;18.5;
3.05;13.8;
2.55;28.5;
2.05;27.9;
1.55;13.6;
1.05;13.7;
0.55;21.8;
