dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
173.30;;;;sem margem
172.80;;;;sem margem
172.30;;;;sem margem
171.80;;;;sem margem
171.30;90;118;333.37;
170.80;116;149;333.37;
170.30;102;137;332.66;
169.80;;;;sem margem
169.30;115;161;331.83;
168.80;126;146;331.71;
168.30;97;113;331.76;
167.80;84;105;331.75;
167.30;100;117;331.05;
166.80;;;;sem margem
166.30;;;;sem margem
165.80;100;144;331.02;
165.30;;;;sem margem
164.80;;;;sem margem
164.30;;;;sem margem
163.80;94;116;329.99;
163.30;;;;sem margem
162.80;88;106;329.96;
162.30;;;;sem margem
161.80;89;175;329.97;
161.30;93;117;329.95;
160.80;106;143;329.93;
160.30;93;121;329.93;
159.80;100;141;329.93;
159.30;98;135;329.93;
158.80;91;132;329.67;
158.30;97;128;329.68;
157.80;105;138;329.67;
157.30;107;132;329.67;
156.80;33;121;329.00;
156.30;;;;sem margem
155.80;;;;sem margem
155.30;88;104;328.46;
154.80;;;;sem margem
154.30;94;113;328.45;
153.80;3;25;328.59;
153.30;;;;sem margem
152.80;3;22;326.35;
152.30;14;46;326.10;
151.80;8;72;326.10;
151.30;;;;sem margem
150.80;;;;sem margem
150.30;;;;sem margem
149.80;;;;sem margem
149.30;;;;sem margem
148.80;;;;sem margem
148.30;118;391;285.40;
147.80;;;;sem margem
147.30;;;;sem margem
146.80;;;;sem margem
146.30;72;468;241.93;
145.80;;;;sem margem
145.30;;;;sem margem
144.80;77;501;206.37;
144.30;;;;sem margem
143.80;10;250;184.72;
143.30;13;254;177.29;
142.80;;;;sem margem
142.30;;;;sem margem
141.80;;;;sem margem
141.30;59;144;139.49;
140.80;;;;sem margem
140.30;;;;sem margem
139.80;;;;sem margem
139.30;126;344;122.29;
138.80;84;315;122.24;
138.30;;;;sem margem
137.80;104;288;121.93;
137.30;94;305;119.78;
136.80;100;200;116.32;
136.30;;;;sem margem
135.80;;;;sem margem
135.30;;;;sem margem
134.80;110;381;110.07;
134.30;;;;sem margem
133.80;118;266;100.73;
133.30;;;;sem margem
132.80;94;191;98.50;
132.30;;;;sem margem
131.80;94;290;98.32;
131.30;;;;sem margem
130.80;108;501;91.52;
130.30;80;179;89.18;
129.80;;;;sem margem
129.30;;;;sem margem
128.80;;;;sem margem
128.30;101;282;84.86;
127.80;;;;sem margem
127.30;203;245;84.46;
126.80;137;153;84.45;
126.30;153;194;84.37;
125.80;106;156;80.93;
125.30;107;140;80.97;
124.80;103;294;80.98;
124.30;166;193;80.97;
123.80;;;;sem margem
123.30;113;157;81.05;
122.80;;;;sem margem
122.30;122;154;77.41;
121.80;;;;sem margem
121.30;;;;sem margem
120.80;;;;sem margem
120.30;;;;sem margem
119.80;;;;sem margem
119.30;;;;sem margem
118.80;9;39;76.60;
118.30;;;;sem margem
117.80;134;151;75.84;
117.30;132;278;74.76;
116.80;121;177;73.60;
116.30;142;169;72.71;
115.80;;;;sem margem
115.30;;;;sem margem
114.80;;;;sem margem
114.30;;;;sem margem
113.80;;;;sem margem
113.30;93;211;73.10;
112.80;;;;sem margem
112.30;;;;sem margem
111.80;151;182;71.14;
111.30;115;146;71.10;
110.80;103;141;71.23;
110.30;96;160;70.71;
109.80;8;45;70.52;
109.30;;;;sem margem
108.80;;;;sem margem
108.30;;;;sem margem
107.80;106;183;67.83;
107.30;;;;sem margem
106.80;;;;sem margem
106.30;113;150;67.25;
105.80;97;124;67.18;
105.30;121;177;67.10;
104.80;132;171;67.19;
104.30;;;;sem margem
103.80;134;165;67.19;
103.30;;;;sem margem
102.80;;;;sem margem
102.30;;;;sem margem
101.80;;;;sem margem
101.30;;;;sem margem
100.80;;;;sem margem
100.30;131;174;66.53;
99.80;;;;sem margem
99.30;;;;sem margem
98.80;;;;sem margem
98.30;212;264;63.13;
97.80;;;;sem margem
97.30;;;;sem margem
96.80;;;;sem margem
96.30;;;;sem margem
95.80;;;;sem margem
95.30;120;175;63.05;
94.80;;;;sem margem
94.30;148;198;61.60;
93.80;;;;sem margem
93.30;239;295;61.75;
92.80;;;;sem margem
92.30;;;;sem margem
91.80;;;;sem margem
91.30;173;219;60.95;
90.80;;;;sem margem
90.30;;;;sem margem
89.80;192;258;53.72;
89.30;169;217;51.17;
88.80;;;;sem margem
88.30;;;;sem margem
87.80;;;;sem margem
87.30;;;;sem margem
86.80;204;267;44.78;
86.30;;;;sem margem
85.80;;;;sem margem
85.30;158;188;35.92;
84.80;;;;sem margem
84.30;;;;sem margem
83.80;;;;sem margem
83.30;;;;sem margem
82.80;115;264;22.80;
82.30;;;;sem margem
81.80;;;;sem margem
81.30;;;;sem margem
80.80;;;;sem margem
80.30;;;;sem margem
79.80;127;229;22.94;
79.30;;;;sem margem
78.80;;;;sem margem
78.30;;;;sem margem
77.80;;;;sem margem
77.30;166;258;18.83;
