dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
118.70;;;;sem margem
118.20;24;319;458.74;
117.70;;;;sem margem
117.20;29;399;457.28;
116.70;31;329;456.55;
116.20;38;213;454.37;
115.70;38;220;453.75;
115.20;23;254;452.18;
114.70;23;464;450.00;
114.20;33;412;447.82;
113.70;24;321;446.38;
113.20;;;;sem margem
112.70;22;501;439.27;
112.20;1;429;439.16;
111.70;1;382;438.08;
111.20;7;501;437.22;
110.70;22;463;436.60;
110.20;;;;sem margem
109.70;20;422;434.08;
109.20;10;501;432.27;
108.70;14;501;428.14;
108.20;20;358;427.49;
107.70;;;;sem margem
107.20;13;192;425.59;
106.70;28;494;424.73;
106.20;13;369;423.66;
105.70;;;;sem margem
105.20;;;;sem margem
104.70;16;255;421.14;
104.20;;;;sem margem
103.70;;;;sem margem
103.20;;;;sem margem
102.70;16;389;418.73;
102.20;18;109;419.01;
101.70;61;77;417.17;
101.20;;;;sem margem
100.70;;;;sem margem
100.20;;;;sem margem
99.70;;;;sem margem
99.20;32;317;410.44;
98.70;41;246;410.38;
98.20;43;260;410.21;
97.70;30;265;409.80;
97.20;;;;sem margem
96.70;;;;sem margem
96.20;;;;sem margem
95.70;;;;sem margem
95.20;;;;sem margem
94.70;;;;sem margem
94.20;;;;sem margem
93.70;;;;sem margem
93.20;;;;sem margem
92.70;;;;sem margem
92.20;;;;sem margem
91.70;;;;sem margem
91.20;;;;sem margem
90.70;;;;sem margem
90.20;9;242;393.13;
89.70;;;;sem margem
89.20;8;118;387.11;
88.70;7;227;385.05;
88.20;;;;sem margem
87.70;;;;sem margem
87.20;8;301;379.76;
86.70;;;;sem margem
86.20;;;;sem margem
85.70;;;;sem margem
85.20;23;467;367.18;
84.70;;;;sem margem
84.20;5;24;358.20;
83.70;13;151;355.58;
83.20;;;;sem margem
82.70;;;;sem margem
82.20;5;19;344.40;
81.70;11;239;344.32;
81.20;;;;sem margem
80.70;;;;sem margem
