dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
23.73;;;;sem margem
23.23;11;63;503.72;
22.73;;;;sem margem
22.23;;;;sem margem
21.73;;;;sem margem
21.23;;;;sem margem
20.73;93;130;502.26;
20.23;26;53;501.75;
19.73;30;70;499.30;
19.23;;;;sem margem
18.73;11;114;456.54;
18.23;;;;sem margem
17.73;19;371;422.28;
17.23;;;;sem margem
16.73;;;;sem margem
16.23;11;36;386.50;
15.73;;;;sem margem
15.23;16;45;368.37;
14.73;;;;sem margem
14.23;;;;sem margem
13.73;;;;sem margem
13.23;;;;sem margem
12.73;;;;sem margem
12.23;;;;sem margem
11.73;11;64;341.62;
11.23;;;;sem margem
10.73;;;;sem margem
10.23;;;;sem margem
9.73;7;27;342.24;
9.23;;;;sem margem
8.73;;;;sem margem
8.23;28;54;344.14;
7.73;;;;sem margem
7.23;;;;sem margem
6.73;;;;sem margem
6.23;;;;sem margem
5.73;38;50;343.82;
5.23;34;48;343.89;
4.73;;;;sem margem
4.23;;;;sem margem
3.73;;;;sem margem
3.23;;;;sem margem
2.73;;;;sem margem
2.23;;;;sem margem
1.73;;;;sem margem
1.23;;;;sem margem
0.73;12;45;344.40;
0.23;;;;sem margem
