dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
17.31;;;;sem margem
16.81;;;;sem margem
16.31;;;;sem margem
15.81;;;;sem margem
15.31;22;35;344.48;
14.81;;;;sem margem
14.31;;;;sem margem
13.81;;;;sem margem
13.31;;;;sem margem
12.81;;;;sem margem
12.31;;;;sem margem
11.81;43;123;343.46;
11.31;;;;sem margem
10.81;;;;sem margem
10.31;;;;sem margem
9.81;;;;sem margem
9.31;10;31;341.17;
8.81;;;;sem margem
8.31;;;;sem margem
7.81;;;;sem margem
7.31;;;;sem margem
6.81;6;43;340.18;
6.31;;;;sem margem
5.81;52;181;339.40;
5.31;;;;sem margem
4.81;;;;sem margem
4.31;;;;sem margem
3.81;;;;sem margem
3.31;;;;sem margem
2.81;;;;sem margem
2.31;;;;sem margem
1.81;;;;sem margem
1.31;;;;sem margem
0.81;;;;sem margem
0.31;;;;sem margem
