dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
114.30;28;78;279.97;
113.80;20;53;276.50;
113.30;4;59;270.92;
112.80;;;;sem margem
112.30;;;;sem margem
111.80;18;104;258.71;
111.30;3;81;273.61;
110.80;;;;sem margem
110.30;;;;sem margem
109.80;12;277;237.65;
109.30;;;;sem margem
108.80;22;150;229.12;
108.30;28;293;223.60;
107.80;;;;sem margem
107.30;;;;sem margem
106.80;3;17;210.47;
106.30;;;;sem margem
105.80;;;;sem margem
105.30;10;228;192.99;
104.80;;;;sem margem
104.30;40;362;183.64;
103.80;6;250;180.58;
103.30;45;221;179.20;
102.80;;;;sem margem
102.30;7;210;171.78;
101.80;69;151;167.65;
101.30;28;388;163.55;
100.80;;;;sem margem
100.30;;;;sem margem
99.80;;;;sem margem
99.30;11;501;156.09;
98.80;4;501;155.08;
98.30;20;304;151.65;
97.80;14;152;149.26;
97.30;;;;sem margem
96.80;18;380;143.60;
96.30;;;;sem margem
95.80;;;;sem margem
95.30;;;;sem margem
94.80;;;;sem margem
94.30;24;402;129.43;
93.80;33;464;128.53;
93.30;28;374;127.14;
92.80;;;;sem margem
92.30;3;241;121.28;
91.80;;;;sem margem
91.30;10;297;118.13;
90.80;11;493;116.38;
90.30;30;187;116.05;
89.80;;;;sem margem
89.30;;;;sem margem
88.80;;;;sem margem
88.30;17;162;106.30;
87.80;;;;sem margem
87.30;;;;sem margem
86.80;16;264;98.95;
86.30;22;255;98.82;
85.80;;;;sem margem
85.30;23;395;95.54;
84.80;30;373;93.59;
84.30;;;;sem margem
83.80;;;;sem margem
83.30;;;;sem margem
82.80;;;;sem margem
82.30;7;264;86.71;
81.80;4;218;88.29;
81.30;;;;sem margem
80.80;;;;sem margem
80.30;25;163;82.45;
79.80;7;40;81.97;
79.30;;;;sem margem
78.80;37;81;78.49;
78.30;;;;sem margem
77.80;19;96;88.71;
77.30;;;;sem margem
76.80;23;294;72.40;
76.30;31;161;71.69;
75.80;;;;sem margem
75.30;;;;sem margem
74.80;13;154;66.86;
74.30;79;203;66.15;
73.80;56;158;64.96;
73.30;;;;sem margem
72.80;;;;sem margem
72.30;;;;sem margem
71.80;99;294;60.22;
71.30;7;59;60.42;
70.80;;;;sem margem
70.30;16;174;59.00;
69.80;;;;sem margem
69.30;;;;sem margem
68.80;;;;sem margem
68.30;;;;sem margem
67.80;;;;sem margem
67.30;;;;sem margem
66.80;;;;sem margem
66.30;46;216;48.66;
65.80;27;77;48.65;
65.30;;;;sem margem
64.80;;;;sem margem
64.30;54;147;45.29;
63.80;18;123;45.01;
63.30;;;;sem margem
62.80;35;139;42.29;
62.30;;;;sem margem
61.80;;;;sem margem
61.30;;;;sem margem
60.80;31;255;39.52;
60.30;35;96;39.52;
59.80;34;226;38.64;
59.30;33;101;37.38;
58.80;46;133;36.72;
58.30;;;;sem margem
57.80;27;88;36.00;
57.30;41;75;35.04;
56.80;;;;sem margem
56.30;44;326;32.86;
55.80;11;384;32.92;
55.30;30;136;31.17;
54.80;;;;sem margem
54.30;13;178;28.51;
53.80;17;109;26.40;
53.30;8;45;27.71;
52.80;8;53;25.99;
52.30;10;42;25.88;
51.80;55;77;24.19;
51.30;;;;sem margem
50.80;;;;sem margem
50.30;2;33;24.32;
49.80;;;;sem margem
49.30;38;279;22.35;
48.80;;;;sem margem
48.30;;;;sem margem
47.80;;;;sem margem
47.30;28;55;17.99;
46.80;;;;sem margem
46.30;31;59;17.52;
45.80;17;43;16.85;
45.30;;;;sem margem
44.80;;;;sem margem
44.30;33;68;15.92;
43.80;;;;sem margem
43.30;20;43;14.22;
42.80;26;56;12.48;
42.30;17;52;12.41;
41.80;13;49;15.75;
41.30;6;67;12.86;
40.80;6;46;12.42;
40.30;;;;sem margem
39.80;34;61;12.38;
39.30;33;56;12.04;
38.80;26;46;12.15;
38.30;14;32;19.52;
37.80;;;;sem margem
37.30;28;62;9.17;
36.80;;;;sem margem
36.30;;;;sem margem
35.80;8;64;8.97;
35.30;17;65;8.89;
34.80;18;65;9.07;
34.30;4;57;9.14;
33.80;1;54;8.65;
33.30;;;;sem margem
32.80;28;60;5.90;
32.30;31;54;5.90;
31.80;21;52;5.90;
31.30;27;57;5.85;
30.80;29;62;5.85;
30.30;32;67;5.85;
29.80;26;68;4.96;
29.30;24;51;4.10;
28.80;23;58;4.10;
28.30;;;;sem margem
27.80;32;77;3.49;
27.30;3;62;3.58;
26.80;6;60;3.59;
26.30;;;;sem margem
25.80;15;63;3.49;
25.30;23;71;4.10;
24.80;5;52;3.66;
24.30;17;50;3.49;
23.80;;;;sem margem
23.30;17;56;3.49;
22.80;28;71;1.58;
22.30;14;48;0.82;
21.80;6;71;1.85;
21.30;7;54;1.62;
20.80;;;;sem margem
20.30;;;;sem margem
19.80;7;69;1.69;
19.30;25;63;1.38;
18.80;;;;sem margem
18.30;26;61;1.30;
17.80;30;57;1.38;
17.30;;;;sem margem
16.80;18;55;0.12;
16.30;5;50;0.13;
15.80;4;58;0.16;
15.30;;;;sem margem
14.80;26;57;0.50;
14.30;12;71;0.05;
13.80;;;;sem margem
13.30;;;;sem margem
12.80;47;67;0.04;
12.30;54;78;0.06;
11.80;46;64;0.04;
11.30;57;88;0.04;
10.80;43;79;0.05;
10.30;45;59;0.09;
9.80;47;67;0.05;
9.30;60;72;0.09;
8.80;55;96;0.07;
8.30;43;67;0.06;
7.80;54;73;0.06;
7.30;47;68;0.06;
6.80;42;59;0.06;
6.30;52;67;0.07;
5.80;48;69;0.06;
5.30;;;;sem margem
4.80;49;64;0.05;
4.30;64;86;0.06;
3.80;64;82;0.08;
3.30;59;65;0.07;
2.80;70;87;0.08;
2.30;58;69;0.07;
1.80;62;84;0.07;
1.30;63;78;0.07;
0.80;67;82;0.04;
0.30;57;73;0.07;
