dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
56.60;9;34;343.07;
56.10;;;;sem margem
55.60;;;;sem margem
55.10;;;;sem margem
54.60;;;;sem margem
54.10;;;;sem margem
53.60;50;207;342.85;
53.10;;;;sem margem
52.60;9;38;342.91;
52.10;;;;sem margem
51.60;7;33;342.94;
51.10;;;;sem margem
50.60;;;;sem margem
50.10;;;;sem margem
49.60;39;119;342.46;
49.10;;;;sem margem
48.60;;;;sem margem
48.10;26;52;340.77;
47.60;6;36;341.09;
47.10;51;83;340.80;
46.60;;;;sem margem
46.10;47;88;340.86;
45.60;;;;sem margem
45.10;;;;sem margem
44.60;;;;sem margem
44.10;;;;sem margem
43.60;;;;sem margem
43.10;46;130;340.99;
42.60;;;;sem margem
42.10;;;;sem margem
41.60;;;;sem margem
41.10;48;124;340.98;
40.60;;;;sem margem
40.10;74;99;339.41;
39.60;9;26;340.82;
39.10;50;81;339.41;
38.60;;;339.47;acima do teto
38.10;46;96;339.41;
37.60;;;;sem margem
37.10;55;90;339.36;
36.60;45;246;339.40;
36.10;78;205;339.36;
35.60;78;101;339.40;
35.10;63;85;339.43;
34.60;49;154;339.37;
34.10;;;;sem margem
33.60;;;;sem margem
33.10;68;97;339.42;
32.60;74;89;339.41;
32.10;54;76;339.40;
31.60;68;86;339.19;
31.10;;;339.25;acima do teto
30.60;;;;sem margem
30.10;;;;sem margem
29.60;61;112;339.22;
29.10;;;;sem margem
28.60;;;;sem margem
28.10;;;;sem margem
27.60;;;;sem margem
27.10;;;;sem margem
26.60;;;;sem margem
26.10;97;179;338.50;
25.60;;;;sem margem
25.10;;;;sem margem
24.60;25;77;337.96;
24.10;;;;sem margem
23.60;9;24;338.20;
23.10;;;;sem margem
22.60;;;;sem margem
22.10;;;;sem margem
21.60;;;336.86;acima do teto
21.10;;;;sem margem
20.60;;;;sem margem
20.10;;;;sem margem
19.60;;;;sem margem
19.10;2;12;337.23;
18.60;;;;sem margem
18.10;;;;sem margem
17.60;;;;sem margem
17.10;2;22;336.89;
16.60;4;26;336.93;
16.10;3;26;336.87;
15.60;;;;sem margem
15.10;;;;sem margem
14.60;;;;sem margem
14.10;81;105;336.36;
13.60;;;;sem margem
13.10;;;336.38;acima do teto
12.60;77;164;336.35;
12.10;;;;sem margem
11.60;79;101;336.37;
11.10;87;111;335.81;
10.60;;;;sem margem
10.10;60;88;334.19;
9.60;;;;sem margem
9.10;;;;sem margem
8.60;75;95;334.56;
8.10;77;201;334.71;
7.60;77;102;334.75;
7.10;82;113;334.71;
6.60;;;;sem margem
6.10;98;134;334.71;
5.60;;;;sem margem
5.10;;;;sem margem
4.60;;;334.77;acima do teto
4.10;91;148;334.71;
3.60;85;110;334.72;
3.10;;;;sem margem
2.60;;;;sem margem
2.10;82;105;333.47;
1.60;;;;sem margem
1.10;76;96;333.83;
0.60;;;;sem margem
