dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
77.72;;;;sem margem
77.22;42;103;443.87;
76.72;6;61;441.73;
76.22;12;50;440.56;
75.72;;;;sem margem
75.22;22;61;437.35;
74.72;49;121;437.46;
74.22;;;;sem margem
73.72;22;133;431.93;
73.22;28;85;430.02;
72.72;30;113;429.13;
72.22;13;126;427.80;
71.72;60;318;424.84;
71.22;;;;sem margem
70.72;16;57;419.95;
70.22;;;;sem margem
69.72;36;90;413.86;
69.22;36;77;413.87;
68.72;38;64;412.56;
68.22;48;91;411.39;
67.72;;;;sem margem
67.22;30;57;407.32;
66.72;;;;sem margem
66.22;38;88;404.51;
65.72;25;78;403.18;
65.22;30;106;402.51;
64.72;;;;sem margem
64.22;37;261;401.51;
63.72;29;69;400.21;
63.22;33;218;400.07;
62.72;;;;sem margem
62.22;16;125;397.38;
61.72;31;85;395.80;
61.22;;;;sem margem
60.72;55;89;393.03;
60.22;24;259;390.82;
59.72;36;81;390.41;
59.22;15;49;390.41;
58.72;35;84;390.41;
58.22;30;184;389.58;
57.72;27;51;388.64;
57.22;;;;sem margem
56.72;30;67;387.71;
56.22;;;;sem margem
55.72;28;77;385.52;
55.22;;;;sem margem
54.72;;;;sem margem
54.22;34;74;384.61;
53.72;;;;sem margem
53.22;33;161;383.13;
52.72;;;;sem margem
52.22;;;;sem margem
51.72;50;201;382.18;
51.22;44;181;381.75;
50.72;;;;sem margem
50.22;18;76;380.96;
49.72;27;60;380.60;
49.22;;;;sem margem
48.72;;;;sem margem
48.22;;;;sem margem
47.72;;;;sem margem
47.22;7;154;384.10;
46.72;;;;sem margem
46.22;;;;sem margem
45.72;8;42;388.33;
45.22;;;;sem margem
44.72;5;70;376.85;
44.22;;;;sem margem
43.72;18;82;376.24;
43.22;;;;sem margem
42.72;;;;sem margem
42.22;8;45;377.38;
41.72;;;;sem margem
41.22;;;;sem margem
40.72;;;;sem margem
40.22;;;;sem margem
39.72;;;;sem margem
39.22;73;171;366.02;
38.72;20;51;367.16;
38.22;14;71;365.20;
37.72;31;61;364.62;
37.22;29;74;364.01;
36.72;;;;sem margem
36.22;34;85;364.01;
35.72;27;128;363.42;
35.22;31;98;362.91;
34.72;50;110;362.90;
34.22;48;77;362.90;
33.72;32;91;362.91;
33.22;70;95;362.90;
32.72;;;;sem margem
32.22;87;113;362.90;
31.72;8;26;365.92;
31.22;57;89;362.90;
30.72;56;88;362.91;
30.22;;;;sem margem
29.72;;;;sem margem
29.22;55;104;362.03;
28.72;87;113;361.94;
28.22;;;;sem margem
27.72;36;83;358.76;
27.22;40;97;358.77;
26.72;36;78;358.76;
26.22;41;73;358.77;
25.72;67;110;358.78;
25.22;35;65;358.24;
24.72;35;95;352.21;
24.22;76;132;349.35;
23.72;49;107;349.35;
23.22;;;348.38;acima do teto
22.72;43;88;346.44;
22.22;33;77;346.47;
21.72;37;105;345.91;
21.22;43;90;345.91;
20.72;40;88;345.76;
20.22;15;108;345.94;
19.72;18;60;345.89;
19.22;38;149;345.27;
18.72;;;;sem margem
18.22;45;93;343.02;
17.72;;;;sem margem
17.22;;;;sem margem
16.72;31;137;342.14;
16.22;32;95;341.52;
15.72;42;59;341.73;
15.22;38;55;341.66;
14.72;15;164;341.71;
14.22;57;179;341.57;
13.72;;;;sem margem
13.22;7;46;341.76;
12.72;;;;sem margem
12.22;64;108;341.56;
11.72;69;165;340.47;
11.22;18;43;336.51;
10.72;16;59;337.51;
10.22;77;317;336.53;
9.72;;;;sem margem
9.22;41;103;335.82;
8.72;;;;sem margem
8.22;;;;sem margem
7.72;;;;sem margem
7.22;;;;sem margem
6.72;;;;sem margem
6.22;;;;sem margem
5.72;;;;sem margem
5.22;70;91;335.74;
4.72;;;;sem margem
4.22;60;163;334.84;
3.72;;;334.79;acima do teto
3.22;;;;sem margem
2.72;62;107;334.25;
2.22;62;95;334.25;
1.72;64;96;334.19;
1.22;57;76;334.22;
0.72;58;79;334.23;
0.22;;;;sem margem
