dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
43.64;;;;sem margem
43.14;;;;sem margem
42.64;;;;sem margem
42.14;;;;sem margem
41.64;;;;sem margem
41.14;;;;sem margem
40.64;;;;sem margem
40.14;;;;sem margem
39.64;;;;sem margem
39.14;;;;sem margem
38.64;;;;sem margem
38.14;;;;sem margem
37.64;12;58;482.92;
37.14;;;;sem margem
36.64;8;31;444.48;
36.14;;;;sem margem
35.64;25;54;440.91;
35.14;;;;sem margem
34.64;8;29;434.65;
34.14;;;;sem margem
33.64;25;47;427.00;
33.14;;;;sem margem
32.64;;;;sem margem
32.14;6;22;394.75;
31.64;8;31;353.31;
31.14;15;243;335.33;
30.64;22;80;322.98;
30.14;17;50;298.04;
29.64;22;51;289.04;
29.14;30;80;284.21;
28.64;;;;sem margem
28.14;9;27;279.97;
27.64;4;106;244.01;
27.14;15;314;220.43;
26.64;13;57;206.99;
26.14;;;;sem margem
25.64;24;63;165.79;
25.14;;;;sem margem
24.64;52;154;143.42;
24.14;;;;sem margem
23.64;31;59;130.97;
23.14;25;58;130.41;
22.64;34;71;129.95;
22.14;36;71;129.73;
21.64;63;125;129.65;
21.14;48;77;129.55;
20.64;35;97;128.16;
20.14;;;;sem margem
19.64;30;337;118.29;
19.14;9;128;97.26;
18.64;40;73;82.77;
18.14;33;87;72.59;
17.64;43;94;66.45;
17.14;;;;sem margem
16.64;;;;sem margem
16.14;;;;sem margem
15.64;9;53;64.92;
15.14;;;;sem margem
14.64;;;;sem margem
14.14;;;;sem margem
13.64;33;70;59.31;
13.14;;;;sem margem
12.64;7;47;63.46;
12.14;46;107;58.79;
11.64;37;79;58.56;
11.14;5;44;59.53;
10.64;44;89;56.04;
10.14;27;96;55.96;
9.64;;;;sem margem
9.14;;;;sem margem
8.64;10;47;53.76;
8.14;51;108;52.40;
7.64;37;84;52.57;
7.14;42;97;52.44;
6.64;;;;sem margem
6.14;30;88;52.26;
5.64;;;;sem margem
5.14;;;;sem margem
4.64;53;105;52.24;
4.14;;;;sem margem
3.64;39;126;51.47;
3.14;;;;sem margem
2.64;59;117;51.84;
2.14;47;104;51.65;
1.64;10;28;56.93;
1.14;68;126;51.31;
0.64;;;;sem margem
