dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
19.03;;;;sem margem
18.53;;;;sem margem
18.03;39;339;485.39;
17.53;27;354;485.31;
17.03;25;157;485.35;
16.53;21;299;485.45;
16.03;;;;sem margem
15.53;27;356;485.31;
15.03;3;240;485.60;
14.53;;;;sem margem
14.03;;;;sem margem
13.53;23;166;485.20;
13.03;;;;sem margem
12.53;28;211;484.13;
12.03;;;;sem margem
11.53;21;359;480.41;
11.03;;;;sem margem
10.53;;;;sem margem
10.03;;;;sem margem
9.53;;;;sem margem
9.03;;;;sem margem
8.53;28;45;473.72;
8.03;;;;sem margem
7.53;;;;sem margem
7.03;25;163;473.01;
6.53;25;228;471.87;
6.03;;;;sem margem
5.53;25;292;470.36;
5.03;;;;sem margem
4.53;;;;sem margem
4.03;22;116;468.09;
3.53;;;;sem margem
3.03;19;324;466.57;
2.53;25;112;466.57;
2.03;16;253;466.09;
1.53;20;246;464.56;
1.03;;;;sem margem
0.53;22;240;463.79;
