dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
24.91;;;;sem margem
24.41;;;;sem margem
23.91;;;;sem margem
23.41;;;;sem margem
22.91;;;;sem margem
22.41;;;;sem margem
21.91;;;;sem margem
21.41;;;;sem margem
20.91;;;;sem margem
20.41;;;;sem margem
19.91;;;;sem margem
19.41;;;;sem margem
18.91;;;;sem margem
18.41;;;;sem margem
17.91;;;;sem margem
17.41;27;44;346.74;
16.91;;;;sem margem
16.41;;;;sem margem
15.91;14;31;343.95;
15.41;;;;sem margem
14.91;;;;sem margem
14.41;;;;sem margem
13.91;17;48;340.89;
13.41;13;68;341.00;
12.91;;;;sem margem
12.41;17;47;338.29;
11.91;;;;sem margem
11.41;;;;sem margem
10.91;11;133;336.01;
10.41;4;41;337.37;
9.91;;;;sem margem
9.41;;;;sem margem
8.91;8;48;336.54;
8.41;;;;sem margem
7.91;13;52;336.85;
7.41;28;51;337.03;
6.91;;;;sem margem
6.41;;;;sem margem
5.91;;;;sem margem
5.41;;;;sem margem
4.91;;;;sem margem
4.41;;;;sem margem
3.91;;;;sem margem
3.41;;;;sem margem
2.91;26;44;334.42;
2.41;;;;sem margem
1.91;;;;sem margem
1.41;;;;sem margem
0.91;;;;sem margem
0.41;;;;sem margem
