dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
15.23;22;56;342.30;
14.98;18;52;341.97;
14.73;12;40;341.73;
14.48;12;44;341.73;
14.23;8;47;341.86;
13.98;12;61;341.79;
13.73;21;65;341.70;
13.48;21;54;341.64;
13.23;19;75;341.64;
12.98;8;36;340.32;
12.73;16;100;341.41;
12.48;;;;sem margem
12.23;45;71;344.38;
11.98;84;102;344.43;
11.73;48;65;344.42;
11.48;53;71;344.35;
11.23;37;49;344.42;
10.98;38;58;344.39;
10.73;60;80;344.44;
10.48;;;;sem margem
10.23;;;;sem margem
9.98;8;51;344.36;
9.73;;;;sem margem
9.48;8;32;344.79;
9.23;;;;sem margem
8.98;;;;sem margem
8.73;79;115;344.32;
8.48;;;;sem margem
8.23;;;;sem margem
7.98;;;;sem margem
7.73;;;;sem margem
7.48;39;66;344.34;
7.23;55;70;344.31;
6.98;;;;sem margem
6.73;;;;sem margem
6.48;62;85;343.78;
6.23;;;;sem margem
5.98;49;96;343.19;
5.73;;;;sem margem
5.48;7;27;343.39;
5.23;;;;sem margem
4.98;;;;sem margem
4.73;;;;sem margem
4.48;46;77;342.89;
4.23;54;77;342.90;
3.98;71;90;342.89;
3.73;53;79;342.92;
3.48;75;167;342.93;
3.23;;;;sem margem
2.98;;;;sem margem
2.73;;;;sem margem
2.48;;;;sem margem
2.23;;;;sem margem
1.98;;;;sem margem
1.73;;;;sem margem
1.48;;;;sem margem
1.23;;;;sem margem
0.98;;;;sem margem
0.73;;;;sem margem
0.48;90;123;342.89;
0.23;;;;sem margem
