dist_foz_km;largura_lamina_m;largura_calha_plena_m;cota_espelho;obs
26.05;18;318;321.97;
25.55;21;289;283.97;
25.05;6;301;253.14;
24.55;;;;sem margem
24.05;10;45;220.85;
23.55;8;58;208.79;
23.05;3;33;191.76;
22.55;16;103;168.28;
22.05;21;102;143.84;
21.55;24;64;128.29;
21.05;24;139;117.21;
20.55;20;50;107.16;
20.05;;;;sem margem
19.55;;;;sem margem
19.05;14;278;87.54;
18.55;23;450;82.63;
18.05;;;;sem margem
17.55;70;166;72.08;
17.05;29;52;69.99;
16.55;;;;sem margem
16.05;;;;sem margem
15.55;26;77;70.18;
15.05;9;30;65.89;
14.55;30;78;66.97;
14.05;;;;sem margem
13.55;;;;sem margem
13.05;;;;sem margem
12.55;24;56;65.35;
12.05;;;;sem margem
11.55;19;57;64.34;
11.05;;;;sem margem
10.55;23;59;63.37;
10.05;;;;sem margem
9.55;46;70;62.58;
9.05;11;44;62.35;
8.55;15;63;62.39;
8.05;32;65;62.06;
7.55;19;64;61.50;
7.05;2;67;62.81;
6.55;8;48;61.25;
6.05;;;;sem margem
5.55;15;60;59.53;
5.05;11;47;59.88;
4.55;;;;sem margem
4.05;;;;sem margem
3.55;;;;sem margem
3.05;21;47;57.83;
2.55;23;61;57.47;
2.05;;;;sem margem
1.55;21;62;56.41;
1.05;;;;sem margem
0.55;29;103;53.99;
