x,y,altura_m,area_m2,classe,nome
699749.2,7023332.1,148.17,2023232,?,
694421.2,7023604.1,126.57,3776,?,
694581.2,7023572.1,76.56,832,?,
694237.2,7023580.1,38.35,512,?,
694357.2,7023652.1,33.13,256,?,
694269.2,7023612.1,30.77,768,?,
719421.2,7026028.1,26.87,320,?,
719461.2,7026044.1,25.6,320,?,
733933.2,7020596.1,22.78,58368,?,
734581.2,7025340.1,22.09,640,?,
642701.2,6956836.1,22.0,99136,represa,
719389.2,7026004.1,19.66,448,?,
581821.2,7018084.1,18.17,832,?,
729357.2,7024684.1,18.12,520512,?,
718605.2,7026780.1,17.35,512,?,
732213.2,7022668.1,15.51,459200,?,
726733.2,7028668.1,14.8,949184,?,
694237.2,7023444.1,14.2,448,?,
714445.2,7022308.1,13.6,1282304,?,
725117.2,7028428.1,12.7,571328,?,
719677.2,7025820.1,12.68,509056,?,
703237.2,7020108.1,11.75,1472,?,
594701.2,7002796.1,11.45,838272,?,
696253.2,6994484.1,11.33,43584,?,
710733.2,7021172.1,11.22,8640,?,
689701.2,7025948.1,11.14,1024,?,
709013.2,7003852.1,10.83,1088,?,
659445.2,6937844.1,10.62,448,?,
727773.2,7025804.1,10.58,365568,?,
711597.2,7021532.1,10.46,28544,?,
719629.2,7025924.1,10.42,512,?,
594157.2,7002348.1,10.4,106560,?,
689197.2,7026020.1,10.31,147008,?,
585749.2,7009572.1,10.26,12032,?,
719621.2,7025956.1,10.22,256,?,
659669.2,7009284.1,10.02,576,?,
719589.2,7026012.1,9.94,448,?,
676629.2,7026164.1,9.9,2624,?,
684469.2,7023532.1,9.81,576,?,
710045.2,7006332.1,9.79,2816,?,
616205.2,6989204.1,9.74,1280,?,
729045.2,7018732.1,9.55,6080,?,
632645.2,7024868.1,9.52,460224,?,
674421.2,6986356.1,9.4,1088,?,
700165.2,6996204.1,9.12,6592,?,
703997.2,6997588.1,9.08,2432,?,
677237.2,6988436.1,9.01,896,?,
637429.2,7013364.1,8.97,2560,?,
715205.2,7011172.1,8.93,151872,?,
707253.2,7002340.1,8.84,45376,?,
635741.2,7009140.1,8.74,29952,?,
682853.2,6989764.1,8.67,448,?,
710597.2,7006940.1,8.66,1472,?,
703541.2,6997404.1,8.63,4736,?,
694429.2,6989844.1,8.59,4352,?,
689805.2,7025852.1,8.56,1216,?,
641429.2,7009252.1,8.54,1152,?,
687437.2,6991028.1,8.46,3392,?,
660381.2,7013724.1,8.37,698816,?,
666941.2,7017180.1,8.37,480640,?,
