folha,frac_invalida,frac_miolo,colar_px,dif_mediana,dif_p95,classe,doente
MDT_SG-22-Z-A-II-4-NE-A.tif,0.01391,0.00341,0,802.62,67.8,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-NE-B.tif,0.01548,0.00444,0,867.38,71.35,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-NE-C.tif,0.01399,0.00343,0,802.55,49.74,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-NE-D.tif,0.01551,0.00448,0,871.49,63.0,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-NE-E.tif,0.01406,0.00347,0,802.24,30.24,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-NE-F.tif,0.01578,0.00464,0,834.63,64.16,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-NO-A.tif,0.01207,0.00215,0,803.94,35.18,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-NO-B.tif,0.01314,0.00284,0,795.89,40.04,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-NO-C.tif,0.01215,0.0022,0,806.12,31.46,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-NO-D.tif,0.01306,0.00283,0,816.56,33.74,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-NO-E.tif,0.01223,0.00221,0,805.85,35.43,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-NO-F.tif,0.01308,0.00283,0,823.3,35.93,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SE-A.tif,0.01412,0.00353,0,831.76,54.79,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SE-B.tif,0.01568,0.00457,0,827.02,67.53,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SE-C.tif,0.01412,0.00352,0,878.22,70.68,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SE-D.tif,0.01586,0.00466,0,854.27,130.56,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SE-E.tif,0.04036,0.02906,0,710.13,796.27,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SE-F.tif,0.01571,0.00458,0,648.88,731.45,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SO-A.tif,0.01223,0.00221,0,804.47,130.01,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SO-B.tif,0.01307,0.00283,0,822.56,156.01,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SO-C.tif,0.01208,0.00215,0,780.92,169.38,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SO-D.tif,0.01315,0.00285,0,793.18,193.88,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SO-E.tif,0.0123,0.00225,0,736.34,719.81,fora_de_nivel,1
MDT_SG-22-Z-A-II-4-SO-F.tif,0.01341,0.00298,0,614.14,828.8,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NE-A.tif,0.01816,0.00681,0,864.29,69.63,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NE-B.tif,0.01897,0.00756,0,822.26,45.67,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NE-C.tif,0.01792,0.00666,0,887.09,57.45,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NE-D.tif,0.01905,0.00759,0,868.86,90.55,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NE-E.tif,0.01803,0.00675,0,903.12,45.04,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NE-F.tif,0.01905,0.00759,0,921.27,62.33,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NO-A.tif,0.01621,0.00514,0,893.71,45.91,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NO-B.tif,0.01706,0.00589,0,896.85,60.61,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NO-C.tif,0.01622,0.00515,0,905.05,60.32,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NO-D.tif,0.01695,0.00585,0,899.81,52.25,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NO-E.tif,0.01614,0.00512,0,885.88,68.82,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-NO-F.tif,0.0172,0.006,0,920.82,49.75,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SE-A.tif,0.0181,0.0068,0,897.49,44.38,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SE-B.tif,0.01914,0.00766,0,930.6,42.65,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SE-C.tif,0.018,0.00673,0,930.63,51.58,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SE-D.tif,0.01919,0.0077,0,935.71,53.21,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SE-E.tif,0.01817,0.00681,0,914.72,936.08,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SE-F.tif,0.01925,0.00775,0,891.83,935.36,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SO-A.tif,0.01603,0.00509,0,866.83,54.06,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SO-B.tif,0.0172,0.006,0,920.91,58.83,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SO-C.tif,0.01613,0.00517,0,858.67,59.93,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SO-D.tif,0.0172,0.006,0,911.86,49.98,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SO-E.tif,0.01628,0.00524,0,716.29,906.5,fora_de_nivel,1
MDT_SG-22-Z-A-III-3-SO-F.tif,0.01706,0.00593,0,785.24,887.61,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NE-A.tif,0.02203,0.01025,0,835.87,64.2,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NE-B.tif,0.02303,0.01113,0,820.64,48.18,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NE-C.tif,0.02202,0.01024,0,844.28,66.29,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NE-D.tif,0.02318,0.01127,0,870.82,69.58,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NE-E.tif,0.02193,0.01019,0,856.16,61.89,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NE-F.tif,0.02301,0.01115,0,898.44,81.91,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NO-A.tif,0.02025,0.0086,0,841.5,47.82,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NO-B.tif,0.02114,0.0094,0,873.33,70.59,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NO-C.tif,0.02009,0.00851,0,851.85,52.58,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NO-D.tif,0.02115,0.00941,0,851.52,48.74,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NO-E.tif,0.0201,0.00851,0,901.67,67.1,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-NO-F.tif,0.02115,0.00941,0,848.7,73.13,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-A.tif,0.02202,0.01023,0,844.2,89.26,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-B.tif,0.02301,0.01115,0,909.44,62.95,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-C.tif,0.02209,0.01029,0,865.53,83.04,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-D.tif,0.02302,0.01115,0,898.86,58.89,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-E.tif,0.02202,0.01027,0,873.76,940.96,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SE-F.tif,0.02311,0.01124,0,844.47,947.03,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-A.tif,0.0201,0.00851,0,905.85,50.84,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-B.tif,0.021,0.00934,0,901.93,86.23,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-C.tif,0.02026,0.00861,0,893.14,69.49,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-D.tif,0.02106,0.00938,0,925.38,41.4,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-E.tif,0.02041,0.0087,0,905.18,973.21,fora_de_nivel,1
MDT_SG-22-Z-A-III-4-SO-F.tif,0.02106,0.0094,0,918.67,932.62,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NE-A.tif,0.01428,0.00359,0,-34.07,146.28,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NE-B.tif,0.01563,0.00462,0,-12.09,236.0,furada,1
MDT_SG-22-Z-A-V-2-NE-C.tif,0.01428,0.00359,0,-57.23,155.2,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NE-D.tif,0.01563,0.00462,0,16.52,210.51,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NE-E.tif,0.01403,0.00349,0,-52.0,153.75,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NE-F.tif,0.01564,0.00462,0,-34.88,188.51,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NO-A.tif,0.01216,0.00219,0,116.25,173.68,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NO-B.tif,0.01341,0.00298,0,-6.15,151.53,furada,1
MDT_SG-22-Z-A-V-2-NO-C.tif,0.01245,0.00231,0,104.01,190.53,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NO-D.tif,0.01334,0.00297,0,17.85,202.4,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NO-E.tif,0.01245,0.00231,0,128.13,198.65,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-NO-F.tif,0.01334,0.00297,0,4.05,129.51,furada,1
MDT_SG-22-Z-A-V-2-SE-A.tif,0.01413,0.00357,0,-46.77,103.65,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SE-B.tif,0.01574,0.00465,0,-49.98,74.35,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SE-C.tif,0.01421,0.00362,0,-52.52,114.95,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SE-D.tif,0.01583,0.00473,0,28.42,131.11,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SE-E.tif,0.01428,0.00363,0,-52.1,130.87,fora_de_nivel,1
MDT_SG-22-Z-A-V-2-SE-F.tif,0.01584,0.00473,0,32.83,180.78,fora_de_nivel,1
