data;cota
1984-07-01;146
1984-07-02;146
1984-07-03;152
1984-07-04;162
1984-07-05;157
1984-07-06;151
1984-07-07;155
1984-07-08;151
1984-07-09;149
1984-07-10;148
1984-07-11;147
1984-07-12;147
1984-07-13;169
1984-07-14;190
1984-07-15;187
1984-07-16;184
1984-07-17;173
1984-07-18;167
1984-07-19;163
1984-07-20;158
1984-07-21;157
1984-07-22;154
1984-07-23;151
1984-07-24;149
1984-07-25;147
1984-07-26;146
1984-07-27;146
1984-07-28;144
1984-07-29;144
1984-07-30;142
1984-07-31;142
1984-08-01;141
1984-08-02;166
1984-08-03;172
1984-08-04;166
1984-08-05;188
1984-08-06;380
1984-08-07;374
1984-08-08;282
1984-08-09;248
1984-08-10;215
1984-08-11;198
1984-08-12;185
1984-08-13;173
1984-08-14;174
1984-08-15;170
1984-08-16;164
1984-08-17;160
1984-08-18;158
1984-08-19;158
1984-08-20;159
1984-08-21;158
1984-08-22;167
1984-08-23;174
1984-08-24;166
1984-08-25;192
1984-08-26;184
1984-08-27;179
1984-08-28;170
1984-08-29;164
1984-08-30;160
1984-08-31;158
1984-09-01;156
1984-09-02;152
1984-09-03;150
1984-09-04;148
1984-09-05;146
1984-09-06;145
1984-09-07;145
1984-09-08;147
1984-09-09;143
1984-09-10;142
1984-09-11;140
1984-09-12;138
1984-09-13;146
1984-09-14;144
1984-09-15;142
1984-09-16;140
1984-09-17;138
1984-09-18;136
1984-09-19;138
1984-09-20;136
1984-09-21;139
1984-09-22;141
1984-09-23;141
1984-09-24;142
1984-09-25;174
1984-09-26;224
1984-09-27;198
1984-09-28;178
1984-09-29;169
1984-09-30;162
1984-10-01;157
1984-10-02;153
1984-10-03;150
1984-10-04;148
1984-10-05;146
1984-10-06;187
1984-10-07;183
1984-10-08;173
1984-10-09;261
1984-10-10;225
1984-10-11;191
1984-10-12;177
1984-10-13;173
1984-10-14;169
1984-10-15;165
1984-10-16;157
1984-10-17;154
1984-10-18;158
1984-10-19;161
1984-10-20;154
1984-10-21;152
1984-10-22;154
1984-10-23;148
1984-10-24;156
1984-10-25;150
1984-10-26;144
1984-10-27;143
1984-10-28;142
1984-10-29;139
1984-10-30;137
1984-10-31;142
1984-11-01;140
1984-11-02;148
1984-11-03;162
1984-11-04;178
1984-11-05;202
1984-11-06;222
1984-11-07;246
1984-11-08;232
1984-11-09;218
1984-11-10;202
1984-11-11;204
1984-11-12;208
1984-11-13;191
1984-11-14;180
1984-11-15;178
1984-11-16;174
1984-11-17;167
1984-11-18;168
1984-11-19;167
1984-11-20;168
1984-11-21;171
1984-11-22;165
1984-11-23;161
1984-11-24;157
1984-11-25;162
1984-11-26;168
1984-11-27;172
1984-11-28;168
1984-11-29;164
1984-11-30;162
1984-12-01;165
1984-12-02;164
1984-12-03;156
1984-12-04;148
1984-12-05;146
1984-12-06;146
1984-12-07;213
1984-12-08;208
1984-12-09;198
1984-12-10;189
1984-12-11;176
1984-12-12;170
1984-12-13;166
1984-12-14;205
1984-12-15;175
1984-12-16;167
1984-12-17;163
1984-12-18;159
1984-12-19;155
1984-12-20;151
1984-12-21;147
1984-12-22;143
1984-12-23;139
1984-12-24;136
1984-12-25;134
1984-12-26;132
1984-12-27;147
1984-12-28;140
1984-12-29;138
1984-12-30;138
1984-12-31;138
1985-01-01;139
1985-01-02;139
1985-01-03;142
1985-01-04;143
1985-01-05;136
1985-01-06;134
1985-01-07;162
1985-01-08;156
1985-01-09;152
1985-01-10;156
1985-01-11;146
1985-01-12;138
1985-01-13;136
1985-01-14;134
1985-01-15;134
1985-01-16;206
1985-01-17;182
1985-01-18;164
1985-01-19;152
1985-01-20;147
1985-01-21;144
1985-01-22;140
1985-01-23;160
1985-01-24;143
1985-01-25;141
1985-01-26;138
1985-01-27;136
1985-01-28;135
1985-01-29;134
1985-01-30;132
1985-01-31;138
1985-02-01;164
1985-02-02;144
1985-02-03;156
1985-02-04;160
1985-02-05;172
1985-02-06;159
1985-02-07;150
1985-02-08;146
1985-02-09;144
1985-02-10;142
1985-02-11;189
1985-02-12;238
1985-02-13;329
1985-02-14;287
1985-02-15;256
1985-02-16;232
1985-02-17;230
1985-02-18;227
1985-02-19;206
1985-02-20;225
1985-02-21;244
1985-02-22;254
1985-02-23;222
1985-02-24;198
1985-02-25;186
1985-02-26;175
1985-02-27;196
1985-02-28;164
1985-03-01;172
1985-03-02;164
1985-03-03;160
1985-03-04;158
1985-03-05;160
1985-03-06;160
1985-03-07;156
1985-03-08;154
1985-03-09;152
1985-03-10;180
1985-03-11;164
1985-03-12;156
1985-03-13;151
1985-03-14;148
1985-03-15;144
1985-03-16;146
1985-03-17;144
1985-03-18;142
1985-03-19;140
1985-03-20;138
1985-03-21;137
1985-03-22;136
1985-03-23;136
1985-03-24;162
1985-03-25;225
1985-03-26;210
1985-03-27;180
1985-03-28;167
1985-03-29;158
1985-03-30;153
1985-03-31;150
1985-04-01;147
1985-04-02;144
1985-04-03;142
1985-04-04;140
1985-04-05;138
1985-04-06;136
1985-04-07;136
1985-04-08;134
1985-04-09;170
1985-04-10;188
1985-04-11;165
1985-04-12;166
1985-04-13;163
1985-04-14;158
1985-04-15;154
1985-04-16;185
1985-04-17;174
1985-04-18;161
1985-04-19;156
1985-04-20;153
1985-04-21;150
1985-04-22;148
1985-04-23;146
1985-04-24;144
1985-04-25;144
1985-04-26;191
1985-04-27;172
1985-04-28;160
1985-04-29;156
1985-04-30;154
1985-05-01;151
1985-05-02;147
1985-05-03;144
1985-05-04;142
1985-05-05;140
1985-05-06;140
1985-05-07;139
1985-05-08;144
1985-05-09;170
1985-05-10;167
1985-05-11;156
1985-05-12;152
1985-05-13;149
1985-05-14;145
1985-05-15;142
1985-05-16;140
1985-05-17;140
1985-05-18;138
1985-05-19;138
1985-05-20;140
1985-05-21;138
1985-05-22;136
1985-05-23;134
1985-05-24;136
1985-05-25;136
1985-05-26;134
1985-05-27;132
1985-05-28;132
1985-05-29;131
1985-05-30;130
1985-05-31;129
1985-06-01;131
1985-06-02;130
1985-06-03;132
1985-06-04;131
1985-06-05;128
1985-06-06;126
1985-06-07;125
1985-06-08;124
1985-06-09;124
1985-06-10;124
1985-06-11;124
1985-06-12;124
1985-06-13;124
1985-06-14;124
1985-06-15;125
1985-06-16;124
1985-06-17;127
1985-06-18;127
1985-06-19;126
1985-06-20;124
1985-06-21;120
1985-06-22;118
1985-06-23;124
1985-06-24;119
1985-06-25;122
1985-06-26;121
1985-06-27;118
1985-06-28;120
1985-06-29;118
1985-06-30;120
1985-07-01;121
1985-07-02;128
1985-07-03;129
1985-07-04;131
1985-07-05;128
