data;vazao
1984-07-01;8.031
1984-07-02;8.031
1984-07-03;10.3416
1984-07-04;14.9713
1984-07-05;12.5319
1984-07-06;9.9327
1984-07-07;11.6263
1984-07-08;9.9327
1984-07-09;9.1437
1984-07-10;8.7634
1984-07-11;8.3926
1984-07-12;8.3926
1984-07-13;18.8192
1984-07-14;33.5711
1984-07-15;31.1573
1984-07-16;28.8479
1984-07-17;21.2514
1984-07-18;17.6673
1984-07-19;15.4897
1984-07-20;12.9996
1984-07-21;12.5319
1984-07-22;11.1883
1984-07-23;9.9327
1984-07-24;9.1437
1984-07-25;8.3926
1984-07-26;8.031
1984-07-27;8.031
1984-07-28;7.3355
1984-07-29;7.3355
1984-07-30;6.6765
1984-07-31;6.6765
1984-08-01;6.3605
1984-08-02;17.1072
1984-08-03;20.6272
1984-08-04;17.1072
1984-08-05;31.9503
1984-08-06;250.592
1984-08-07;242.106
1984-08-08;125.202
1984-08-09;88.9865
1984-08-10;57.9156
1984-08-11;40.5282
1984-08-12;29.6062
1984-08-13;21.2514
1984-08-14;21.8865
1984-08-15;19.4111
1984-08-16;16.0185
1984-08-17;13.9651
1984-08-18;12.9996
1984-08-19;12.9996
1984-08-20;13.4773
1984-08-21;12.9996
1984-08-22;17.6673
1984-08-23;21.8865
1984-08-24;17.1072
1984-08-25;35.239
1984-08-26;28.8479
1984-08-27;25.2272
1984-08-28;19.4111
1984-08-29;16.0185
1984-08-30;13.9651
1984-08-31;12.9996
1984-09-01;12.0741
1984-09-02;10.3416
1984-09-03;9.5335
1984-09-04;8.7634
1984-09-05;8.031
1984-09-06;7.6787
1984-09-07;7.6787
1984-09-08;8.3926
1984-09-09;7.0015
1984-09-10;6.6765
1984-09-11;6.0534
1984-09-12;5.4657
1984-09-13;8.031
1984-09-14;7.3355
1984-09-15;6.6765
1984-09-16;6.0534
1984-09-17;5.4657
1984-09-18;4.9126
1984-09-19;5.4657
1984-09-20;4.9126
1984-09-21;5.7552
1984-09-22;6.3605
1984-09-23;6.3605
1984-09-24;6.6765
1984-09-25;21.8865
1984-09-26;66.054
1984-09-27;40.5282
1984-09-28;24.5369
1984-09-29;18.8192
1984-09-30;14.9713
1984-10-01;12.5319
1984-10-02;10.7601
1984-10-03;9.5335
1984-10-04;8.7634
1984-10-05;8.031
1984-10-06;31.1573
1984-10-07;28.1011
1984-10-08;21.2514
