id,ano,data_pico,cota_blumenau_m,chuva_media_bacia_mm,chuva_max_sub_bacia_mm,fonte_dados,arquivo_csv,chuva_oeste_mm,chuva_mirim_doce_mm,chuva_sul_mm,chuva_perimbo_mm,chuva_trombudo_mm,chuva_norte_mm,chuva_benedito_mm,chuva_mirim_mm,chuva_luis_alves_mm,chuva_acu_mm
BLU_20240519,2024,2024-05-19,8.67,94.7,118.0,Reanálise ERA5-Land (Open-Meteo),evento_2024_05_19_cota_8_67m.csv,95.3,95.3,118.0,117.6,101.1,117.9,70.8,90.4,58.6,82.4
BLU_20231117,2023,2023-11-17,9.14,62.7,99.9,Reanálise ERA5-Land (Open-Meteo),evento_2023_11_17_cota_9_14m.csv,62.2,62.2,83.7,99.9,71.2,70.8,34.8,52.4,55.7,33.9
BLU_20231103,2023,2023-11-03,9.5,59.7,87.0,Reanálise ERA5-Land (Open-Meteo),evento_2023_11_03_cota_9_50m.csv,39.2,39.2,69.1,63.2,49.6,40.4,87.0,70.2,57.7,81.5
BLU_20231029,2023,2023-10-29,8.38,118.2,165.7,Reanálise ERA5-Land (Open-Meteo),evento_2023_10_29_cota_8_38m.csv,157.3,157.3,139.2,165.7,135.1,98.8,90.9,77.5,73.7,86.0
BLU_20231012,2023,2023-10-12,10.76,181.7,280.05,Estações de Superfície (EPAGRI/CEOPS/ANA) + ERA5-Land,evento_2023_10_12_cota_10_76m.csv,280.05,46.0,269.93,56.1,60.4,240.03,219.91,200.05,179.95,264.94
BLU_20231009,2023,2023-10-09,10.19,141.5,164.8,Reanálise ERA5-Land (Open-Meteo),evento_2023_10_09_cota_10_19m.csv,156.3,156.3,147.9,161.1,164.8,140.9,130.3,124.6,92.9,140.3
BLU_20231005,2023,2023-10-05,8.78,138.6,161.1,Reanálise ERA5-Land (Open-Meteo),evento_2023_10_05_cota_8_78m.csv,154.3,154.3,152.1,161.1,150.7,131.1,115.2,123.7,103.7,140.1
BLU_20220505,2022,2022-05-05,9.4,137.2,159.1,Reanálise ERA5-Land (Open-Meteo),evento_2022_05_05_cota_9_40m.csv,158.8,158.8,107.6,102.0,124.1,128.1,150.9,151.1,131.5,159.1
BLU_20170606,2017,2017-06-06,8.52,91.3,113.3,Reanálise ERA5-Land (Open-Meteo),evento_2017_06_06_cota_8_52m.csv,80.5,80.5,111.5,113.3,104.3,99.2,82.1,72.6,88.6,80.8
BLU_20170601,2017,2017-06-01,8.71,128.2,144.4,Reanálise ERA5-Land (Open-Meteo),evento_2017_06_01_cota_8_71m.csv,142.5,142.5,137.9,135.8,144.4,129.6,122.3,118.6,104.8,103.2
BLU_20151023,2015,2015-10-23,10.03,62.7,91.3,Reanálise ERA5-Land (Open-Meteo),evento_2015_10_23_cota_10_03m.csv,80.7,91.3,52.7,72.6,62.4,45.7,79.9,46.6,48.5,46.6
BLU_20140629,2014,2014-06-29,8.13,88.8,161.5,Reanálise ERA5-Land (Open-Meteo),evento_2014_06_29_cota_8_13m.csv,87.2,128.3,142.2,161.5,110.6,67.3,42.0,56.5,36.0,56.5
BLU_20140609,2014,2014-06-09,10.18,127.1,157.6,Reanálise ERA5-Land (Open-Meteo),evento_2014_06_09_cota_10_18m.csv,141.4,157.6,119.0,145.0,132.2,113.5,130.2,111.7,108.7,111.7
BLU_20130923,2013,2013-09-23,10.51,129.1,157.6,Reanálise ERA5-Land (Open-Meteo),evento_2013_09_23_cota_10_51m.csv,123.4,152.1,137.5,157.6,133.5,104.2,141.8,121.7,97.6,121.7
BLU_20110909,2011,2011-09-09,12.6,224.1,289.91,Estações de Superfície (EPAGRI/CEOPS/ANA) + ERA5-Land,evento_2011_09_09_cota_12_60m.csv,289.91,165.1,275.0,171.2,165.2,259.98,229.99,209.95,189.99,285.02
BLU_20110831,2011,2011-08-31,8.5,62.9,83.8,Reanálise ERA5-Land (Open-Meteo),evento_2011_08_31_cota_8_50m.csv,73.4,83.8,51.4,68.4,54.5,47.3,69.9,62.6,54.8,62.6
BLU_20100426,2010,2010-04-26,8.46,127.8,160.0,Reanálise ERA5-Land (Open-Meteo),evento_2010_04_26_cota_8_46m.csv,142.8,160.0,127.3,142.2,129.7,108.6,125.2,119.6,102.7,119.6
BLU_20090929,2009,2009-09-29,8.06,53.6,71.9,Reanálise ERA5-Land (Open-Meteo),evento_2009_09_29_cota_8_06m.csv,34.2,52.8,55.5,59.0,46.5,31.8,61.3,71.9,51.1,71.9
BLU_20081124,2008,2008-11-24,11.52,222.9,578.29,Estações de Superfície (EPAGRI/CEOPS/ANA) + ERA5-Land,evento_2008_11_24_cota_11_52m.csv,70.24,74.86,80.06,75.12,55.1,84.92,320.03,340.08,549.82,578.29
