hour,discharge_observed_m3s,station_id,station_name,data_type
0,18.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
1,18.2,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
2,18.5,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
3,19.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
4,21.5,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
5,26.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
6,35.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
7,52.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
8,85.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
9,135.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
10,210.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
11,310.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
12,430.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
13,560.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
14,680.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
15,770.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
16,830.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
17,860.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
18,855.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
19,820.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
20,760.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
21,685.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
22,600.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
23,515.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
24,435.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
25,365.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
26,305.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
27,255.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
28,215.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
29,180.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
30,150.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
31,125.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
32,105.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
33,88.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
34,74.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
35,62.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
36,52.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
37,44.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
38,38.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
39,33.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
40,29.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
41,26.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
42,23.5,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
43,21.5,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
44,20.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
45,19.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
46,18.5,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
47,18.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
48,18.0,ST03,Brusque Centro,BENCHMARK_OBSERVED_EVENT
