timestamp,oeste,mirim_doce,sul,perimbo,trombudo,norte,benedito,mirim,luis_alves,acu
2008-11-20T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.14,1.7,0.23
2008-11-20T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.14,2.38,0.23
2008-11-20T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.14,1.36,0.23
2008-11-20T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.36,0.0
2008-11-20T04:00,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0
2008-11-20T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-20T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.23
2008-11-20T07:00,0.1,0.0,0.0,0.0,0.0,0.0,0.98,0.27,0.68,0.46
2008-11-20T08:00,0.2,0.19,0.3,0.2,0.1,0.24,0.25,0.0,0.34,0.0
2008-11-20T09:00,0.3,0.29,0.1,0.2,0.21,0.47,0.25,0.14,0.68,0.23
2008-11-20T10:00,0.4,0.29,0.2,0.29,0.31,0.71,0.74,0.27,1.02,0.46
2008-11-20T11:00,0.2,0.19,0.0,0.1,0.1,0.47,1.72,0.68,1.36,1.15
2008-11-20T12:00,0.0,0.0,0.1,0.0,0.0,0.0,2.95,1.35,1.36,2.3
2008-11-20T13:00,0.4,0.38,0.1,0.2,0.1,0.24,6.15,3.11,3.73,5.29
2008-11-20T14:00,0.2,0.1,0.1,0.1,0.1,0.47,3.2,1.35,1.7,2.3
2008-11-20T15:00,0.6,0.29,0.2,0.2,0.41,1.18,3.2,2.03,1.36,3.45
2008-11-20T16:00,0.6,0.48,0.2,0.49,0.31,0.0,2.71,1.08,1.7,1.84
2008-11-20T17:00,0.3,1.05,0.2,1.76,1.34,0.71,2.46,0.54,3.05,0.92
2008-11-20T18:00,1.5,1.9,0.3,1.27,1.03,0.24,1.23,0.81,3.73,1.38
2008-11-20T19:00,0.4,0.48,0.0,0.29,0.31,0.47,1.23,1.89,3.39,3.22
2008-11-20T20:00,0.3,0.29,0.0,0.1,0.21,0.47,0.98,1.89,2.38,3.22
2008-11-20T21:00,0.3,0.19,0.0,0.0,0.1,0.24,1.72,1.62,3.73,2.76
2008-11-20T22:00,0.4,0.38,0.0,0.0,0.21,0.47,1.97,1.08,4.07,1.84
2008-11-20T23:00,0.5,0.29,0.0,0.0,0.0,0.24,1.97,1.08,3.73,1.84
2008-11-21T00:00,0.5,0.29,0.0,0.0,0.0,0.71,2.46,1.76,7.46,2.99
2008-11-21T01:00,0.5,0.38,0.5,0.0,0.21,0.71,3.45,1.62,7.13,2.76
2008-11-21T02:00,0.6,0.48,0.2,0.0,0.1,0.24,1.97,1.08,4.41,1.84
2008-11-21T03:00,0.5,0.38,0.8,0.1,0.0,0.0,2.46,1.22,4.41,2.07
2008-11-21T04:00,0.8,0.48,0.2,0.0,0.0,0.95,6.15,1.76,7.46,2.99
2008-11-21T05:00,0.5,0.38,0.1,0.0,0.0,0.47,3.2,1.08,7.8,1.84
2008-11-21T06:00,0.6,0.48,0.0,0.1,0.0,0.47,3.2,0.95,5.09,1.61
2008-11-21T07:00,0.6,0.48,0.1,0.1,0.1,0.47,4.92,1.49,6.45,2.53
2008-11-21T08:00,1.0,1.14,0.2,0.49,0.41,0.24,3.94,2.43,5.77,4.14
2008-11-21T09:00,0.6,0.86,0.3,0.98,0.93,0.95,2.71,2.16,5.43,3.68
2008-11-21T10:00,0.5,0.67,0.9,1.37,0.72,1.18,2.71,3.11,6.79,5.29
2008-11-21T11:00,0.3,0.48,0.6,0.59,0.83,1.66,2.71,2.57,7.8,4.37
2008-11-21T12:00,1.91,2.95,1.8,3.22,2.07,0.71,3.69,3.65,8.82,6.21
2008-11-21T13:00,0.5,1.05,1.7,2.15,1.24,0.71,8.37,5.0,14.93,8.51
2008-11-21T14:00,3.81,2.76,4.3,3.12,2.69,7.34,3.69,2.43,4.41,4.14
2008-11-21T15:00,3.01,3.42,1.7,2.93,2.89,4.26,6.15,4.6,5.43,7.82
2008-11-21T16:00,2.11,1.62,0.4,0.59,0.52,1.66,6.89,4.19,10.86,7.13
2008-11-21T17:00,1.4,1.24,0.4,0.39,0.62,1.42,3.94,1.35,3.73,2.3
2008-11-21T18:00,1.6,1.43,0.3,0.39,0.52,0.95,3.94,1.08,3.73,1.84
2008-11-21T19:00,1.1,1.14,0.2,0.39,0.52,0.95,2.95,0.81,4.41,1.38
