reach_id,river_name,reach_name,upstream_node,downstream_node,length_km,slope_m_km,K_hours,X_param,roughness_manning,initial_flow_m3s,status
1,Rio Itajai do Oeste,Alto Oeste (Nascente a Taio),Nascente Oeste,Taio (Barragem Oeste),45.0,3.2,8.0,0.20,0.045,15.0,REAL_GEOM_BARRAGEM_7_COMPORTAS
2,Rio Itajai do Oeste,Baixo Oeste (Taio a Rio do Sul),Taio,Rio do Sul Confluencia,44.6,2.0,8.0,0.20,0.040,18.0,REAL_GEOM
3,Rio Itajai do Sul,Alto Sul (Nascente a Ituporanga),Nascente Sul,Ituporanga (Barragem Sul),38.0,2.2,6.5,0.20,0.045,12.0,REAL_GEOM_BARRAGEM_5_COMPORTAS
4,Rio Itajai do Sul,Baixo Sul (Ituporanga a Rio do Sul),Ituporanga,Rio do Sul Confluencia,38.1,1.5,6.0,0.20,0.040,15.0,REAL_GEOM
5,Rio Itajai do Norte,Alto Norte (Nascente a Jose Boiteux),Nascente Norte,Jose Boiteux (Barragem Norte),60.0,3.5,9.0,0.20,0.045,20.0,REAL_GEOM_BARRAGEM_2_COMPORTAS
6,Rio Itajai do Norte,Baixo Norte (Jose Boiteux a Ibirama/Acu),Jose Boiteux,Confluencia Ibirama,53.1,2.5,7.5,0.22,0.040,25.0,REAL_GEOM
7,Rio Benedito,Rio Benedito (Timbo a Indaial),Nascente Benedito,Confluencia Indaial,55.7,10.4,4.0,0.20,0.038,10.0,REAL_GEOM
8,Rio Itajai-Acu,Alto Vale (Rio do Sul a Apiuna),Rio do Sul,Apiuna,58.0,1.8,8.0,0.25,0.035,40.0,REAL_GEOM
9,Rio Itajai-Acu,Medio Vale (Apiuna a Blumenau),Apiuna,Blumenau Centro,45.0,1.2,6.0,0.25,0.035,60.0,REAL_GEOM
10,Rio Itajai-Acu,Baixo Vale (Blumenau a Itajai Foz),Blumenau Centro,Itajai Foz,50.1,0.5,8.0,0.30,0.030,80.0,REAL_GEOM
11,Rio Itajai-Mirim,Alto Mirim (Vidal Ramos a Botuvera),Vidal Ramos,Botuvera,32.0,2.8,7.5,0.20,0.045,15.0,REAL_GEOM
12,Rio Itajai-Mirim,Medio Mirim (Botuvera a Brusque),Botuvera,Brusque Centro,46.0,1.5,10.0,0.25,0.038,20.0,REAL_GEOM
13,Rio Itajai-Mirim,Canal Retificado Oficial (Brusque a Foz),Brusque Centro,Itajai Foz (Canal),30.5,0.6,6.5,0.28,0.028,25.0,REAL_OFFICIAL_CANAL
