nivel;camada;onde;mensagem
Fatal;Rivers;Itajai_Acu - R2;Polyline has duplicate points - consider filtering.
Fatal;Cross Sections;Itajai_Norte, R1 (118822.9);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (118747.9);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (118597.9);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (118447.9);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (118297.9);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (118103.9);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (117835.6);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (117486.0);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (116981.0);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (116783.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (116633.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (116483.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (116333.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (116183.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (116033.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (115883.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (115733.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (115583.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (115433.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (115283.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (115133.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (114983.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (114833.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (114683.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (114533.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (114383.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (114233.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (114083.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (113933.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (113783.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (113633.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (113483.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (113333.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (113183.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (113033.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (112883.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (112733.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (112583.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (112433.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (112283.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (112133.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (111983.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (111833.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (111683.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (111533.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (111383.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (111233.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (111083.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (110933.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (110783.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (110633.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (110483.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (110333.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (110183.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (110033.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (109883.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (109733.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (109583.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (109433.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (109283.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (109133.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (108983.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (108833.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (108683.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (108533.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (108383.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (108233.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (108083.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (107933.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (107783.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (107633.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (107483.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (107333.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (107183.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (107033.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (106883.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (106733.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (106583.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (106433.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (106283.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (106133.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (105981.1);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (105800.7);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (105539.1);XS intersects < 2 banklines
